ＮＯ．,路線名,区間（箇所）,延長（ｍ）,所在区,所管
都－８,放射　８号線,湯島天神下交差点　（　補助　９４交差点　）,100,文京,
都－９,放射　８号線,本郷三丁目交差点　（　放射　１０交差点　）,120,文京,
都－１０,放射　８号線,台）　台東四丁目～文）　湯島四丁目　（　放射　１２～補助　９４）,540,文京　、台東,
都－１１,放射　９号線,神保町交差点　（　放射　１５交差点付近　）,270,千代田,
都－１７,放射　３２号線,押上三～京島一丁目　（　補助　１０３付近～環状　４）,860,墨田,
都－３０,環状　４号線,本駒込六丁目付近　（　放射　９付近～放射　１０）,460,文京,
都－３１,環状　４号線,道灌山下交差点　（　補助　９４交差点付近　）,100,文京,
都－３２,環状　４号線,荒川一～東日暮里一丁目　（　補助　９０～常磐線　）,380,荒川,
都－３３,環状　４号線,大関横丁交差点　（　放射　１２交差点　）,550,荒川　、台東,
都－３４,環状　４号線,東向島三丁目～京島一丁目,600,墨田,
都－３５,環状　４号線,西日暮里五～一丁目　（　放射　１１付近～環状　５の　２）,800,荒川,
都－６１,補助　９０号線,北）　堀船三丁目～荒　）　西尾久七丁目　（　環状　５の　２～荒川遊園　）,900,北　、荒川,
都－６２,補助　９０号線,町屋一～荒川一丁目　（　補助　１００～環状　４）,1200,荒川,
都－６３,補助　９２号線,北）　中里三丁目～荒　）　西日暮里四丁目　（　山手線付近～環状　４）,950,北　、荒川,
都－６４,補助　９４号線,道灌山下交差点　（　環状　４交差点付近　）,100,文京,
都－６５,補助　１２０号線,墨田五～八広五丁目　（　補助　１１９～京成線　）,1220,墨田,一部都市整備局所管
都－６８,補助　１３８号線,中央本町一～二丁目　（　放射　１２～補助　２５６）,620,足立,
都－６９,補助　１３８号線,青井三丁目～綾瀬四丁目　（　補助　１４０付近　）,470,足立,
都－７０,補助　１４０号線,西綾瀬四～一丁目　（　補助　１３６～特　４５０）,550,足立、葛飾,
都－７６,補助　２６１号線,伊興四～竹の塚六丁目　（　伊興～東武立体　）,900,足立,
都－７７,補助　２６１号線,神明二～六木四丁目　（　補助　１０９付近～補助　２７４）,720,足立,
都－７９,環状　１号線,九段南一丁目～一ツ橋一丁目,580,千代田,
都－９１,補助　１４２号線,八蔵橋交差点　（　補助　１４０交差点　）,100,江戸川,
都－９２,補助　１４２号線,中央四～三丁目　（　補助　２８４～菅原橋交差点　）,500,江戸川,
都－９３－１,補助　１４２号線,南小岩四丁目～東小岩四丁目　（　補助　２８５付近～補助　１４３付近　）,560,江戸川,
都－９３－２,補助　１４２号線,南小岩五丁目～南小岩四丁目,160,江戸川,
都－９３－３,補助　１４２号線,東小岩五丁目～東小岩四丁目,160,江戸川,
都－１００,補助　２７７号線,東水元一丁目～東水元二丁目,410,葛飾,
