ＮＯ．,路線名,区間（箇所）,延長（ｍ）
都０１,八王子３・３・１０　号線,八王子３・４・５０　号線～八王子３・６・１８　号線,755
都０２,八王子３・４・２８　号線,八王子３・４・３６　号線～八王子３・３・４１　号線,1655
都０３,八王子３・５・５３　号線,八王子３・４・６１　号線～八王子３・４・６３　号線南側付近,530
都０５,立川３・１・３４　号線,立川３・４・５　号線～　ＪＲ　青梅線,1190
都１２,立川３・３・３０　号線,国立市境～　ＪＲ　中央線,880
都１４,立川３・４・５　号線外,国立３・４・１６　号線～立川３・４・５　号線支１,960
都３７,町田３・３・３６　号線,町田３・４・４９　号線～町田３・３・１０　号線,1250
都４０,町田３・４・４０　号線,町田３・４・２０　号線～町田３・４・２０　号線北側,700
都４３,日野３・４・３　号線,京王百草園駅付近～日野３・４・８　号線,1385
都４４,日野３・４・３　号線,日野３・４・１１　号線～日野３・４・１４　号線,820
都５２,国立３・３・１５　号線,国立３・４・１　号線～　ＪＲ　南武線,300
都５３,国立３・４・５　号線,ＪＲ　南武線～国立３・４・１６　号線東側付近,290
