No.,施設台帳No.,トンネル名,路線名１,路線名２,竣工年月,竣工後経過年数（年）,トンネル延長(m),住所,車線数,事務所
西-1,36,新氷川トンネル,一般国道411号,青梅街道,1983年12月,33,605.0,奥多摩町氷川～奥多摩町氷川,片-1,西多摩建設事務所
西-2,55,新満地トンネル,一般国道411号,滝山街道,1991年10月,25,396.0,青梅市友田町一丁目～あきる野市菅生,片-1,西多摩建設事務所
西-3,61,新吹上トンネル,主要地方道53号青梅秩父線,成木街道,1989年12月,27,604.0,青梅市黒沢二丁目～青梅市成木八丁目,片-1,西多摩建設事務所
西-4,63,御岳トンネル,主要地方道45号奥多摩青梅線,吉野街道,1986年5月,30,89.0,青梅市御岳一丁目～青梅市柚木町三丁目,片-1,西多摩建設事務所
西-5,66,網代トンネル,主要地方道61号山田宮の前線,山田通り,1991年12月,25,563.0,あきる野市網代～あきる野市網代,片-1,西多摩建設事務所
西-6,67,五日市トンネル,主要地方道61号山田宮の前線,秋川南岸道路,1999年3月,17,1223.6,あきる野市網代～あきる野市高尾,片-1,西多摩建設事務所
西-7,,城山トンネル,一般都道184号奥多摩あきる野線,多摩川南岸道路,2014年1月,3,1908.0,奥多摩町海澤～奥多摩町棚澤,片-1,西多摩建設事務所
南西-1,77,新小峰トンネル,主要地方道32号八王子五日市線,秋川街道,1999年2月,18,656.0,八王子市上川町～あきる野市高尾,片-1,南多摩西部建設事業所
南西-2,78,美山トンネル,主要地方道61号山田宮の前線,美山通り,2001年3月,15,199.0,八王子市美山町～八王子市美山町,片-1,南多摩西部建設事業所
南西-3,84,戸吹トンネル,主要地方道46号八王子あきる野線,新滝山街道,2003年10月,13,600.0,八王子市戸吹町～あきる野市牛沼,片-2,南多摩西部建設事業所
