路線（路線番号）,路線（路線名称）,観測地点（地点名称）,観測地点（地点番号）,時間７～８,時間８～９,時間９～１０,時間１０～１１,時間１１～１２,時間１２～１３,時間１３～１４,時間１４～１５,時間１５～１６,時間１６～１７,時間１７～１８,時間１８～１９,昼間１２時間計,時間１９～２０,時間２０～２１,時間２１～２２,時間２２～２３,時間２３～０,時間０～１,時間１～２,時間２～３,時間３～４,時間４～５,時間５～６,時間６～７,夜間１２時間計,２４時間合計,調査機関,路線（路線番号）,路線（路線名称）,地点番号,
1010,第一東海自動車道（大型車）,東京～東名川崎,10,782,850,808,690,687,609,698,713,639,652,695,766,8589,734,791,897,996,1026,744,850,706,675,686,822,838,9765,18354,中日本高速,1010,第一東海自動車道（大型車）,10,
1010,第一東海自動車道（小型車）,東京～東名川崎,10,4590,4649,5269,5281,5282,4898,5310,5784,5387,5468,5731,5480,63129,5280,5113,5085,4487,2647,1836,1886,1326,1093,1391,2427,4240,36811,99940,中日本高速,1010,第一東海自動車道（小型車）,10,
1010,第一東海自動車道（計）,東京～東名川崎,10,5372,5499,6077,5971,5969,5507,6008,6497,6026,6120,6426,6246,71718,6014,5904,5982,5483,3673,2580,2736,2032,1768,2077,3249,5078,46576,118294,中日本高速,1010,第一東海自動車道（計）,10,
1101,中央自動車道（富士吉田線）（大型車）,世田谷区・東京都境～調布ＩＣ間,20,411,462,410,310,256,288,257,295,280,299,299,378,3945,390,344,381,395,350,287,240,191,228,207,281,413,3707,7652,中日本高速,1101,中央自動車道（富士吉田線）（大型車）,20,
1101,中央自動車道（富士吉田線）（小型車）,世田谷区・東京都境～調布ＩＣ間,20,4099,4184,4830,4961,4839,4338,4433,4880,4999,4855,4694,4527,55639,4467,4230,3767,3306,2271,1687,1108,811,716,1030,1993,3473,28859,84498,中日本高速,1101,中央自動車道（富士吉田線）（小型車）,20,
1101,中央自動車道（富士吉田線）（計）,世田谷区・東京都境～調布ＩＣ間,20,4510,4646,5240,5271,5095,4626,4690,5175,5279,5154,4993,4905,59584,4857,4574,4148,3701,2621,1974,1348,1002,944,1237,2274,3886,32566,92150,中日本高速,1101,中央自動車道（富士吉田線）（計）,20,
1101,中央自動車道（富士吉田線）（大型車）,調布ＩＣ～稲城ＩＣ間,30,265,366,303,197,182,209,203,188,212,274,258,318,2975,373,292,332,333,303,249,195,170,178,161,228,307,3121,6096,中日本高速,1101,中央自動車道（富士吉田線）（大型車）,30,
1101,中央自動車道（富士吉田線）（小型車）,調布ＩＣ～稲城ＩＣ間,30,4246,4291,5000,5170,5090,4638,4819,5209,5223,5039,4611,4660,57996,4459,4397,4113,3494,2365,1636,1104,738,755,1076,2274,3748,30159,88155,中日本高速,1101,中央自動車道（富士吉田線）（小型車）,30,
1101,中央自動車道（富士吉田線）（計）,調布ＩＣ～稲城ＩＣ間,30,4511,4657,5303,5367,5272,4847,5022,5397,5435,5313,4869,4978,60971,4832,4689,4445,3827,2668,1885,1299,908,933,1237,2502,4055,33280,94251,中日本高速,1101,中央自動車道（富士吉田線）（計）,30,
1101,中央自動車道（富士吉田線）（大型車）,稲城ＩＣ～国立府中ＩＣ間,40,238,375,295,198,164,210,193,199,194,253,242,291,2852,320,314,327,344,289,240,182,164,190,254,684,323,3631,6483,中日本高速,1101,中央自動車道（富士吉田線）（大型車）,40,
1101,中央自動車道（富士吉田線）（小型車）,稲城ＩＣ～国立府中ＩＣ間,40,3862,3921,4465,4793,4700,4337,4517,4865,4763,4480,4219,4161,53083,4022,4014,3830,3275,2217,1494,1010,672,666,885,1638,3455,27178,80261,中日本高速,1101,中央自動車道（富士吉田線）（小型車）,40,
1101,中央自動車道（富士吉田線）（計）,稲城ＩＣ～国立府中ＩＣ間,40,4100,4296,4760,4991,4864,4547,4710,5064,4957,4733,4461,4452,55935,4342,4328,4157,3619,2506,1734,1192,836,856,1139,2322,3778,30809,86744,中日本高速,1101,中央自動車道（富士吉田線）（計）,40,
1101,中央自動車道（富士吉田線）（大型車）,国立府中ＩＣ～八王子ＩＣ間,50,210,299,246,172,147,178,162,156,169,214,210,252,2415,264,277,267,269,236,190,150,134,146,134,177,189,2433,4848,中日本高速,1101,中央自動車道（富士吉田線）（大型車）,50,
1101,中央自動車道（富士吉田線）（小型車）,国立府中ＩＣ～八王子ＩＣ間,50,3330,3422,3898,4111,4044,3720,4018,4338,4327,3975,3747,3605,46535,3329,3512,3357,2902,1864,1066,737,469,506,778,1921,3203,23644,70179,中日本高速,1101,中央自動車道（富士吉田線）（小型車）,50,
1101,中央自動車道（富士吉田線）（計）,国立府中ＩＣ～八王子ＩＣ間,50,3540,3721,4144,4283,4191,3898,4180,4494,4496,4189,3957,3857,48950,3593,3789,3624,3171,2100,1256,887,603,652,912,2098,3392,26077,75027,中日本高速,1101,中央自動車道（富士吉田線）（計）,50,
1101,中央自動車道（富士吉田線）（大型車）,八王子～八王子ＪＣＴ,60,245,338,286,230,196,181,198,180,214,237,288,281,2874,294,276,300,303,274,283,232,170,178,201,207,198,2916,5790,中日本高速,1101,中央自動車道（富士吉田線）（大型車）,60,
1101,中央自動車道（富士吉田線）（小型車）,八王子～八王子ＪＣＴ,60,2878,2980,3461,3577,3518,3257,3558,3828,3711,3642,3421,3158,40989,3087,3012,2912,2645,1361,893,512,350,407,582,1593,2910,20264,61253,中日本高速,1101,中央自動車道（富士吉田線）（小型車）,60,
1101,中央自動車道（富士吉田線）（計）,八王子～八王子ＪＣＴ,60,3123,3318,3747,3807,3714,3438,3756,4008,3925,3879,3709,3439,43863,3381,3288,3212,2948,1635,1176,744,520,585,783,1800,3108,23180,67043,中日本高速,1101,中央自動車道（富士吉田線）（計）,60,
1101,中央自動車道（富士吉田線）（大型車）,八王子～八王子ＪＣＴ,70,245,338,286,230,196,181,198,180,214,237,288,281,2874,294,276,300,303,274,283,232,170,178,201,207,198,2916,5790,中日本高速,1101,中央自動車道（富士吉田線）（大型車）,70,
1101,中央自動車道（富士吉田線）（小型車）,八王子～八王子ＪＣＴ,70,2878,2980,3461,3577,3518,3257,3558,3828,3711,3642,3421,3158,40989,3087,3012,2912,2645,1361,893,512,350,407,582,1593,2910,20264,61253,中日本高速,1101,中央自動車道（富士吉田線）（小型車）,70,
1101,中央自動車道（富士吉田線）（計）,八王子～八王子ＪＣＴ,70,3123,3318,3747,3807,3714,3438,3756,4008,3925,3879,3709,3439,43863,3381,3288,3212,2948,1635,1176,744,520,585,783,1800,3108,23180,67043,中日本高速,1101,中央自動車道（富士吉田線）（計）,70,
1800,関越自動車道（新潟線）（大型車）,大泉ＪＣＴ～所沢ＩＣ,80,539,654,511,403,398,434,442,434,450,485,436,472,5658,442,472,424,433,478,352,314,278,266,299,365,375,4498,10156,東日本高速,1800,関越自動車道（新潟線）（大型車）,80,
1800,関越自動車道（新潟線）（小型車）,大泉ＪＣＴ～所沢ＩＣ,80,4950,4718,5234,4993,4643,4326,4663,5688,6089,5858,5292,5113,61567,4636,4671,4487,3682,2090,1042,754,632,559,878,2488,4618,30537,92104,東日本高速,1800,関越自動車道（新潟線）（小型車）,80,
1800,関越自動車道（新潟線）（計）,大泉ＪＣＴ～所沢ＩＣ,80,5489,5372,5745,5396,5041,4760,5105,6122,6539,6343,5728,5585,67225,5078,5143,4911,4115,2568,1394,1068,910,825,1177,2853,4993,35035,102260,東日本高速,1800,関越自動車道（新潟線）（計）,80,
16,一般国道１６号（八王子バイパス）（大型車）,,10030,311,265,239,277,246,225,220,209,215,224,223,268,2922,298,301,287,298,296,224,226,191,241,236,260,285,3143,6065,中日本高速,16,一般国道１６号（八王子バイパス）（大型車）,10030,
16,一般国道１６号（八王子バイパス）（小型車）,,10030,1703,1807,2034,2035,1885,1902,2072,2155,2113,2397,2492,2182,24777,1946,1762,1734,1328,931,616,500,343,368,445,772,1276,12021,36798,中日本高速,16,一般国道１６号（八王子バイパス）（小型車）,10030,
16,一般国道１６号（八王子バイパス）（計）,,10030,2014,2072,2273,2312,2131,2127,2292,2364,2328,2621,2715,2450,27699,2244,2063,2021,1626,1227,840,726,534,609,681,1032,1561,15164,42863,中日本高速,16,一般国道１６号（八王子バイパス）（計）,10030,
16,一般国道１６号（八王子バイパス）（大型車）,相原ＩＣ～鑓水ＩＣ間（相原橋）,10040,268,233,196,233,201,179,174,171,182,189,178,227,2431,253,269,252,264,270,198,193,178,208,224,226,244,2779,5210,中日本高速,16,一般国道１６号（八王子バイパス）（大型車）,10040,
16,一般国道１６号（八王子バイパス）（小型車）,相原ＩＣ～鑓水ＩＣ間（相原橋）,10040,1459,1590,1663,1707,1531,1517,1640,1766,1790,2028,1991,1845,20527,1648,1580,1523,1183,844,545,427,321,317,418,664,1083,10553,31080,中日本高速,16,一般国道１６号（八王子バイパス）（小型車）,10040,
16,一般国道１６号（八王子バイパス）（計）,相原ＩＣ～鑓水ＩＣ間（相原橋）,10040,1727,1823,1859,1940,1732,1696,1814,1937,1972,2217,2169,2072,22958,1901,1849,1775,1447,1114,743,620,499,525,642,890,1327,13332,36290,中日本高速,16,一般国道１６号（八王子バイパス）（計）,10040,
16,一般国道１６号（八王子バイパス）（大型車）,鑓水ＩＣ～打越ＩＣ間（御殿山料金所）,10050,311,265,239,277,246,225,220,209,215,224,223,268,2922,298,301,287,298,296,224,226,191,241,236,260,285,3143,6065,中日本高速,16,一般国道１６号（八王子バイパス）（大型車）,10050,
16,一般国道１６号（八王子バイパス）（小型車）,鑓水ＩＣ～打越ＩＣ間（御殿山料金所）,10050,1703,1807,2034,2035,1885,1902,2072,2155,2113,2397,2492,2182,24777,1946,1762,1734,1328,931,616,500,343,368,445,772,1276,12021,36798,中日本高速,16,一般国道１６号（八王子バイパス）（小型車）,10050,
16,一般国道１６号（八王子バイパス）（計）,鑓水ＩＣ～打越ＩＣ間（御殿山料金所）,10050,2014,2072,2273,2312,2131,2127,2292,2364,2328,2621,2715,2450,27699,2244,2063,2021,1626,1227,840,726,534,609,681,1032,1561,15164,42863,中日本高速,16,一般国道１６号（八王子バイパス）（計）,10050,
468,一般国道４６８号（圏央道）（大型車）,八王子ＪＣＴ～八王子西,10390,146,194,121,104,93,75,92,123,127,126,175,180,1556,132,142,131,198,229,155,119,120,114,137,131,126,1734,3290,中日本高速,468,一般国道４６８号（圏央道）（大型車）,10390,
468,一般国道４６８号（圏央道）（小型車）,八王子ＪＣＴ～八王子西,10390,1289,1330,1564,1567,1472,1454,1547,1770,1960,1879,1813,1563,19208,1485,1452,1296,1209,615,353,239,166,176,296,610,1121,9018,28226,中日本高速,468,一般国道４６８号（圏央道）（小型車）,10390,
468,一般国道４６８号（圏央道）（計）,八王子ＪＣＴ～八王子西,10390,1435,1524,1685,1671,1565,1529,1639,1893,2087,2005,1988,1743,20764,1617,1594,1427,1407,844,508,358,286,290,433,741,1247,10752,31516,中日本高速,468,一般国道４６８号（圏央道）（計）,10390,
468,一般国道４６８号（圏央道）（大型車）,八王子西～あきる野,10400,145,185,116,101,84,72,86,113,124,124,163,167,1480,130,139,126,185,227,153,114,122,113,135,132,120,1696,3176,中日本高速,468,一般国道４６８号（圏央道）（大型車）,10400,
468,一般国道４６８号（圏央道）（小型車）,八王子西～あきる野,10400,1162,1214,1402,1383,1324,1294,1382,1646,1764,1757,1685,1454,17467,1419,1391,1235,1146,580,333,212,159,164,260,566,1041,8506,25973,中日本高速,468,一般国道４６８号（圏央道）（小型車）,10400,
468,一般国道４６８号（圏央道）（計）,八王子西～あきる野,10400,1307,1399,1518,1484,1408,1366,1468,1759,1888,1881,1848,1621,18947,1549,1530,1361,1331,807,486,326,281,277,395,698,1161,10202,29149,中日本高速,468,一般国道４６８号（圏央道）（計）,10400,
468,一般国道４６８号（圏央道）（大型車）,八王子西ＩＣ～あきる野ＩＣ,10410,145,185,116,101,84,72,86,113,124,124,163,167,1480,130,139,126,185,227,153,114,122,113,135,132,120,1696,3176,東日本高速,468,一般国道４６８号（圏央道）（大型車）,10410,
468,一般国道４６８号（圏央道）（小型車）,八王子西ＩＣ～あきる野ＩＣ,10410,1162,1214,1402,1383,1324,1294,1382,1646,1764,1757,1685,1454,17467,1419,1391,1235,1146,580,333,212,159,164,260,566,1041,8506,25973,東日本高速,468,一般国道４６８号（圏央道）（小型車）,10410,
468,一般国道４６８号（圏央道）（計）,八王子西ＩＣ～あきる野ＩＣ,10410,1307,1399,1518,1484,1408,1366,1468,1759,1888,1881,1848,1621,18947,1549,1530,1361,1331,807,486,326,281,277,395,698,1161,10202,29149,東日本高速,468,一般国道４６８号（圏央道）（計）,10410,
