区分,記録
年月,昭和24年8・9月(1949年)
災害種別,キティ台風（高潮）
気圧(hPa),985.9
時間最大雨量(mm/h),12.6
総雨量（mm）,64.9(31～1日)
潮位（A.P.m）,3.15
浸水面積(Km2),92.01
床上浸水家屋(戸),73751
床下浸水家屋(戸),64127
死傷者(人),122
損害家屋(戸),1129
