ＮＯ．,路線名,区間（箇所）,延長（ｍ）,所在区,所管
都－１,放射　２号線,西五反田七～荏原二丁目　（　補助　１５１～補助　２６）,1200,品川,
都－２,放射　３号線,玉堤二丁目～都県境　（　多摩川橋梁　）,100,世田谷,
都－３,放射　５号線,上高井戸二～久我山三丁目　（　補助　２１９～三鷹市境　）,1300,杉並,
都－１４,放射　２３号線,世）　大原二丁目～杉　）　和泉二丁目　（　環状　７～概成　）,1005,世田谷　、杉並,
都－２６,環状　４号線,高輪三～白金台三丁目　（　放射　１９～放射　３）,1560,港,
都－３６,環状　５の　１号線,神宮前一丁目～神宮前二丁目,560,渋谷,
都－３７,環状　５の　１号線,渋）　千駄ヶ谷五丁目～新　）　内藤町　（　新宿御苑　）,320,新宿　、渋谷,
都－４１,補助　１１号線,白金一丁目～白金二丁目,120,港,
都－４２,補助　２６号線,荏原四～小山三丁目　（　放射　２～東急目黒線　）,700,品川,
都－４３,補助　２６号線,中央町一～二丁目　（　放射　３～補助　４９）,750,目黒,
都－４４,補助　２６号線,世）　三宿一丁目～渋　）　大山町　（　放射　４付近～放射　２３）,1950,世田谷　、渋谷　、目黒,
都－５１,補助　２７号線,大森西二～四丁目　（　環状　７付近～内川　）,455,大田,
都－５２,補助　２８号線,山王二丁目付近　（　補助　４０交差点～大森駅　）,280,大田,
都－５３,補助　２８号線,南品川二～三丁目　（　放射　１９～補助　１６２）,240,品川,
都－５４,補助　４６号線,目黒本町五丁目付近　（　補助　２６～補助　３０）,530,目黒,都市整備局所管
都－５５－１,補助　５２号線,若林五丁目～豪徳寺二丁目,1310,世田谷,
都－５５－２,補助　５２号線,豪徳寺二丁目～宮坂一丁目,295,世田谷,
都－６６,補助　１２８号線,宮坂一～赤堤二丁目　（　補助　５２付近～補助　５４）,1205,世田谷,
都－７８,放射　１７号線,大森東四～北糀谷一丁目　（　補助　３４付近～補助　３６）,800,大田,
都－８１,補助　４号線,六本木七丁目～南青山一丁目,1080,港,
都－９０,補助　１２５号線,喜多見八丁目付近　（　補助　５１～喜多見八丁目　）,230,世田谷,
