地点名:栄町陸橋　地盤上/橋台上
ファイル名:11031101.SMC
起動時刻:2011/03/11 14:48:05
チャンネル数:6
該当地震:地震：2011年03月11日14:46:18.1
"Time","N-S","E-W","U-D","N-S","E-W",U-D
0,-.3967212,-1.167915,1.265658,.6234548,-.2129846, 0.5157126 
.01,.2007354,-1.710876,1.405648,1.084171,-.2792298, 0.6996993 
.02,.5547098,-1.481643,.7511955,1.411148,-.3539743, 0.6327041 
.03,.2794797,-.800692,.06699514,1.277657,-.3344758, 0.2467321 
.04,.3512245,-.2507318,-.3662235,.7009492,-.1967357,-0.261481 
.05,.6692015,.1604884,-.7634447,.1407398,.1002427,-0.5199623 
.06,.7239475,.4864647,-1.202163,-.1082422,.4819651,-0.7259474 
.07,.7946924,.621205,-1.366401,.03474748,.8376893,-0.6492029 
.08,.8794363,.3572241,-.9176835,.3904717,1.062423,-0.3387254 
.09,.4442178,-.07124484,-.5204623,.4049706,1.122169,-0.4744656 
.09999999,-.2674806,-.1677378,-.882436,.3679733,1.091171,-0.7851931 
.11,-.3362256,-.1154916,-1.256909,.5014637,.9564307,-1.049674 
.12,.1052424,.3937215,-.9859285,.4774654,.634704,-1.070922 
.13,.2359829,.7944424,-.6867002,.5962068,.2244837,-0.9471813 
.14,-.2744801,.08449388,-.7254474,.6464531,-.1189914,-0.8016919 
.15,-.4342185,-.8624375,-.620205,.1072422,-.2924788,-0.6424534 
.16,.0207485,-.7461959,-.02674806,-.5189624,-.3124774,-0.4074705 
.17,.3044779,.3802224,.5844576,-.9441816,-.1987356,-0.2824795 
.18,.3507246,1.054674,.4634664,-.8596877,.02424824,-0.2414825 
.19,.6594522,.3787225,.1409898,-.3319759,.193736,-0.2082349 
.2,1.356402,-.6242048,.1892363,-.02424824,.2767299,-0.3654735 
.21,1.355652,-.3797225,.07974422,.05999565,.4197196,-0.4749656 
.22,.5464604,.3339758,-.3472248,.234733,.7014492,-0.27623 
.23,.1994855,.496964,-.3787225,.1354902,.9089341,-0.1439896 
.24,.5774581,.1574886,.03924716,.07824433,1.032925,-0.03574741 
.25,1.254659,-.09224331,.4102203,.3249764,1.269408, 0.2974784 
.26,1.900112,.4742156,.5712086,.2457322,1.541888, 0.427469 
.27,2.226089,1.021426,.6994493,-.004499674,1.774621, 0.675451 
.28,2.298584,.980179,1.439396,-.08474386,2.082349, 1.431896 
.29,2.225089,1.037425,2.292584,-.2674806,2.403326, 2.098348 
.3,1.736374,1.188164,2.233838,-.2427324,2.568564, 2.271835 
.31,1.296406,1.372401,1.412648,-.05199623,2.551815, 2.047352 
.32,1.140667,1.37565,.8606876,.05624592,2.532816, 1.755623 
.33,1.161166,1.10142,.9819288,.1177415,2.520817, 1.683128 
.34,1.550138,.9426817,1.24016,.09674299,2.396326, 1.665629 
.35,1.856615,.9004347,1.124169,-.06374538,2.218089, 1.593135 
.36,2.122596,.9609303,1.130668,-.06299543,2.051851, 1.490892 
.37,2.447073,1.231661,1.699627,-.03299761,1.840117, 1.312905 
.38,2.357079,1.254159,1.858615,-.2402326,1.630132, 0.8924353 
.39,1.983356,1.152416,.8236903,-.4124701,1.494392, 0.4597167 
.4,1.736624,1.569386,-.09749293,-.6384537,1.52064, 0.1367401 
.41,1.938359,2.161093,-.05024636,-.7909427,1.625882, 0.02099848 
.42,1.828867,2.189341,.08699369,-.8326896,1.782121, 0.0579958 
.43,1.047424,1.775121,-.02924788,-.7399464,1.989106, 0.2382327 
.44,.5854576,1.551388,.08174407,-.7379465,2.171093, 0.5704587 
.45,.620705,1.583135,.04324687,-.9436816,2.225589, 0.4194696 
