ケース１,ケース２,橋脚 (Gal),地盤 (Gal)
増杭前,（1）,469.5,131.5
増杭前,（2）,67.7,25.6
増杭前,（3）,42.5,21.7
増杭前,（4）,33.6,20.9
増杭前,（5）,85.2,28.7
増杭後,（1）,38.8,24.4
増杭後,（2）,46.3,79.8
増杭後,（3）,27.4,14.7
増杭後,（4）,73.3,74.6
