ＮＯ．,路線名,区間（箇所）,延長（ｍ）,所在区,所管
都－１２,放射　１６号線,東葛西四丁目～都県境（旧江戸川橋梁部）,230,江戸川,
都－１３,放射　１８号線,東品川二～東大井一丁目　（　環状　６～補助　１４６）,2660,品川,
都－１６,放射　３２号線,東陽三丁目～五丁目,470,江東,
都－２０,環状　２号線,江東）　豊洲六丁目～中央　）　晴海五丁目　（　晴海運河橋梁部　）,550,中央　、江東,
都－２１,環状　２号線,中央）　晴海五丁目～港　）東新橋一丁目,1810,中央　、港,
都－２２,環状　３号線,勝どき五丁目　～　豊海町　（　東京港　）,670,中央,
都－２３,環状　３号線,中央）　豊海町～港　）　海岸１丁目　（　東京港　）,600,中央　、港,
都－２４,環状　３号線,海岸一～芝公園二丁目　（　放射　１８～放射　２０）,900,港,
都－７１,補助　１４４号線,新砂三丁目～夢の島　（　放射　１６～国道　３５７）,2060,江東,
都－７２,補助　１４４号線,東砂五丁目～東砂六丁目,385,江東,
都－８０,環状　２号線支　１,晴海三丁目　（　晴海地区　）,530,中央,
都－８８,補助　９７号線,丸の内二丁目付近　（　東京駅付近　６３００　ｍ　２　）,100,千代田,
都－８９,補助　９８号線,丸の内一丁目付近　（　東京駅付近　５９００　ｍ　２　）,90,千代田,
都－９４,補助　１４３号線,東篠崎二丁目～都県境　（　旧江戸川橋梁部　）,90,江戸川,
都－１０１,補助　３１４号線,晴海五丁目付近　（　晴海地区　）,700,中央,都市整備局所管
都－１０２,補助　３１５号線,豊洲六丁目～有明一丁目,200,江東,都市整備局所管
