地点名:羽村大橋　地盤上/橋脚P7/橋脚P9
ファイル名:11031101.SMC
起動時刻:2011/03/11 14:48:10
チャンネル数:9
該当地震:地震：2011年03月11日14:46:18.1
"Time","N-S","E-W","U-D","N-S","E-W","U-D","N-S","E-W",U-D
0,.9611803,-1.023676,1.568886,.7364466,1.443895,1.551138,-.6809506,3.549993, 1.134918 
.01,.02824795,-.4647163,1.075172,2.381327,1.982356,.910184,-.9006847,3.022531, 1.325654 
.02,-.9504311,-.1479893,-.6787008,3.825473,2.220339,.05574596,-.9261829,2.174842, 0.9549308 
.03,-1.599634,-.3112274,-2.387077,4.757155,2.191091,-.6149554,-.7141982,1.451895, 0.2694805 
.04,-1.167665,-.04124701,-2.509318,4.472176,1.585385,-.7916926,-.1964858,.9944279,-0.4764655 
.05,.07349467,.5217122,-1.335653,3.071277,.344975,-.6289544,.6007065,.9091841,-1.070172 
.06,.8871857,.7204478,-.1804869,1.561137,-1.055174,-.6372038,1.477893,1.008177,-1.142417 
.07,.6971995,.3264763,-.1852366,.8369393,-1.949359,-.731447,2.161343,.9949279,-0.9089341 
.08,.02674806,-.7079487,-1.063173,1.09792,-2.013354,-.5079632,2.546315,.993678,-0.7964423 
.09,-.1397399,-1.938859,-1.24816,1.821868,-1.51514,-.09399319,2.862042,.9886783,-0.5847076 
.09999999,-.001499891,-2.308083,-.9369321,2.173092,-1.089671,.06574523,3.085026,.8159409,-0.01874864 
.11,.05324614,-1.437896,-.6637019,1.765622,-1.139667,-.08049417,2.949286,.4159698, 0.4439678 
.12,-.1502391,-.2449822,.1664879,1.398899,-1.358402,-.3579741,2.253087,-.1489892, 0.441218 
.13,-.3969712,.4747156,1.362651,1.470893,-1.446395,-.2744801,.9571806,-.7374465, 0.4009709 
.14,-.4874647,.3162271,1.581385,1.006177,-1.38065,.1997355,-.317477,-1.24716, 0.5367111 
.15,-.3822223,-.09374321,1.120919,-.2644808,-1.214912,.3877219,-.9616803,-1.537139, 0.9954278 
.16,.1457394,.3147272,.8894355,-1.609883,-1.070422,.4247192,-1.056423,-1.619883, 1.620883 
.17,.7944424,1.087421,.9859285,-2.321582,-.8089414,.6469531,-.9031845,-1.755123, 1.955608 
.18,.9754293,1.234661,1.198913,-2.285084,-.06524527,.9004347,-.8224404,-1.999855, 1.78737 
.19,.855438,.6452032,1.068923,-1.751373,.9739294,.9836787,-.9234331,-2.167593, 1.24291 
.2,.9004347,-.06824505,.2954786,-1.454145,1.648381,.7061988,-.8816861,-2.164093, 0.7576951 
.21,.7929425,-.5124629,-.248232,-1.320904,1.827868,.3832222,-.6474531,-1.917861, 0.6946996 
.22,.01874864,-.5222121,.4602166,-.7989421,1.79862,.6217049,-.6727012,-1.552887, 0.8899355 
.23,-.9176835,-.1177415,1.396899,-.1592385,1.674879,1.310905,-1.007677,-1.307155, 0.9834287 
.24,-1.175415,-.1059923,1.441146,.1969857,1.350152,1.669629,-1.3859,-1.286407, 0.9401819 
.25,-.8224404,-.5889573,1.120419,-.1149917,.8366894,1.458144,-1.625382,-1.359901, 0.7071987 
.26,-.5784581,-.5707086,.6102058,-1.261659,.1837367,1.134168,-1.589885,-1.323654, 0.2589812 
.27,-.7944424,.08349395,.1644881,-2.604061,-.4704659,1.251659,-1.342903,-1.082922,-0.1414897 
.28,-1.004177,.7241975,.1272408,-3.543743,-.7549453,1.713376,-1.034925,-.6104558,-0.2682306 
.29,-.5837077,1.253659,-.05774581,-4.1427,-.3617238,1.65613,-.6499529,-.2109847,-0.0454967 
.3,.2024853,1.568636,-.5554597,-4.233193,.4847149,.9979277,-.261731,-.1294906, 0.2707304 
.31,.3457249,1.289407,-1.113669,-3.373255,1.428396,.4044707,-.02224839,-.1627382, 0.2979784 
.32,-.4349685,.6197051,-1.585635,-1.709376,2.355579,.0607456,-.02299833,-.2362329, 0.1962358 
.33,-1.24716,.1734874,-1.679128,.0317477,2.909789,-.3222266,-.1707376,-.3242265,-0.02224839 
.34,-1.141667,.07124484,-.9374321,.9569306,2.571064,-.7194479,-.2459822,-.3114774,-0.4482175 
.35,-.1984856,.289979,-.1139917,1.146417,1.450145,-.813691,-.124741,-.1947359,-0.5644591 
.36,.4814651,.09399319,-.4852148,1.24441,.1749873,-.8644373,.2117347,-.08949351,-0.2002355 
.37,.7744439,-.8791863,-1.198163,1.331903,-.7794435,-.9019346,.7829432,.04174697, 0.03699732 
.38,1.080172,-1.389399,-.8086914,1.284907,-1.336903,-.8371893,1.578636,.4889646,-0.07699442 
.39,1.3754,-.7891928,.6414535,1.24191,-1.597634,-.5979567,2.308583,1.257409,-0.1844866 
.4,1.230911,.07399464,1.953858,1.696377,-1.623632,-.4204695,2.585063,2.191591,-0.06974494 
.41,.5219622,.2032353,1.909362,2.75805,-1.293156,-.3352257,2.099848,3.156771, 0.1289907 
.42,-.1757373,-.6319542,.8799362,3.701732,-.4714658,-.2369828,.952431,3.973212, 0.3147272 
.43,-.4357184,-1.466394,.3044779,3.746978,.6197051,-.1442395,-.2594812,4.403181, 0.6926998 
.44,-.1819868,-1.053924,.9484313,2.847544,1.295656,.2802297,-.8646873,4.335436, 1.289157 
.45,.3559742,.1704876,2.135345,1.443145,1.23491,1.184914,-.7024491,3.788725, 1.816868 
.46,.5437106,.9496812,2.457072,.27573,.7009492,1.900112,-.2357329,2.820796, 1.912861 
.47,.317727,.6674516,1.599634,-.3834722,-.08174407,2.076099,-.07299471,1.756123, 1.711626 
.48,.2034853,-.05774581,.4642164,-.6727012,-1.10217,1.863365,-.3839722,.9666799, 1.470143 
.49,.3019781,-.2237338,-.09824288,-.248482,-2.0716,1.474893,-.9644301,.5764582, 1.282407 
.5,.3117274,.3474748,-.4034708,.7634447,-2.596812,.9259329,-1.363901,.5459604, 0.8951851 
.51,.1722375,.9684298,-.6389537,1.309655,-2.630059,.2557315,-1.233911,.5254619, 0.27648 
.52,-.1842366,.96568,-.386472,.9756793,-2.214089,.1489892,-.5842077,.1452395,-0.497214 
.53,-.4712158,.7229476,-.1219912,.2677306,-1.553387,.5714586,.1187414,-.5899572,-1.174415 
.54,-.4862148,.5277117,-.5422107,-.3367256,-1.055673,.5194623,.3804724,-1.3859,-1.305405 
.55,-.5879574,.08374393,-1.289407,-.7131983,-.9151837,.01749873,-.02999783,-1.872114,-1.147167 
.56,-.3467249,-.2139845,-1.768622,-1.337653,-.8099413,-.4304688,-.9509311,-2.007354,-1.188664 
.57,.4212195,-.2874792,-2.07485,-2.228088,-.3842221,-.6906999,-1.804369,-1.852616,-1.308905 
.58,1.444645,-.2524817,-1.968107,-2.820796,.02799797,-.9494312,-2.159343,-1.472143,-1.035425 
.59,2.128596,-.3294761,-1.597384,-2.987783,.08924353,-1.152416,-1.972357,-1.158666,-0.564959 
.6,1.973357,-.7961923,-1.187914,-2.682556,.09449315,-1.387399,-1.582885,-1.053424,-0.468716 
.61,1.232161,-1.170915,-.9781791,-2.004855,.2817296,-1.495642,-1.38115,-1.132918,-0.5992066 
.62,.4334686,-1.417147,-.897185,-1.429396,.6504529,-1.404648,-1.3854,-1.471143,-0.234983 
.63,-.3429751,-1.598134,-.6749511,-1.153166,1.231411,-1.282407,-1.454145,-2.162093, 0.4717158 
.64,-1.060673,-1.879114,-.2982284,-1.319404,1.79537,-.8359394,-1.279157,-3.016031, 0.5557097 
.65,-1.428896,-2.248087,.3854721,-1.902362,2.008605,-.2687305,-.6419535,-3.601239, 0.3229766 
.66,-1.065423,-2.087599,1.476893,-2.131845,1.769622,.09124339,.2789798,-3.773726, 0.5217122 
.67,.124741,-1.315155,2.441573,-1.425397,1.058173,.4484675,1.157666,-3.646486, 0.8481885 
.68,1.174665,-.5052134,2.218339,-.08349395,-.02924788,.7481958,1.79762,-3.301261, 0.8871857 
.69,1.001677,-.1954858,.7476958,1.125668,-1.154416,.6232048,1.913861,-2.810546, 0.9916781 
.7,.01024926,-.06224549,-.2679806,1.556387,-2.152344,.09974277,1.702127,-2.305333, 1.112919 
.71,-.4719658,.4862148,.1917361,1.365151,-2.977534,-.1482393,1.671629,-1.971857, 0.773194 
.72,-.1764872,1.10967,1.165166,1.192164,-3.469249,.01424897,1.913111,-1.827368,-0.1672379 
.73,.1947359,1.444395,1.142667,1.300906,-3.4485,.2737302,2.20834,-1.687628,-1.124169 
.74,.1139917,1.367401,.1624882,1.456144,-3.019281,.3992211,2.328831,-1.427647,-1.188914 
.75,-.1034925,.7754438,-.5989566,1.388899,-2.285584,.4884646,2.20734,-1.140917,-0.7959423 
.76,.2737302,-.1429896,-.5459604,1.500141,-1.294906,.8501884,1.839117,-.9214332,-0.6042062 
.77,1.255659,-.8736867,-.07149482,1.972857,-.317227,1.10067,1.299406,-.9371821,-0.4099703 
.78,2.292834,-.9596804,-.0854938,2.454572,.3099775,1.085671,.7201978,-1.189664,-0.09074342 
