和暦年,情報別,最大沈下量区部江東区／墨田区／江戸川区,最大沈下量区部足立区／葛飾区,最大沈下量区部北区、荒川区、板橋区／練馬区,最大沈下量区部その他の区部,最大沈下量多摩地域,最大隆起量区部江東区／墨田区／江戸川区,最大隆起量区部足立区／葛飾区,最大隆起量区部北区、荒川区、板橋区／練馬区,最大隆起量区部その他の区部,最大隆起量多摩地域
24,変動量（ｃｍ／年）,0.44,0.73,0.34,0.52,0.21,0.5,0.26,0.43,0.74,0.98*
24,地点,江東区福住二丁目,足立区入谷七丁目,荒川区東尾久八丁目,大田区西糀谷一丁目,調布市西つつじヶ丘三丁目,江戸川区中葛西三丁目,葛飾区青戸六丁目,練馬区南大泉五丁目,世田谷区瀬田三丁目,多摩市乞田
24,基標名,深（２）,足（８）,荒（１０）,蒲（１）,（０２０－０２１）,-9836,高砂,練（３３）,（２４６－０１２）,多摩（３）
25,変動量（ｃｍ／年）,0.71,0.8,0.31,0.74,0.85,0.46,0.56,0.55,0.47,0.33*
25,地点,江東区北砂三丁目,葛飾区西新小岩五丁目,板橋区板橋一丁目,大田区山王二丁目,府中市若松町一丁目,江戸川区中葛西三丁目,足立区小台一丁目,荒川区東尾久八丁目,文京区大塚四丁目,調布市下石原一丁目
25,基標名,城（７）,葛（１１）,（０１７－００９）,大（１０）,-120,-9836,足（３６）,荒（１０）,小（９）,-121
26,変動量（ｃｍ／年）,0.52,0.26,0.33,0.76,0.38,0.48,0.41,0.55,0.96,1.13
26,地点,江戸川区中葛西五丁目,葛飾区西新小岩五丁目,板橋区舟渡四丁目,中央区銀座五丁目,瑞穂町箱根ヶ崎,江東区東砂六丁目,足立区西保木間三丁目,練馬区西大泉五丁目,目黒区青葉台三丁目,国分寺市本多一丁目
26,基標名,江（１４）,葛（１１）,板（１２）,京（２）,瑞穂（４）,城（４）,-2004,練（３２）,目（４）,国分（３）
27,変動量（ｃｍ／年）,0.72,0.42,0.67,1.01,1.31,0.29,0.33,0.36,0.57,1.31
27,地点,江東区北砂三丁目,葛飾区西新小岩五丁目,板橋区板橋二丁目,中央区晴海一丁目,清瀬市旭が丘二丁目,墨田区堤通一丁目,足立区宮城一丁目,北区浮間一丁目,大田区矢口三丁目,八王子市高尾町
27,基標名,城（７）,葛（１１）,板（１９）,港（１９）,清瀬（１）,向（八）,足（３）,北（１８）,蒲（１４）,（０２０－０５０）
28,変動量（ｃｍ／年）,0.42,0.82,0.45,0.54,0.67,0.7,0.13*,0.78,0.71,0.93
28,地点,江戸川区西小岩四丁目,足立区入谷七丁目,北区浮間一丁目,世田谷区粕谷一丁目,調布市上石原一丁目,江東区辰巳一丁目,足立区千住大川町,板橋区板橋二丁目,中央区晴海一丁目,清瀬市中清戸四丁目
28,基標名,江（３）,足（８）,北（１８）,世（１１）,（０２０－０２５）,港（２１）,足（１８）,板（１９）,港（１９）,清瀬（７）
