地域,鉄管Ｎｏ,観測井名,ストレーナの深さ（ｍ）,観測井付近の地盤高,平成２５年１２月３１日Ａ（ｍ）,平成２６年１２月３１日Ｂ（ｍ）,平成２７年１２月３１日Ｃ（ｍ）,平成２８年１２月３１日Ｄ（ｍ）,２７年の変動量Ｃ－Ｂ（ｍ）,２８年の変動量Ｄ－Ｃ（ｍ）
江東区,研  15,南砂町　第１,65～70,-2.2,-3.95,-3.88,-3.96,-3.77,-0.08,0.19
江東区,研  23,南砂町　第２,125～130,-2.2,-3.98,-3.89,-3.97,-3.80,-0.08,0.17
江東区,研  12,亀戸　第１,56～61,-1.8,-4.63,-4.57,-4.57,-4.34,0.00,0.23
江東区,研  22,亀戸　第２,139～144,-1.8,-4.92,-4.84,-4.85,-4.62,-0.01,0.23
墨田区,研  13,吾嬬　Ａ,42～47,-1.0,-6.04,-5.94,-5.85,-5.71,0.09,0.14
墨田区,研  16,吾嬬　Ｂ,108～115,-1.0,-6.34,-6.25,-6.09,-5.85,0.16,0.24
墨田区,研  65,両国　第１,35～37,1.9,-6.02,-5.99,-5.83,-5.59,0.16,0.24
墨田区,研  66,両国　第２,76～87,1.9,-6.12,-6.09,-5.94,-5.69,0.15,0.25
江戸川区,研  30,新江戸川　第２,129～150,-1.6,-6.81,-6.53,-6.66,-6.45,-0.13,0.21
江戸川区,研  31,新江戸川　第３,313～346,-1.6,-6.78,-6.50,-6.44,-6.25,0.06,0.19
江戸川区,研  28,小岩　第,47～55,2.5,-0.66,-1.30,-1.41,-0.59,-0.11,0.82
江戸川区,研  38,江戸川東部　第１,62～67,1.3,-3.12,-3.23,-3.44,-3.32,-0.21,0.12
江戸川区,研  39,江戸川東部　第２,150～160,1.3,-5.90,-5.70,-5.76,-5.58,-0.06,0.18
江戸川区,研  40,江戸川東部　第３,291～306,1.3,-6.69,-6.26,-6.21,-6.08,0.05,0.13
江戸川区,研  48,小島　第１,37～40,0.1,-3.06,-3.03,-3.11,-3.01,-0.08,0.10
江戸川区,研  49,小島　第２,70～77,0.1,-4.15,-4.07,-4.15,-4.00,-0.08,0.15
江戸川区,研  50,小島　第３,123～134,0.1,-4.05,-3.96,-4.06,-3.90,-0.10,0.16
江戸川区,研  51,小島　第４,212～229,0.1,-4.20,-4.11,-4.20,-4.03,-0.09,0.17
江戸川区,研  52,篠崎　第１,55～60,1.5,-2.33,-2.89,-3.46,-3.11,-0.57,0.35
江戸川区,研  53,篠崎　第２,250～260,1.5,-7.55,-7.19,-7.08,-6.91,0.11,0.17
江戸川区,研  54,篠崎　第３,300～315,1.5,-7.56,-7.21,-7.06,-6.89,0.15,0.17
足立区,研  32,新足立　第,224～234,0.0,-6.67,-6.43,-6.22,-5.96,0.21,0.26
足立区,研  55,伊興　第,87～115,3.4,-6.69,-6.35,-5.92,-6.05,0.43,-0.13
足立区,研  42,神明南　第１,99～104,1.2,-9.24,-8.82,-8.52,-8.54,0.30,-0.02
足立区,研  43,神明南　第２,170～177,1.2,-10.49,-10.19,-9.96,-10.11,0.23,-0.15
足立区,研  44,神明南　第３,304～330,1.2,-7.04,-6.70,-6.53,-6.39,0.17,0.14
足立区,研 103,小台　第１,40～45,1.5,-3.50,-3.42,-3.17,-3.03,0.25,0.14
足立区,研 104,小台　第２,148～160,1.5,-4.29,-4.04,-3.83,-3.64,0.21,0.19
足立区,研 105,小台　第３,212～234,1.5,-3.85,-3.55,-3.36,-3.20,0.19,0.16
足立区,研  62,舎人　第１,22～27,3.4,-4.61,-4.80,-4.76,-4.70,0.04,0.06
足立区,研  63,舎人　第２,172～184,3.4,-6.85,-6.32,-5.90,-6.04,0.42,-0.14
足立区,研  64,舎人　第３,290～302,3.4,-3.37,-3.00,-2.81,-2.61,0.19,0.20
足立区,研  41,高砂,118～123,1.3,-6.74,-6.53,-6.48,-6.31,0.05,0.17
葛飾区,研  24,戸田橋　第１,258～268,2.9,2.42,3.04,3.27,3.34,0.23,0.07
板橋区,研  25,戸田橋　第２,103～113,2.9,-1.19,-0.74,-0.49,-0.58,0.25,-0.09
板橋区,研  26,戸田橋　第３,51～59,2.9,-1.40,-0.98,-0.81,-0.93,0.17,-0.12
板橋区,研  36,板橋　第,188～199,28.6,2.25,2.73,2.96,3.04,0.23,0.08
板橋区,研  56,上赤塚　第１,111～122,27.4,5.35,6.23,6.34,6.43,0.11,0.09
板橋区,研  57,上赤塚　第２,189～211,27.4,6.12,7.35,7.32,7.60,-0.03,0.28
板橋区,研  58,上赤塚　第３,327～355,27.4,6.25,7.42,7.39,7.71,-0.03,0.32
練馬区,研  34,練馬　第１,87～97,42.0,14.88,15.83,15.82,16.05,-0.01,0.23
練馬区,研  35,練馬　第２,185～195,42.0,8.48,10.33,10.11,10.63,-0.22,0.52
新宿区,研  33,新宿,114～125,32.9,9.58,9.89,10.13,10.35,0.24,0.22
杉並区,研 110,杉並,115～143,37.1,25.78,26.36,26.33,26.44,-0.03,0.11
世田谷区,研 111,世田谷,87～109,41.2,32.72,33.20,33.60,33.68,0.40,0.08
目黒区,研 112,目黒,125～147,17.3,11.52,13.44,13.91,14.01,0.47,0.10
千代田区,研 113,千代田　第１,19～28,15.1,5.83,2.46,5.15,5.88,2.69,0.73
千代田区,研 114,千代田　第２,92～109,15.1,4.37,2.91,3.78,4.50,0.87,0.72
