観測地点１,観測地点２,観測地点３,2017/4/12・3:10:49NS[Gal],2017/4/12・3:10:49EW[Gal],2017/4/12・3:10:49UD[Gal]
河川構造物,中川護岸,GL,8.1,-8.5,-3.2
河川構造物,中川護岸,SH,-1.3,4.5,1.9
河川構造物,新中川堤防,GL,8.9,7.5,3.9
河川構造物,新中川堤防,BK,-,-,-
河川構造物,小名木川,GL,／,／,／
河川構造物,排水機場,B1F,／,／,／
河川構造物,扇橋閘門,GL,／,／,／
河川構造物,扇橋閘門,GT,／,／,／
河川構造物,大島川水門,GL,4.8,-2.8,-2.5
河川構造物,大島川水門,GT,1.2,2.7,1.9
河川構造物,木下川,GL,-4.3,-3.0,-3.0
河川構造物,排水機場,B1F,-,-,-
道路構造物（橋梁）,高円寺陸橋,GL,／,／,／
道路構造物（橋梁）,高円寺陸橋,P1,-,-,-
道路構造物（橋梁）,朝凪橋,GL,-,-,-
道路構造物（橋梁）,朝凪橋,P2,-,-,-
道路構造物（橋梁）,栄町陸橋,GL,-,-,-
道路構造物（橋梁）,栄町陸橋,A2,-,-,-
道路構造物（橋梁）,羽村大橋,GL,-,-,-
道路構造物（橋梁）,羽村大橋,P7,-,-,-
道路構造物（橋梁）,羽村大橋,P9,-,-,-
道路構造物（橋梁）,平井大橋,GL,-5.5,-7.0,-4.6
道路構造物（橋梁）,平井大橋,P5,-5.0,2.7,-1.5
道路構造物（橋梁）,平井大橋,P6,-7.4,4.6,3.3
道路構造物（橋梁）,厩橋,GL,-,-,-
道路構造物（橋梁）,厩橋,P1,-,-,-
道路構造物（橋梁）,尾久橋,GL,-,-,-
道路構造物（橋梁）,尾久橋,P1,-,-,-
道路構造物（橋梁）,佃大橋,GL,／,／,／
道路構造物（橋梁）,佃大橋,P1,／,／,／
道路構造物（橋梁）,佃大橋,P2,／,／,／
道路構造物（橋梁）,関戸橋,GL,-,-,-
道路構造物（橋梁）,関戸橋,P3,-,-,-
道路構造物（橋梁）,新大橋,GL,-4.4,-3.9,-3.7
道路構造物（橋梁）,新大橋,P1,／,／,／
道路構造物（橋梁）,黎明橋,GL,-5.5,-3.5,-3.7
道路構造物（橋梁）,黎明橋,P2,3.7,-11.0,-11.0
道路構造物（橋梁）,上一色橋,GL,／,／,／
道路構造物（橋梁）,上一色橋,G1,／,／,／
道路構造物（橋梁）,上一色橋,G2,／,／,／
道路構造物（橋梁）,上一色橋,P5,7.4,4.9,3.7
土木技術センター,,GL,／,／,／
