地点名:木下川排水機場　地盤上,,,
ファイル名:11031101.SMC,,,
起動時刻:2011/03/11 14:47:34,,,
チャンネル数:3,,,
"該当地震：地震：2011年03月11日 14:46:18.1, 14:51:27.4",,,
Time,N-S,E-W,U-D
0,0.04499674,0.09699297,-0.05199623
0.01,0.1192414,0.06499529,-0.06374538
0.02,0.1952358,0.04849648,-0.09599304
0.03,0.1207412,-0.02849793,-0.09824288
0.04,0.009749293,-0.1127418,0.005749583
0.05,0.000499964,-0.07149482,0.1332403
0.06,0.00924933,-0.01049924,0.1819868
0.07,-0.02524817,0.02424824,0.165988
0.08,-0.01349902,0.07674444,0.166238
0.09,0.03024781,0.0924933,0.07599449
0.09999999,0.02649808,0.05324614,-0.03274763
0.11,-0.003249764,0.03674734,-0.02674806
0.12,-0.05024636,0.04299688,0.06649518
0.13,-0.06999493,0.03824723,0.1189914
0.14,0.03024781,0.01774871,0.1497391
0.15,0.09974277,0.008999348,0.1252409
0.16,0.07599449,-0.02874792,0.07399464
0.17,0.05924571,-0.0662452,0.01999855
0.18,0.06974494,-0.05599594,0.001499891
0.19,0.03474748,-0.0537461,-0.07149482
0.2,0.01474893,-0.07324469,-0.1399899
0.21,-0.03199768,-0.02249837,-0.1917361
0.22,-0.0662452,0.08699369,-0.1819868
0.23,-0.00799942,0.1232411,-0.07599449
0.24,0.0262481,0.09224331,0.03799725
0.25,0.04449677,0.0909934,0.07099485
0.26,0.1409898,0.0427469,0.0262481
0.27,0.1229911,0.02874792,-0.04474676
0.28,0.01949859,0.06249547,-0.1369901
0.29,-0.06374538,0.01149917,-0.1572386
0.3,-0.1414897,-0.05474603,-0.07549453
0.31,-0.1369901,-0.05849576,0.002249837
0.32,-0.05774581,-0.05124629,0.02299833
0.33,0.003749728,-0.01149917,0.006499529
0.34,0.03924716,0.1029925,-0.01874864
0.35,0.03924716,0.1724875,-0.05049634
0.36,0.01824868,0.08799362,-0.04874647
0.37,-0.0179987,-0.013749,0.0207485
0.38,-0.01999855,-0.06699514,0.05924571
0.39,0.02974784,-0.08074415,0.08149409
0.4,0.01499891,-0.04624665,0.08849359
0.41,-0.003249764,-0.01199913,0.0909934
0.42,0.01299906,0.005499601,0.08974349
0.43,-0.008999348,0.05749583,0.09774292
0.44,-0.005249619,0.06749511,0.04174697
0.45,0.04224694,-0.013749,0.01274908
0.46,0.02574813,-0.000749946,0.003749728
0.47,-0.001749873,0.02974784,-0.03249764
0.48,0.01074922,-0.01274908,-0.02599812
0.49,-0.000499964,-0.03524745,0.01274908
0.5,-0.0109992,-0.01449895,0.02974784
0.51,0.03074777,0.004999638,0.04399681
0.52,0.03224766,0.02274835,0.03274763
0.53,0.002999783,-0.01774871,0.02374828
0.54,-0.02474821,-0.06224549,0.02824795
0.55,-0.04924643,-0.03674734,0.08524382
0.56,-0.02724802,-0.006749511,0.1307405
0.57,0.03899717,-0.001499891,0.1199913
0.58,0.04149699,0.04749656,0.05299616
0.59,-0.02024853,0.08774364,-0.007249475
0.6,-0.03549743,0.04799652,-0.03649735
0.61,-0.01349902,0.008999348,-0.005499601
0.62,-0.01624882,0.01499891,0.006999493
0.63,0.02524817,0.003749728,0.01549888
0.64,0.07549453,0.02274835,-0.001999855
0.65,0.01724875,0.07049489,-0.01149917
0.66,-0.0109992,0.04874647,0.003249764
0.67,0.01674879,0.02474821,0.01599884
0.68,0.013749,0.04649663,-0.00924933
0.69,-0.008999348,0.02874792,-0.08724368
0.7,0.02124846,0.0109992,-0.1207412
0.71,-0.01824868,0.04349685,-0.1467394
0.72,-0.04199696,0.0344975,-0.1737374
0.73,-0.06574523,-0.000499964,-0.1447395
0.74,-0.1254909,-0.01899862,-0.06474531
0.75,-0.08774364,-0.03499746,-0.03124774
0.76,-0.01199913,0.006999493,-0.02274835
0.77,-0.009749293,0.05424607,-0.001249909
0.78,-0.001249909,-0.01049924,0.03874719
0.79,-0.02299833,-0.05149627,0.09699297
0.8,-0.05624592,-0.0799942,0.13849
0.81,-0.04524672,-0.1462394,0.1084921
0.82,0.0234983,-0.1367401,0.08049417
0.83,0.01674879,-0.05299616,0.08974349
0.84,-0.01024926,0.02299833,0.09174335
0.85,-0.005499601,0.01274908,0.08424389
0.86,0.04349685,-0.05074632,0.1394899
0.87,0.08299398,-0.01199913,0.1364901
0.88,0.09774292,0.05324614,0.04799652
0.89,0.05449605,0.02174842,0.03674734
0.9,-0.04999638,-0.07299471,0.05249619
0.91,-0.1354902,-0.1269908,0.02124846
0.92,-0.1192414,-0.06774509,-0.02224839
0.93,-0.07699442,-0.03649735,-0.02774799
0.94,-0.02249837,-0.04724658,-0.03749728
0.95,-0.005499601,-0.01124918,-0.02924788
0.96,-0.0509963,-0.00799942,-0.004499674
0.97,-0.04574668,-0.04199696,-0.03799725
0.98,0.008749366,0.01699877,-0.02724802
0.9899999,0.004249692,0.08574378,-0.009499311
1,-0.009999275,0.0179987,-0.03274763
1.01,-0.01774871,-0.08149409,-0.003499746
1.02,-0.01874864,-0.05699587,-0.003499746
1.03,0.002499819,-0.05624592,-0.06399536
1.04,0,-0.04574668,-0.09874284
1.05,-0.04349685,0.00399971,-0.08324397
1.06,-0.03649735,-0.001999855,-0.05624592
1.07,-0.01474893,0.004249692,-0.01149917
1.08,-0.02949786,0.1082422,-0.01299906
1.09,-0.04049706,0.13774,-0.04174697
1.1,-0.005499601,0.05424607,-0.009999275
1.11,0.008999348,-0.005749583,0.04724658
1.12,-0.005499601,-0.001749873,0.06824505
1.13,0.0109992,-0.03949714,0.02499819
1.14,0.0179987,-0.04449677,-0.01299906
1.15,0.005499601,-0.02099848,0.0317477
1.16,-0.03799725,-0.03274763,0.1229911
1.17,-0.05299616,-0.03024781,0.1579885
1.18,0.00399971,-0.00399971,0.1094921
1.19,0.07299471,-0.006749511,0.055246
1.2,0.07049489,0.02774799,0.02274835
1.21,-0.0289979,0.02574813,0.01849866
1.22,-0.06774509,-0.06374538,0.06449533
1.23,-0.002999783,-0.1542388,0.09849286
1.24,-0.01274908,-0.1159916,0.07524455
1.25,-0.008499384,-0.004499674,-0.01724875
1.26,0.04949641,0.05749583,-0.06574523
1.27,0.03874719,0.01974857,-0.03824723
1.28,0.013749,0.05224621,-0.03474748
1.29,0.02249837,0.1262408,-0.1369901
1.3,0.06249547,0.1229911,-0.2832295
1.31,0.1362401,0.055246,-0.3354757
1.32,0.1027426,0.06449533,-0.262481
1.33,0.005249619,0.06299543,-0.1804869
1.34,-0.05924571,-0.03624737,-0.1404898
1.35,-0.02924788,-0.1249909,-0.09499311
1.36,0.006249547,-0.09074342,-0.03099775
1.37,-0.06274545,-0.02249837,0.01699877
1.38,-0.05299616,-0.03099775,0.09374321
1.39,0.00399971,-0.1002427,0.1577386
1.4,-0.009749293,-0.1312405,0.1407398
1.41,-0.06649518,-0.1137418,0.08174407
1.42,-0.05324614,-0.06049562,0.05849576
1.43,-0.03574741,-0.02299833,0.07074487
1.44,-0.02099848,-0.02424824,0.0564959
1.45,-0.000999928,0.03599739,-0.01849866
1.46,0.08124411,0.04674661,-0.1019926
1.47,0.109742,-0.01174915,-0.05624592
1.48,0.06374538,-0.03949714,0.05349612
1.49,0.01474893,-0.03899717,0.03224766
1.5,0.04249692,-0.06949496,-0.04149699
1.51,0.07574451,-0.02424824,-0.07299471
1.52,0.005999565,0.0372473,-0.0482465
1.53,-0.09449315,0.003249764,-0.001999855
1.54,-0.08674371,-0.04874647,0.08749366
1.55,-0.0717448,-0.0109992,0.1142417
1.56,-0.06299543,-0.000249982,0.07624447
