地点名:扇橋閘門　地盤上/水門,,,,,,
ファイル名:11031101.SMC,,,,,,
起動時刻:2011/03/11 14:47:34,,,,,,
チャンネル数:6,,,,,,
"該当地震：地震：2011年03月11日 14:46:18.1, 14:51:27.4",,,,,,
Time,N-S,E-W,U-D,N-S,E-W,U-D
0,-0.001499891,-0.03299761,-0.05449605,0.006249547,-0.02524817,-0.003249764
0.01,0.02749801,-0.05499601,-0.03849721,-0.03474748,-0.02849793,0.01174915
0.02,-0.006249547,-0.05024636,-0.02299833,-0.01524889,-0.02399826,-0.007749438
0.03,-0.008999348,-0.02449822,0,-0.03474748,-0.03974712,0.003499746
0.04,-0.02374828,-0.01774871,0.02474821,0.006499529,-0.03399754,-0.02099848
0.05,-0.04149699,-0.02399826,0.004999638,0.00924933,-0.04224694,-0.01874864
0.06,-0.05424607,-0.02124846,-0.03199768,0.04024708,-0.03149772,-0.03274763
0.07,-0.08024418,0.02124846,-0.06224549,0.001249909,-0.03899717,-0.01849866
0.08,-0.06574523,0.03499746,-0.0509963,-0.008999348,-0.007749438,-0.01074922
0.09,-0.03699732,-0.008999348,-0.01074922,-0.04849648,-0.01024926,0.00924933
0.09999999,-0.04724658,-0.0564959,0.005249619,-0.02449822,-0.009999275,0.000749946
0.11,-0.03424752,-0.03849721,0.01674879,-0.03549743,-0.02949786,-0.000249982
0.12,-0.0317477,-0.04474676,0.04574668,0.004249692,-0.02574813,-0.01449895
0.13,-0.01124918,-0.07949424,0.05774581,-0.02049851,-0.02324831,-0.02399826
0.14,-0.0207485,-0.05399609,0.01149917,0.007499456,-0.006999493,-0.02774799
0.15,0.004749656,-0.04199696,-0.01774871,-0.02049851,0.008749366,-0.03549743
0.16,0.000999928,-0.06299543,-0.02199841,-0.01449895,0.01424897,-0.05999565
0.17,-0.003499746,-0.0579958,-0.02699804,-0.02724802,-0.01399899,-0.06574523
0.18,-0.04199696,-0.02699804,-0.04574668,0.02849793,0.000499964,-0.04724658
0.19,-0.02649808,0.01074922,-0.08199406,0.02199841,0.000749946,-0.03099775
0.2,-0.02774799,0.01674879,-0.09649301,0.02449822,-0.000249982,-0.01549888
0.21,-0.03574741,0.01324904,-0.06999493,-0.03074777,-0.02724802,-0.00799942
0.22,-0.02124846,0.03249764,-0.01124918,-0.03699732,-0.02224839,0.01824868
0.23,0.007249475,0.055246,0.05024636,-0.03574741,-0.01899862,0.02949786
0.24,0.04324687,0.02049851,0.04449677,0.02049851,0.005499601,0.02699804
0.25,0.07849431,-0.009749293,-0.01399899,0.00399971,-0.002499819,0.006249547
0.26,0.0192486,-0.001499891,-0.03524745,0.01549888,-0.002999783,0.02249837
0.27,-0.02324831,0.02649808,-0.01549888,-0.01824868,-0.001999855,0.02474821
0.28,-0.0109992,0.05199623,0.02024853,-0.002499819,0.01499891,0.04374683
0.29,0.01599884,0.03774726,0.03949714,-0.01074922,0.01474893,0.02799797
0.3,0.0164988,0.02774799,0.02574813,0.01174915,0.03024781,0.03249764
0.31,0.001999855,0.009999275,-0.000249982,0.001499891,0.009499311,0.001499891
0.32,0.005249619,0.007499456,-0.01324904,0.0234983,0.004999638,0.01049924
0.33,0.01324904,0.05324614,-0.0289979,-0.006749511,0.01824868,-0.005749583
0.34,-0.03049779,0.0537461,-0.02674806,0.01024926,0.0317477,0.007749438
0.35,-0.04449677,-0.002249837,-0.02499819,-0.02699804,0.01149917,-0.006999493
0.36,-0.002499819,-0.0289979,-0.001999855,0.01749873,0.000499964,0.01024926
0.37,0.0372473,-0.0109992,0.03249764,0.01599884,-0.009999275,0.004999638
0.38,0.01974857,-0.01899862,0.04524672,0.02974784,0.000499964,0.04224694
0.39,0.02424824,0.01174915,0.07099485,-0.002749801,-0.001999855,0.03624737
0.4,0.005499601,0.07774436,0.1272408,0.01699877,-0.01249909,0.05299616
0.41,-0.005999565,0.05449605,0.1359901,0.008249402,-0.02924788,0.03074777
0.42,-0.03399754,0.005249619,0.1129918,0.0234983,-0.008999348,0.06199551
0.43,-0.01224911,-0.0207485,0.08224404,-0.002499819,0.008499384,0.04849648
0.44,0.02574813,0.003249764,0.04599667,0.00799942,0.01249909,0.07224476
0.45,0.03574741,0.03649735,0.02324831,-0.01024926,0.002249837,0.05299616
0.46,-0.01024926,0.01324904,0.02649808,-0.008749366,0.007249475,0.08499384
0.47,-0.0564959,-0.04299688,0.04074705,-0.02524817,0.01149917,0.05574596
0.48,-0.02949786,-0.0289979,0.06099558,0.01999855,0.02724802,0.07974422
0.49,0.002999783,0.02224839,0.04924643,0.005749583,0.01549888,0.03099775
0.5,-0.02524817,0.01274908,0.04174697,0.01449895,0.01124918,0.04024708
0.51,-0.02199841,0.01899862,0.01624882,0.005499601,0.000749946,0.004749656
0.52,0.02499819,0.03274763,-0.02124846,0.03799725,-0.006749511,0.02249837
0.53,0.03249764,0.02974784,-0.0234983,0.01774871,-0.01999855,-0.008749366
0.54,0.01474893,-0.01399899,0.001249909,0.02099848,-0.009749293,0.01174915
0.55,0.04599667,-0.03074777,0.02324831,-0.005749583,-0.003749728,-0.03649735
0.56,0.06699514,-0.000999928,0.02724802,0.01574886,-0.001749873,0.005249619
0.57,0.06024563,0,0.02724802,0.01449895,0.004499674,-0.009749293
0.58,-0.01474893,-0.003499746,0.003249764,0.00799942,0.009749293,0.02049851
0.59,-0.07549453,0.01599884,-0.001999855,-0.004499674,-0.001499891,-0.02049851
0.6,-0.06674516,0.04699659,-0.01674879,0.01599884,-0.007749438,0.02124846
0.61,-0.02749801,0.01449895,-0.01874864,0.01324904,-0.004999638,0.009499311
