ＮＯ．,路線名,区間（箇所）,延長(ｍ),所在区,所管
都－４,放射　６号線,中野坂上交差点　（　環状　６交差点付近　）,80,中野,
都－５,放射　６号線,杉山公園交差点　（　補助　２６交差点付近　）,300,中野,
都－６,放射　６号線,高円寺陸橋下交差点　（　環状　７交差点付近　）,100,杉並,
都－７,放射　７号線,大泉学園町二～西大泉五丁目　（　補助　１３５～西東京市境　）,2000,練馬,
都－１５,放射　２５号線,新小川町～新宿七丁目　（　放射　７～放射　６）,2950,新宿,
都－１８,放射　３５号線,平和台三丁目～早宮二丁目,280,練馬,
都－１９,放射　３６号線,小茂根四丁目～平和台三丁目,1690,板橋　、練馬,
都－２５,環状　３号線,原町一～弁天町　（　放射　２５～補助　７４）,640,新宿,
都－２７,環状　４号線,富久町～余丁町　（　放射　２４～放射　６）,340,新宿,
都－２８,環状　４号線,若松町～早稲田町　（　放射　２５～補助　７４）,700,新宿,
都－２９,環状　４号線,音羽二～大塚二丁目　（　放射　２６～放射　８）,430,文京,
都－３８,環状　５の　１号線,新）　大久保二丁目～豊　）　高田二丁目　（　補助　７１付近～補助　７６）,2000,新宿　、豊島,
都－３９,環状　５の　１号線,西巣鴨交差点　（　放射　９交差点　）,250,豊島,
都－４０,環状　７号線,中十条四～神谷一丁目　（　補助　８３～補助　８９立体　）,650,北,
都－４５,補助　２６号線,杉山公園交差点　（　放射　６交差点　）,200,中野,
都－４６,補助　２６号線,中野五差路　（　補助　７１交差点　）,140,中野,
都－４７,補助　２６号線,中野）　江古田一丁目　～新　）　西落合四丁目　（　補助　７６～放射　７付近　）,500,中野　、新宿,
都－４８,補助　２６号線,南長崎六～長崎五丁目　（　補助　２２９～補助　１７２）,320,豊島,
都－４９,補助　２６号線,千早四～要町三丁目　（　千早～放射　３６）,460,豊島,
都－５０,補助　２６号線,大山町付近　（　放射　８～東武東上線　）,410,板橋,都市整備局所管
都－５６,補助　７４号線,上落合二丁目交差点　（　環状　６交差点　）,300,新宿　、中野,
都－５７,補助　７４号線,中野四～野方一丁目　（　補助　２６～環状　７）,1000,中野,
都－５８,補助　８１号線,南池袋二～東池袋五丁目　（　環状　５の　１～放射　８）,830,豊島,一部都市整備局所管
都－５９,補助　８６号線,赤羽西五～一丁目　（　補助　８５～補助　７３）,1150,北,
都－６０,補助　８６号線,赤羽南一丁目付近　（　補助　８９～補助　２４６）,300,北,
都－６７,補助　１３３号線,杉並区下井草一丁目～中野区白鷺一丁目,700,杉並、中野,
都－７３,補助　１７２号線,練馬二～早宮三丁目　（　放射　３５～早宮　）,560,練馬,
都－７４,補助　２２９号線,井草四丁目交差点　（　補助　７６交差点付近　）,280,杉並,
都－７５,補助　２２９号線,西武新宿線交差部付近　（　補助　１３２交差点付近　）,350,練馬,
都－８２,補助　７１号線,北新宿一丁目交差点　（　補助　７３交差点　）,90,新宿,
都－８３,補助　７１号線,中野五差路　（　補助　２６交差点　）,180,中野,
都－８４,補助　８３号線,中十条四～赤羽西二丁目　（　環状　７～補助　７３付近　）,550,北,
都－８５,補助　８３号線,中十条一～三丁目　（　補助　８５～環状　７）,1050,北,都市整備局所管
都－８６,補助　８５号線,上十条一～三丁目　（　埼京線立体　）,570,北,
都－８７,補助　８５号線,赤羽台三丁目付近　（　補助　７３付近～補助　１５７）,810,北,
都－９５,補助　１６９号線,高田馬場口交差点　（　環状　５の　１～補助　７２）,400,新宿,
都－９６,補助　２０４号線,舟渡交差点　（　放射　９交差点　）,150,板橋,
都－９７,補助　２３０号線,大泉学園町七～大泉町二丁目　（　補助　１３５～土支田　）,2100,練馬,
都－９８,補助　２３０号線,土支田三～高松六丁目　（　土支田～補助　１３４）,550,練馬,都市整備局所管
都－９９,補助　２３３号線,大泉学園町四～八丁目　（　補助　２３０～都道　）,500,練馬,
都－１０３,練馬区画街路　７号線,石神井町七～三丁目　（　補助　２３２付近　）,110,練馬,
