ＮＯ．,路線名,区間（箇所）,延長（ｍ）
都０６,立川３・２・４　号線外,東村山３・４・３３　号線東側～立川３・４・２２　号線西側,1080
都１５,立川３・４・２５　号線外,立川３・４・１５　号線北側付近～小平３・３・３　号線北側,1140
都４１,小金井３・４・１１　号線,ＪＲ　中央線～小金井３・５・５　号線,390
都４２,小平３・２・８　号線,国分寺市境～主地５　号線,1445
都４５,東村山３・３・８　号線外,東村山３・４・４　号線～所沢市境,2690
都４６,東村山３・４・１１　号線,東村山３・４・２２　号線～主地４　号線,1670
都４７,東村山３・４・１５　号線の１,東村山３・４・１８　号線～東村山３・４・２１　号線,1350
都４８,東村山３・４・１５　号線の２,新座市境～所沢市境,2200
都４９,東村山３・４・１８　号線,五小通り～東村山３・４・１３　号線,1060
都５０,国分寺３・３・８　号線,国分寺３・４・３　号線～小平市境,2600
都６６,西東京３・４・９　号線,西東京３・２・６　号線～東久留米市境,2590
都６７,西東京３・４・１３　号線,主地３６　号線～新座市境,190
都６８,西東京３・３・１４　号線,西東京３・２・６　号線～新座市境,500
