基標番号,所在地町名,所在地目標,所在地申請,東京湾平均海面（Ｔ．Ｐ．）ｍ,霊岸島量水標（Ａ．Ｐ．）ｍ,変動量ｍｍ,記事
研（１）,千代田区日比谷公園１,都・日比谷公園内,◎,3.9032,5.0376,-5.7,
研（２）,台東区浅草七丁目１,区・隅田公園内,◎,3.2342,4.3686,-,(H25.1.1)
研（４）,江東区南砂六丁目３,第三砂町小学校内,◎,-2.8178,-1.6834,+3.2,
研（６）,墨田区八広四丁目３５,八広地域プラザ吾嬬の里内,◎,-1.1974,-0.0630,+0.9,
研（７）,墨田区立花四丁目２２,東吾嬬小学校内,◎,-1.6329,-0.4985,+2.5,
研（９）,江東区富岡一丁目１８,数矢小学校内,◎,0.4119,1.5463,+1.4,
