地域,地点Ｎｏ,整理Ｎｏ,鉄管Ｎｏ,観測井名,所在地,設置年月,鉄管の深さ（ｍ）,鉄管の径（ｃｍ）,ストレーナの深さ（ｍ）
東久留米市,25,53,浅　2,東久留米　（浅井戸）,神宝町一丁目、黒目川・落合川合流点付近,昭　49.3,5,20,4～5
東久留米市,25,54,研　59,東久留米　第１,神宝町一丁目、黒目川・落合川合流点付近,昭　48.2,92,20,85～90
東久留米市,25,55,研　60,東久留米　第２,神宝町一丁目、黒目川・落合川合流点付近,昭　49.3,175,20,158～169
東久留米市,25,56,研　61,東久留米　第３※,神宝町一丁目、黒目川・落合川合流点付近,昭　49.3,441,15,393～417
調布市,26,57,研　67,調布　第１,調布ヶ丘三丁目、野川虎狛橋下流右岸,昭　50.3,26,20,20～25
調布市,26,58,研　68,調布　第２,調布ヶ丘三丁目、野川虎狛橋下流右岸,昭　50.3,56,20,43～53
調布市,26,59,研　69,調布　第３,調布ヶ丘三丁目、野川虎狛橋下流右岸,昭　50.3,101,20,84～95
調布市,26,60,研　70,調布　第４※,調布ヶ丘三丁目、野川虎狛橋下流右岸,昭　50.3,171,15,146～162
清瀬市,27,61,浅　3,清瀬　（浅井戸）,中清戸四丁目、清瀬第八小学校南側脇,昭　50.3,10,20,7～9
清瀬市,27,62,研　71,清瀬　第１,中清戸四丁目、清瀬第八小学校南側脇,昭　50.3,94,20,77～83
清瀬市,27,63,研　72,清瀬　第２※,中清戸四丁目、清瀬第八小学校南側脇,昭　50.3,207,15,158～186
清瀬市,27,64,研　73,清瀬　第３※,中清戸四丁目、清瀬第八小学校南側脇,昭　50.3,450,15,385～407
東大和市,28,65,浅　4,東大和　（浅井戸）,奈良橋三丁目、東大和第一中学校北東角,昭　53.3,12,20,9～11
東大和市,28,66,研　74,東大和　第１,奈良橋三丁目、東大和第一中学校北東角,昭　53.3,92,20,75～81
東大和市,28,67,研　75,東大和　第２※,奈良橋三丁目、東大和第一中学校北東角,昭　53.3,175,15,154～165
東大和市,28,68,研　76,東大和　第３※,奈良橋三丁目、東大和第一中学校北東角,昭　53.3,260,15,226～248
立川市,29,69,浅　5,立川　（浅井戸）,富士見町三丁目、残堀川滝下付近,昭　54.3,8,20,5～7
立川市,29,70,研　77,立川　第１,富士見町三丁目、残堀川滝下付近,昭　54.3,108,20,90～102
立川市,29,71,研　78,立川　第２※,富士見町三丁目、残堀川滝下付近,昭　54.3,280,15,238～255
小金井市,30,72,研　79,小金井　第１,桜町三丁目、都立小金井公園西門付近,昭　55.3,95,20,71～83
小金井市,30,73,研　80,小金井　第２※,桜町三丁目、都立小金井公園西門付近,昭　55.3,162,15,140～151
小金井市,30,74,研　81,小金井　第３※,桜町三丁目、都立小金井公園西門付近,昭　55.3,296,15,243～259
小金井市,31,75,浅　10,小金井南　（浅井戸）,東町五丁目、都立武蔵野公園内野球場南東脇,平　4.3,10,20,3～8
小金井市,31,76,研　108,小金井南　第１,東町五丁目、都立武蔵野公園内野球場南東脇,平　4.3,130,20,114～125
小金井市,31,77,研　109,小金井南　第２※,東町五丁目、都立武蔵野公園内野球場南東脇,平　4.3,210,15,167～189
武蔵村山市,32,78,研　82,武蔵村山　第１,三ツ藤三丁目、山王森公園南角,昭　56.3,103,20,94～100
武蔵村山市,32,79,研　83,武蔵村山　第２※,三ツ藤三丁目、山王森公園南角,昭　56.3,189,15,164～175
武蔵村山市,32,80,研　84,武蔵村山　第３※,三ツ藤三丁目、山王森公園南角,昭　56.3,280,15,254～265
府中市,33,81,研　85,府中　第１,武蔵台二丁目、武蔵台小学校北東側,昭　57.3,34,20,28～33
府中市,33,82,研　86,府中　第２※,武蔵台二丁目、武蔵台小学校北東側,昭　57.3,174,15,142～153
府中市,33,83,研　87,府中　第３※,武蔵台二丁目、武蔵台小学校北東側,昭　57.3,290,15,213～241
東村山市,34,84,研　88,東村山　第１,久米川町二丁目、空堀川達磨坂橋下流左岸,昭　58.3,44,20,37～42
東村山市,34,85,研　89,東村山　第２※,久米川町二丁目、空堀川達磨坂橋下流左岸,昭　58.3,201,15,170～181
東村山市,34,86,研　90,東村山　第３※,久米川町二丁目、空堀川達磨坂橋下流左岸,昭　58.3,294,15,257～273
八王子市,35,87,浅　6,八王子　（浅井戸）,大和田町二丁目、南多摩西部建設事務所水防倉庫西側脇,昭　59.3,10,20,5～10
八王子市,35,88,研　91,八王子　第１,大和田町二丁目、南多摩西部建設事務所水防倉庫西側脇,昭　59.3,105,20,88～100
八王子市,35,89,研　92,八王子　第２※,大和田町二丁目、南多摩西部建設事務所水防倉庫西側脇,昭　59.3,220,15,148～175
瑞穂町,36,90,研　93,瑞穂　第１,箱根ヶ崎、西多摩建設事務所箱根ヶ崎排水調整場南西角,昭　60.3,94,20,76～93
瑞穂町,36,91,研　94,瑞穂　第２※,箱根ヶ崎、西多摩建設事務所箱根ヶ崎排水調整場南西角,昭　60.3,180,15,142～169
多摩市,37,92,浅　13,新多摩　（浅井戸）,関戸三丁目、多摩中学校北西角,平　11.2,10,20,5～10
多摩市,37,93,研　115,新多摩　,関戸三丁目、多摩中学校北西角,平　11.2,180,20,92～125
稲城市,38,94,研　96,稲城　※,矢野口、稲城第三中学校北西角,昭　62.3,220,15,189～211
町田市,39,95,研　97,町田　第１,野津田町、薬師池公園内町田市フォトサロン北東側,昭　63.3,100,20,72～84
町田市,39,96,研　98,町田　第２※,野津田町、薬師池公園内町田市フォトサロン北東側,昭　63.3,190,15,147～169
町田市,40,97,研　106,町田南　第１,高ヶ坂三丁目、高瀬第２公園西側脇,平　3.3,60,20,42～53
町田市,40,98,研　107,町田南　第２※,高ヶ坂三丁目、高瀬第２公園西側脇,平　3.3,225,15,176～203
三鷹市,41,99,浅　8,三鷹　（浅井戸）,牟礼四丁目、都立井の頭恩賜公園内小鳥の森南西脇,平　1.3,15,20,10～15
三鷹市,41,100,研　99,三鷹　第１,牟礼四丁目、都立井の頭恩賜公園内小鳥の森南西脇,平　1.3,118,20,97～113
三鷹市,41,101,研　100,三鷹　第２※,牟礼四丁目、都立井の頭恩賜公園内小鳥の森南西脇,平　1.3,260,15,178～233
昭島市,42,102,浅　9,昭島　（浅井戸）,美堀町三丁目、昭島市エコ・パーク北西脇,平　2.3,13,20,8～13
昭島市,42,103,研　101,昭島　第１,美堀町三丁目、昭島市エコ・パーク北西脇,平　2.3,110,20,92～103
昭島市,42,104,研　102,昭島　第２※,美堀町三丁目、昭島市エコ・パーク北西脇,平　2.3,236,15,187～210
