地域,朝夕旅行速度（混雑時旅行速度）（km/h）
"東京都
（市郡部）",17.6
"東京都
（区部）",15
"東京都
（全域）",16.1
大阪市,16.1
名古屋市,17.7
横浜市,18.1
千葉市,19.2
神戸市,24.6
静岡市,28.7
全国平均,31.7
