区分,明細
場所,杉並区高円寺南2丁目～杉並区梅里1丁目地内
上部工,単純合成鋼鈑桁橋
下部工,橋台：逆T式2基　橋脚：2柱式ラーメン橋脚2基(P3・P4)、3柱式ラーメン橋脚5基(P1・P2・P5・P6・P7)
基礎工,橋台：場所打ち杭φ600　橋脚：場所打ち杭φ800(2柱式)、場所打ち杭既設φ600+増杭φ800（3柱式）
橋長/幅員(m),橋長：161.5/総幅員14
