区分,平成30年度(292日),平成29年度(293日),増減
普通／予算規模／1日(人),6605,6605,0
普通／予算規模／年延(人),1941870,1928660,13210
精神／予算規模／1日(人),600,600,0
精神／予算規模／年延(人),176400,175200,1200
結核／予算規模／1日(人),30,30,0
結核／予算規模／年延(人),8820,8760,60
合計／予算規模／1日(人),7235,7235,0
合計／予算規模／年延(人),2127090,2112620,14470
