区分,H24,H25,H26,H27,H28(速報)
紹介率(％),72.1,74.2,74.7,76,77.8
返送率(％),46.3,47.3,50.1,55.6,55.4
逆紹介率(％),27.5,29,31.2,32.9,36.6
