区分,H24,H25,H26,H27,H28(速報)
紹介率(％),72.0,74.1,75.1,77.0,78.3
返送率(％),39.1,40.5,42.7,49.0,48.1
逆紹介率(％),26.8,28.1,30.3,32.6,36.0
