産業分類階層,産業コード,産業中分類,経営組織階層,経営組織コード,経営組織,資本金階層,資本金規模コード,資本金額,事業所数,従業者数（送出者を除く）(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(29人以下は粗付加価値額)(万円),粗付加価値額(万円),生産額(30人以上)(万円),在庫額（30人以上）／製造品／年初(万円),在庫額（30人以上）／製造品／年末(万円),在庫額（30人以上）／半製品及び仕掛品／年初(万円),在庫額（30人以上）／半製品及び仕掛品／年末(万円),在庫額（30人以上）／原材料及び燃料／年初(万円),在庫額（30人以上）／原材料及び燃料／年末(万円),有形固定資産額（30人以上）／年初現在高(万円),有形固定資産額（30人以上）／取得額(万円),有形固定資産額（30人以上）／除却額(万円),有形固定資産額（30人以上）／減価償却額(万円)
0,00,総数,0,0,総数,0,00,総数,9870,246895,118752499,420221692,757766947,664640269,41228934,2918701,99547,48879496,307429056,316117846,558347492,16709926,18520457,47741047,51502673,20589109,21323416,146110043,20983909,2281074,14260947
0,00,総数,1,1,会社,0,00,総数,9564,242596,116802120,417893478,749960265,657962450,40545436,2917297,99396,48435686,302815557,311014607,552098667,16242242,18058984,47336464,51103235,20446763,21201409,134463654,20638799,2155280,13782563
0,00,総数,1,1,会社,1,01,1万円～199万円,67,551,170607,196686,502768,353853,140696,259,63,7897,276842,276842,-,-,-,-,-,-,-,-,-,-,-
0,00,総数,1,1,会社,1,02,200万円～299万円,22,158,51523,77377,178728,67827,82281,-,-,28620,93566,93566,-,-,-,-,-,-,-,-,-,-,-
0,00,総数,1,1,会社,1,03,300万円～499万円,1920,15636,5179925,6804608,16897852,11946803,4472113,31107,3816,444013,9348810,9366842,1071297,33167,32040,4999,4821,22230,21154,528799,55210,1150,16727
0,00,総数,1,1,会社,1,04,500万円～999万円,790,7387,2647531,4089516,9162458,6460029,2443603,22553,3152,233121,4679984,4703712,1038901,6638,9865,18091,18729,13798,14745,412396,90749,32854,27593
0,00,総数,1,1,会社,1,05,1000万円～4999万円,5840,105538,44027012,98672706,193727898,159468656,22517755,1138217,61240,10542030,86841982,88451754,82120951,2484051,2553186,2335224,2581666,3733790,3905199,29685703,3149786,570792,1925349
0,00,総数,1,1,会社,1,06,5000万円～9999万円,545,28865,12941805,42135205,73740611,63384839,4262353,419193,9753,5664473,28269037,29733093,54956341,1712445,1944431,2966336,2928977,2087595,2165134,17961184,5614786,209262,1658683
0,00,総数,1,1,会社,1,07,1億円～10億円未満,257,29018,15147667,53140825,89357547,79195329,4555962,368245,20809,5217202,32565330,34200375,76250576,1940965,2134230,4527773,5067181,3231130,3463400,24631592,2980730,526436,2367718
0,00,総数,1,1,会社,1,08,10億円～100億円未満,77,16638,10771414,47533373,82320679,67256686,497327,937723,22,13628921,32725170,33553892,64896996,1979169,2524209,6005717,6652428,3612867,4009985,25802004,2321520,416611,2020473
