品目階層,品目コード,品目,製造品出荷額等区分階層,製造品出荷額等区分コード,製造品出荷額等区分,産出事業所数,製造品出荷額等(その他収入を除く)(万円)
0,000000,総数,0,0,総数,17064,705968750
0,000000,総数,1,1,製造品出荷額,12608,664640269
0,000000,総数,1,2,加工賃収入額,4301,41228934
0,000000,総数,1,3,くず・廃物出荷額,155,99547
1,090000,食料品,0,0,総数,1085,66086514
1,090000,食料品,1,1,製造品出荷額,991,65398993
1,090000,食料品,1,2,加工賃収入額,89,663655
1,090000,食料品,1,3,くず・廃物出荷額,5,23866
2,091111,部分肉、冷凍肉（ブロイラーを除く）,1,1,製造品出荷額,18,1746966
2,091191,部分肉・冷凍肉（ブロイラーを除く）（賃加工）,1,2,加工賃収入額,2,x
2,091211,肉缶詰・瓶詰・つぼ詰,1,1,製造品出荷額,-,-
2,091212,肉製品,1,1,製造品出荷額,18,671323
2,091291,肉加工品（賃加工）,1,2,加工賃収入額,2,x
2,091311,処理牛乳,1,1,製造品出荷額,6,1275617
2,091312,乳飲料、乳酸菌飲料,1,1,製造品出荷額,5,2619646
2,091313,練乳、粉乳、脱脂粉乳,1,1,製造品出荷額,1,x
2,091391,処理牛乳・乳飲料（賃加工）,1,2,加工賃収入額,-,-
2,091411,バター,1,1,製造品出荷額,2,x
2,091412,チーズ,1,1,製造品出荷額,5,209044
2,091413,クリーム,1,1,製造品出荷額,1,x
2,091414,アイスクリーム,1,1,製造品出荷額,7,16982
2,091419,その他の乳製品,1,1,製造品出荷額,6,3475382
2,091491,乳製品（処理牛乳・乳飲料を除く）（賃加工）,1,2,加工賃収入額,1,x
2,091911,ブロイラー加工品（解体品を含む）,1,1,製造品出荷額,5,105661
2,091919,他に分類されない畜産食料品,1,1,製造品出荷額,11,441428
2,091991,その他の畜産食料品（賃加工）,1,2,加工賃収入額,-,-
2,092111,まぐろ缶詰,1,1,製造品出荷額,-,-
2,092112,さば缶詰,1,1,製造品出荷額,-,-
2,092119,その他の水産缶詰・瓶詰,1,1,製造品出荷額,3,14434
2,092191,水産缶詰・瓶詰（賃加工）,1,2,加工賃収入額,1,x
2,092211,寒天,1,1,製造品出荷額,3,21045
2,092212,海藻加工品,1,1,製造品出荷額,20,326273
2,092291,海藻加工（賃加工）,1,2,加工賃収入額,6,7293
2,092311,魚肉ハム・ソーセージ（鯨肉製を含む）,1,1,製造品出荷額,1,x
2,092312,その他の水産練製品,1,1,製造品出荷額,5,697813
2,092391,水産練製品（賃加工）,1,2,加工賃収入額,-,-
2,092411,塩干・塩蔵品,1,1,製造品出荷額,13,53383
