産業分類階層,産業コード,産業中分類,従業者規模階層,従業者規模コード,従業者規模,事業所数,生産額(万円),在庫額／製造品／年初(万円),在庫額／製造品／年末(万円),在庫額／半製品及び仕掛品／年初(万円),在庫額／半製品及び仕掛品／年末(万円),在庫額／原材料及び燃料／年初(万円),在庫額／原材料及び燃料／年末(万円),有形固定資産額／年初現在高／土地(万円),有形固定資産額／年初現在高／土地以外(万円),有形固定資産額／取得額／土地(万円),有形固定資産額／取得額／土地以外／計(万円),有形固定資産額／取得額／土地以外／建物等(万円),有形固定資産額／取得額／土地以外／機械等(万円),有形固定資産額／取得額／土地以外／備品等(万円),有形固定資産額／除却額／土地(万円),有形固定資産額／除却額／土地以外(万円),有形固定資産額／減価償却額(万円),有形固定資産額／建設仮勘定／増(万円),有形固定資産額／建設仮勘定／減(万円),有形固定資産額／建設仮勘定／差引増減(万円),有形固定資産額／投資総額(万円)
0,00,総数,0,00,総数,1384,558347492,16709926,18520457,47741047,51502673,20589109,21323416,55226805,90883238,1855495,19128414,5358294,9638353,4131767,526381,1754693,14260947,11492167,12397598,-905431,20078478
0,00,総数,1,01,30～49人,624,51563542,1797400,1769562,1699758,1861159,2406818,2605418,9837940,9166029,473653,1715399,561001,919306,235092,213219,144239,1171511,639794,146103,493691,2682743
0,00,総数,1,02,50～99人,452,72614209,2043148,2281051,2974076,3351613,3005863,3111006,15554600,15397950,464464,2301718,758282,1170835,372601,202169,372930,1896348,556743,496441,60302,2826484
0,00,総数,1,03,100～199人,194,70733200,1619612,1797797,3364835,3832870,3174781,3355273,10319889,15293132,36151,1752380,370453,964278,417649,68844,187689,2244540,1002811,657817,344994,2133525
0,00,総数,1,04,200～299人,38,27384627,848670,770942,1560649,1457676,921557,1015981,3273423,5053114,488836,583126,113279,353270,116577,36535,199267,645923,591462,319778,271684,1343646
0,00,総数,1,05,300～499人,36,41099994,1463135,1714045,2505278,2633494,1063407,1043696,8264833,12049405,353975,1493070,407901,789907,295262,3357,191934,1358428,702021,747143,-45122,1801923
0,00,総数,1,06,500～999人,22,46761121,1895458,2208608,6315917,6707893,4391576,4622343,2843806,9379024,x,5752329,2021853,3257770,472706,-,106503,2049069,2771419,5273257,-2501838,x
0,00,総数,1,07,1000人以上,18,248190799,7042503,7978452,29320534,31657968,5625107,5569699,5132314,24544584,x,5530392,1125525,2182987,2221880,2257,552131,4895128,5227917,4757059,470858,x
1,09,食料品製造業,0,00,総数,178,56399978,796960,826688,203465,198544,1314315,1379633,6129923,11181020,31980,1597884,495035,986882,115967,7810,266515,1400073,1188098,812170,375928,2005792
1,09,食料品製造業,1,01,30～49人,56,5704694,129543,139587,29552,30249,124459,126700,564212,644890,3333,77232,20098,47966,9168,5576,10839,84690,287935,7500,280435,361000
1,09,食料品製造業,1,02,50～99人,57,8821318,293967,304717,37479,35681,505994,557600,1709866,2409089,23947,298150,64613,193223,40314,2234,25748,271278,181074,159459,21615,343712
1,09,食料品製造業,1,03,100～199人,36,10907667,180292,189142,16263,16564,242969,243205,942745,1867038,4700,179480,68026,98806,12648,-,10160,191546,58004,70819,-12815,171365
1,09,食料品製造業,1,04,200～299人,6,2874447,5319,1169,932,1408,25450,27704,369033,920000,-,128373,22359,103356,2658,-,153835,101688,89486,92057,-2571,125802
1,09,食料品製造業,1,05,300～499人,17,12366811,95825,99892,23950,24005,128607,137733,554558,1779853,-,226406,37208,169195,20003,-,29187,242990,40448,48342,-7894,218512
1,09,食料品製造業,1,06,500～999人,5,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
