地域階層,地域コード,区市町村,事業所数／平成30年／実数,事業所数／平成30年／構成比(％),事業所数／平成30年／増減数,事業所数／平成30年／増減率(％),事業所数／平成29年／実数,事業所数／平成29年／構成比(％),従業者数(送出者を除く)／平成30年／実数(人),従業者数(送出者を除く)／平成30年／構成比(％),従業者数(送出者を除く)／平成30年／増減数(人),従業者数(送出者を除く)／平成30年／増減率(％),従業者数(送出者を除く)／平成29年／実数(人),従業者数(送出者を除く)／平成29年／構成比(％),製造品出荷額等／平成30年／金額(万円),製造品出荷額等／平成30年／構成比(％),製造品出荷額等／平成30年／増減額(万円),製造品出荷額等／平成30年／増減率(％),製造品出荷額等／平成29年／金額(万円),製造品出荷額等／平成29年／構成比(％),付加価値額注／平成30年／金額(万円),付加価値額注／平成30年／構成比(％),付加価値額注／平成30年／増減額(万円),付加価値額注／平成30年／増減率(％),付加価値額注／平成29年／金額(万円),付加価値額注／平成29年／構成比(％)
0,13000,総数,9870,100,-452,-4.4,10322,100,246895,100,-4415,-1.8,251310,100,757766947,100,-5064819,-0.7,762831766,100,307429056,100,-14016644,-4.4,321445700,100
1,13100,区部,7425,75.2,-412,-5.3,7837,75.9,134800,54.6,-3838,-2.8,138638,55.2,292111298,38.5,815928,0.3,291295370,38.2,123493929,40.2,-474904,-0.4,123968833,38.6
2,13101,千代田区,84,0.9,-7,-7.7,91,0.9,2040,0.8,-58,-2.8,2098,0.8,4280350,0.6,12157,0.3,4268193,0.6,1858168,0.6,-36759,-1.9,1894927,0.6
2,13102,中央区,108,1.1,0,0,108,1,1839,0.7,23,1.3,1816,0.7,3195709,0.4,-91010,-2.8,3286719,0.4,1421125,0.5,-125652,-8.1,1546777,0.5
2,13103,港区,72,0.7,-12,-14.3,84,0.8,1162,0.5,-117,-9.1,1279,0.5,3037532,0.4,-30842,-1,3068374,0.4,1265441,0.4,-47483,-3.6,1312924,0.4
2,13104,新宿区,233,2.4,-14,-5.7,247,2.4,5428,2.2,-558,-9.3,5986,2.4,10489978,1.4,-7995,-0.1,10497973,1.4,4533281,1.5,-31130,-0.7,4564411,1.4
2,13105,文京区,203,2.1,-13,-6,216,2.1,4827,2,-430,-8.2,5257,2.1,8744431,1.2,-1134380,-11.5,9878811,1.3,3834331,1.2,-643093,-14.4,4477424,1.4
2,13106,台東区,334,3.4,-28,-7.7,362,3.5,3498,1.4,-329,-8.6,3827,1.5,5946115,0.8,-368904,-5.8,6315019,0.8,2406902,0.8,-204131,-7.8,2611033,0.8
2,13107,墨田区,666,6.7,-37,-5.3,703,6.8,12108,4.9,-79,-0.6,12187,4.8,29504853,3.9,2927929,11,26576924,3.5,14680259,4.8,1759663,13.6,12920596,4
2,13108,江東区,438,4.4,-31,-6.6,469,4.5,8806,3.6,-436,-4.7,9242,3.7,27248687,3.6,-524691,-1.9,27773378,3.6,12035226,3.9,-485519,-3.9,12520745,3.9
2,13109,品川区,308,3.1,-14,-4.3,322,3.1,5178,2.1,-38,-0.7,5216,2.1,9903392,1.3,503065,5.4,9400327,1.2,4847214,1.6,418648,9.5,4428566,1.4
2,13110,目黒区,117,1.2,-5,-4.1,122,1.2,2533,1,55,2.2,2478,1,4842348,0.6,450956,10.3,4391392,0.6,1979946,0.6,55441,2.9,1924505,0.6
