地域階層,地域コード,区市町村,総数(万円),9食料品(万円),10飲料・飼料等(万円),11繊維工業(万円),12木材・木製品(万円),13家具・装備品(万円), 14紙・紙加工品(万円), 15印刷・同関連業(万円), 16化学工業(万円),17石油・石炭(万円),18プラスチック(万円),19ゴム製品(万円),20皮革・同製品(万円),21窯業・土石(万円),22鉄鋼業(万円),23非鉄金属(万円),24金属製品(万円),25はん用機械(万円),26生産用機械(万円),27業務用機械(万円), 28電子・デバイス(万円), 29電気機械(万円), 30情報通信機械(万円),31輸送用機械(万円),32その他(万円)
0,13000,総数,757766947,72647319,10393688,5271178,1064152,10590699,13359419,74180593,38386241,4189388,12445962,3476219,5977276,17989334,18015275,11336190,27245308,18033931,42463036,30475027,37106269,78407509,55048649,148195267,21469018
1,13100,区部,292111298,27480790,621053,4439484,940011,2925658,11531394,63430197,30683443,1623676,8371664,3053839,x,11592274,13979800,6388335,20735109,7552512,20233420,17999251,2375367,10834627,x,5030146,12277862
2,13101,千代田区,4280350,-,-,25557,-,-,22745,3912142,-,-,x,-,-,-,-,-,x,-,x,x,-,x,x,-,221782
2,13102,中央区,3195709,242406,-,89485,-,-,27368,2478143,x,-,x,-,-,-,-,-,x,-,x,x,x,x,-,-,x
2,13103,港区,3037532,241799,x,27580,-,32895,-,1076249,-,-,-,-,-,1248623,-,-,15542,166242,112117,-,-,66711,-,-,x
2,13104,新宿区,10489978,314875,x,56350,-,7532,482975,8652528,x,-,80727,-,-,-,-,-,58840,-,x,282547,21101,95346,232631,-,93117
2,13105,文京区,8744431,x,-,86694,31316,x,10616,6329885,94601,-,79603,x,x,x,-,-,x,-,x,1245106,-,101461,-,-,203886
2,13106,台東区,5946115,505299,-,426156,6890,171854,328226,1035602,52234,-,66024,43754,1539164,12666,-,x,182543,-,x,x,-,89515,x,26648,1241925
2,13107,墨田区,29504853,832760,101062,1081110,x,134746,416180,3217252,12559113,x,582465,821941,1595317,645934,1863160,106271,1924220,485946,661945,1171492,82958,221641,x,139964,757507
2,13108,江東区,27248687,3944156,x,289206,739949,572593,387448,6246979,3476417,x,604021,94059,x,3379966,1886513,1243073,710797,81337,1331590,310815,x,310656,-,531779,204380
2,13109,品川区,9903392,273124,x,13166,-,x,91244,924263,1124571,-,681451,x,x,327263,x,69177,600623,873362,1996726,570349,267753,908164,x,894372,205986
