地域階層,地域コード,地域,産業分類階層,産業コード,産業中分類,事業所数,従業者数(送出者を除く）／総数(人),従業者数(送出者を除く）／うち男(人),送出者（人）,常用労働者／総数(人),常用労働者／うち男(人),個人業主及び無給家族従業者(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(29人以下は粗付加価値額)(万円),粗付加価値額(万円),有形固定資産額（30人以上）／年初現在高(万円),有形固定資産額（30人以上）／取得額(万円),有形固定資産額（30人以上）／除却額(万円),有形固定資産額（30人以上）／減価償却額(万円)
0,13000,東京都,0,00,総数,8486,90692,60773,425,90755,60851,362,35365643,84243548,161197552,129965170,23128698,873304,52573,7177807,71401610,71401610,…,…,…,…
0,13000,東京都,1,09,食料品製造業,499,6136,3172,6,6099,3144,43,1798383,6652245,11231154,9935773,539768,-,23264,732349,4244145,4244145,…,…,…,…
0,13000,東京都,1,10,飲料・たばこ・飼料製造業,29,378,253,-,376,251,2,127923,210964,508270,475862,10704,x,-,x,233894,233894,…,…,…,…
0,13000,東京都,1,11,繊維工業,342,3116,1292,5,3077,1263,44,911551,2151316,4006280,2506227,x,x,-,368183,1726001,1726001,…,…,…,…
0,13000,東京都,1,12,木材・木製品製造業（家具を除く）,45,439,338,-,437,336,2,x,x,x,x,x,-,x,x,x,x,…,…,…,…
0,13000,東京都,1,13,家具・装備品製造業,185,1494,1070,-,1475,1058,19,592648,1060041,2275581,1920194,256935,5726,407,92319,1125508,1125508,…,…,…,…
0,13000,東京都,1,14,パルプ・紙・紙加工品製造業,341,3579,2213,15,3572,2212,22,1180713,2741935,5143931,3902694,899226,-,655,341356,2224972,2224972,…,…,…,…
0,13000,東京都,1,15,印刷・同関連業,1416,14809,10356,128,14914,10432,23,5950014,11625339,23594721,17320696,5918661,x,x,350720,11086922,11086922,…,…,…,…
0,13000,東京都,1,16,化学工業,133,1798,1128,21,1817,1145,2,724221,2511822,4555433,3797470,119616,71,-,638276,1896550,1896550,…,…,…,…
0,13000,東京都,1,17,石油製品・石炭製品製造業,14,210,166,-,210,166,-,x,x,x,x,x,-,-,x,x,x,…,…,…,…
