"年度[西暦]","戸籍数","戸籍人口[人]"
2013,162338,369628
2014,163792,372565
2015,165331,375805
2016,166834,379012
2017,168518,382542

"平成30年度港区行政資料集　戸籍数及び戸籍人口","Ver201803",
