産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.06,1.79,1.96,1.52
鉱業,3.19,1.14,3.19,1.14
建設業,1.19,0.96,0.88,0.77
製造業,0.89,1.39,0.69,1.49
電気・ガス・熱供給・水道業,7,0.26,7.58,0.29
情報通信業,0.93,0.97,1.01,0.98
運輸業,1.74,1.25,1.53,1.33
卸売・小売業,3.55,1.85,4.28,1.41
金融・保険業,1.11,1.38,1.25,1.54
不動産業,1.64,1.5,1.42,1.21
"飲食店,宿泊業",3.53,4.08,3.46,3.08
"医療,福祉",1.8,1.78,1.44,1.46
"教育,学習支援業",1.45,2.26,0.92,2.44
複合サービス事業,0.83,1.53,0.86,1.68
サービス業（他に分類されないもの）,1.87,1.95,1.79,1.66
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年９月分,,,,
第４表  産業別労働異動率,,,,
