事業所規模,産業,和暦年,西暦年,年平均・月,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
30人以上,TL 調査産業計,平成17,2005,年平均,485455,578241,308985,376360,444836,246126,347840,28520,109095,133405,62859
30人以上,TL 調査産業計,平成18,2006,年平均,489455,584977,312629,374252,443004,246981,345002,29250,115203,141973,65648
30人以上,TL 調査産業計,平成19,2007,年平均,488551,577529,318891,374024,436871,254190,345788,28236,114527,140658,64701
30人以上,TL 調査産業計,平成20,2008,年平均,499966,586585,329177,380682,442060,259661,352711,27971,119284,144525,69516
30人以上,TL 調査産業計,平成20,2008,1月,406965,477658,267197,377722,440190,254214,351039,26683,29243,37468,12983
30人以上,TL 調査産業計,平成20,2008,2月,412941,482087,276734,380811,443830,256673,353168,27643,32130,38257,20061
30人以上,TL 調査産業計,平成20,2008,3月,431564,501302,293913,384333,446940,260759,354982,29351,47231,54362,33154
30人以上,TL 調査産業計,平成20,2008,4月,405533,471817,276025,385207,446374,265696,355371,29836,20326,25443,10329
30人以上,TL 調査産業計,平成20,2008,5月,404453,471180,273377,380002,440711,260748,352010,27992,24451,30469,12629
30人以上,TL 調査産業計,平成20,2008,6月,849926,1017876,520101,379313,439863,260403,352124,27189,470613,578013,259698
30人以上,TL 調査産業計,平成20,2008,7月,510402,600182,334051,380761,441361,261726,352300,28461,129641,158821,72325
30人以上,TL 調査産業計,平成20,2008,8月,396922,462349,267262,380788,441658,260157,353271,27517,16134,20691,7105
30人以上,TL 調査産業計,平成20,2008,9月,414731,480990,284063,380549,441521,260309,354414,26135,34182,39469,23754
30人以上,TL 調査産業計,平成20,2008,10月,390962,452538,268466,380106,440565,259831,351883,28223,10856,11973,8635
30人以上,TL 調査産業計,平成20,2008,11月,418279,490147,276145,379439,441260,257176,350638,28801,38840,48887,18969
30人以上,TL 調査産業計,平成20,2008,12月,947560,1120438,606464,379246,440636,258121,351413,27833,568314,679802,348343
30人以上,D 鉱業,平成17,2005,年平均,687071,754997,384855,457838,500728,267011,448824,9014,229233,254269,117844
30人以上,D 鉱業,平成18,2006,年平均,703153,772912,385894,453473,494582,266513,444886,8587,249680,278330,119381
30人以上,D 鉱業,平成19,2007,年平均,667289,728738,394115,466148,508569,277563,434236,31912,201141,220169,116552
30人以上,D 鉱業,平成20,2008,年平均,719236,780702,424473,475703,515127,286645,446451,29252,243533,265575,137828
30人以上,D 鉱業,平成20,2008,1月,475024,517274,275907,468316,509821,272706,439516,28800,6708,7453,3201
30人以上,D 鉱業,平成20,2008,2月,471425,511470,278472,467678,507588,275377,435214,32464,3747,3882,3095
30人以上,D 鉱業,平成20,2008,3月,490748,529908,301660,463134,502447,273303,433461,29673,27614,27461,28357
30人以上,D 鉱業,平成20,2008,4月,479456,518328,297163,472598,511205,291549,440633,31965,6858,7123,5614
30人以上,D 鉱業,平成20,2008,5月,476026,515647,294011,469221,508163,290327,441884,27337,6805,7484,3684
30人以上,D 鉱業,平成20,2008,6月,1862174,2019315,1140683,465257,503540,289487,438230,27027,1396917,1515775,851196
30人以上,D 鉱業,平成20,2008,7月,596075,662232,290793,472104,512238,286906,442492,29612,123971,149994,3887
30人以上,D 鉱業,平成20,2008,8月,501602,546465,292386,498414,543141,289832,465055,33359,3188,3324,2554
30人以上,D 鉱業,平成20,2008,9月,521960,563000,304279,481463,521603,268555,459863,21600,40497,41397,35724
30人以上,D 鉱業,平成20,2008,10月,493647,530881,293223,486787,525009,281045,460459,26328,6860,5872,12178
30人以上,D 鉱業,平成20,2008,11月,582939,639715,320940,479094,515512,311039,447617,31477,103845,124203,9901
30人以上,D 鉱業,平成20,2008,12月,1662400,1805510,969862,483285,520023,305500,451832,31453,1179115,1285487,664362
30人以上,E 建設業,平成17,2005,年平均,535192,562386,319911,439710,462693,257762,413105,26605,95482,99693,62149
30人以上,E 建設業,平成18,2006,年平均,521741,548150,312921,426418,448269,253634,398714,27704,95323,99881,59287
30人以上,E 建設業,平成19,2007,年平均,518836,548764,317835,415565,440055,251087,384480,31085,103271,108709,66748
30人以上,E 建設業,平成20,2008,年平均,507331,535446,315152,407560,430466,250986,375690,31870,99771,104980,64166
30人以上,E 建設業,平成20,2008,1月,412021,436038,249766,410988,435011,248689,382188,28800,1033,1027,1077
30人以上,E 建設業,平成20,2008,2月,417712,443568,244844,415733,441511,243386,384305,31428,1979,2057,1458
30人以上,E 建設業,平成20,2008,3月,458008,485482,272326,417232,441939,250247,383106,34126,40776,43543,22079
30人以上,E 建設業,平成20,2008,4月,420049,442912,263661,409993,431768,261046,377217,32776,10056,11144,2615
