事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,平成17,2005,年平均,18.9,19.7,17.8,145.1,158.6,126.8,137.2,148.6,121.8,7.9,10,5
５～29人,平成18,2006,年平均,18.9,19.8,17.6,145.6,160,125.4,137.5,149.3,121,8.1,10.7,4.4
５～29人,平成19,2007,年平均,18.4,19.5,17,141.1,156.6,120.4,133.8,146.7,116.6,7.3,9.9,3.8
５～29人,平成20,2008,年平均,18.3,19.4,16.9,138.7,155.5,118.2,131.1,145.3,113.8,7.6,10.2,4.4
５～29人,平成20,2008,1月,16.4,17.3,15.3,123.8,138.1,105.9,116.8,128.9,101.7,7,9.2,4.2
５～29人,平成20,2008,2月,18.6,19.8,17.2,141.9,159.1,120.3,134.1,148.4,116.1,7.8,10.7,4.2
５～29人,平成20,2008,3月,18.3,19.4,16.9,139.2,156.3,117.9,131.1,145.4,113.3,8.1,10.9,4.6
５～29人,平成20,2008,4月,18.9,20.1,17.4,143.8,161.6,121.6,135.9,151,117.1,7.9,10.6,4.5
５～29人,平成20,2008,5月,18,19,16.8,136.1,151.4,117.3,129,142,113,7.1,9.4,4.3
５～29人,平成20,2008,6月,19.2,20.3,17.8,145.1,162.2,123.5,137.9,152.6,119.4,7.2,9.6,4.1
５～29人,平成20,2008,7月,19,20.1,17.6,143.7,161.1,122.7,135.9,150.6,118.2,7.8,10.5,4.5
５～29人,平成20,2008,8月,17.7,18.7,16.4,134.5,151.1,114.3,126.9,140.8,110,7.6,10.3,4.3
５～29人,平成20,2008,9月,18.3,19.4,16.9,138.7,156.1,118,131.2,145.9,113.7,7.5,10.2,4.3
５～29人,平成20,2008,10月,18.5,19.6,17.1,140.3,157.4,119.9,132.5,147,115.2,7.8,10.4,4.7
５～29人,平成20,2008,11月,18.4,19.5,17,139.8,156.9,119.2,132.1,146.7,114.6,7.7,10.2,4.6
５～29人,平成20,2008,12月,18.1,19.2,16.8,137.5,154.1,117.7,129.8,143.9,112.9,7.7,10.2,4.8
