規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,19.9,165.3,151.2,14.1,14.5,89.8,86.3,3.5
５人以上,鉱業,19.3,158.1,142.9,15.2,10.6,45.4,45.4,0
５人以上,建設業,21,177,160,17,16,112.8,108.6,4.2
５人以上,製造業,20,166.5,153.3,13.2,17.8,114,111.3,2.7
５人以上,電気・ガス・熱供給・水道業,18.9,159.9,143.9,16,15.7,119.8,116.7,3.1
５人以上,情報通信業,19,164.1,144.2,19.9,16.9,129.4,112.9,16.5
５人以上,運輸業,20.5,185.4,159,26.4,16.1,113.3,101.7,11.6
５人以上,卸売・小売業,20.3,165.1,155.9,9.2,15.4,96,92.8,3.2
５人以上,金融・保険業,18.6,152.5,137.7,14.8,15.4,102.7,98.8,3.9
５人以上,不動産業,20.5,167,154.3,12.7,15.4,93,91.1,1.9
５人以上,"飲食店,宿泊業",21.3,180.9,168.6,12.3,13.4,77.4,75.3,2.1
５人以上,"医療,福祉",19.5,152.4,144.1,8.3,13.9,76.4,74.1,2.3
５人以上,"教育,学習支援業",20.2,152.8,144.4,8.4,9.2,53.7,52.1,1.6
５人以上,複合サービス事業,18.4,159.9,147.4,12.5,15.5,94.3,92.7,1.6
５人以上,サービス業（他に分類されないもの）,19.8,165.2,149.9,15.3,15.2,98.4,94.1,4.3
30人以上,調査産業計,19.5,163.4,147.9,15.5,15.3,95.5,91.1,4.4
30人以上,鉱業,19.3,158.1,142.9,15.2,10.6,45.4,45.4,0
30人以上,建設業,20.5,173.9,156.1,17.8,17.7,127.4,124.7,2.7
30人以上,製造業,19.6,163.9,149.5,14.4,18.5,124.4,119.9,4.5
30人以上,電気・ガス・熱供給・水道業,18.9,159.7,143.3,16.4,15.7,117.6,114.2,3.4
30人以上,情報通信業,18.6,162.4,141.3,21.1,17,126.8,110.7,16.1
30人以上,運輸業,20.4,185.3,159.2,26.1,15.3,111.9,98.3,13.6
30人以上,卸売・小売業,19.8,162,151.8,10.2,17.2,107,103.3,3.7
30人以上,金融・保険業,18.6,152.5,137,15.5,15.4,104.5,99.9,4.6
30人以上,不動産業,19.8,164.3,148.8,15.5,15.9,79.4,78.2,1.2
30人以上,"飲食店,宿泊業",20.8,181,165.5,15.5,14.1,81.7,78.4,3.3
30人以上,"医療,福祉",19.5,154.1,145,9.1,13.4,71.6,69.9,1.7
30人以上,"教育,学習支援業",20.2,152.8,142.9,9.9,8,51.7,49.5,2.2
30人以上,複合サービス事業,17.9,155.3,141.8,13.5,15.8,95.6,94.8,0.8
30人以上,サービス業（他に分類されないもの）,19.4,163.5,146.8,16.7,15.8,98.7,94.6,4.1
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年２月分,,,,,,,,,
第６表  産業、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
