事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
30人以上,TL 調査産業計,平成17,2005,年平均,3554478,62276,59019,3557972,685675,22931,24038,684332
30人以上,TL 調査産業計,平成18,2006,年平均,3609721,63395,58047,3615122,697734,25879,25823,697737
30人以上,TL 調査産業計,平成19,2007,年平均,3725379,65884,60645,3730695,634195,24989,24256,634852
30人以上,TL 調査産業計,平成20,2008,年平均,3822336,66085,57397,3831575,617659,25026,23200,618933
30人以上,TL 調査産業計,平成20,2008,1月,3761497,39399,45280,3755640,621765,15773,17463,620051
30人以上,TL 調査産業計,平成20,2008,2月,3759522,41528,47639,3753403,616169,23743,28065,611855
30人以上,TL 調査産業計,平成20,2008,3月,3754070,54205,55201,3753675,611188,22863,23584,609866
30人以上,TL 調査産業計,平成20,2008,4月,3738454,256105,136763,3859039,625087,42645,44941,621548
30人以上,TL 調査産業計,平成20,2008,5月,3860801,55483,57620,3861768,619785,24903,29244,612340
30人以上,TL 調査産業計,平成20,2008,6月,3858497,47337,58623,3847461,615611,22479,18607,619233
30人以上,TL 調査産業計,平成20,2008,7月,3849290,57536,59692,3847702,617405,22362,17384,621815
30人以上,TL 調査産業計,平成20,2008,8月,3864084,34515,49110,3850000,605432,18601,19659,603863
30人以上,TL 調査産業計,平成20,2008,9月,3840266,67554,47306,3860770,613596,19913,20221,613032
30人以上,TL 調査産業計,平成20,2008,10月,3856728,61367,57494,3860662,616604,28090,25953,618680
30人以上,TL 調査産業計,平成20,2008,11月,3858492,46198,41983,3862714,620850,27706,16518,632031
30人以上,TL 調査産業計,平成20,2008,12月,3866328,31787,32055,3866067,628418,31232,16761,642882
30人以上,D 鉱業,平成17,2005,年平均,2124,42,44,2122,1,0,0,1
30人以上,D 鉱業,平成18,2006,年平均,2160,40,38,2163,1,0,0,1
30人以上,D 鉱業,平成19,2007,年平均,2097,30,36,2091,40,1,1,40
30人以上,D 鉱業,平成20,2008,年平均,2064,32,24,2071,37,0,0,38
30人以上,D 鉱業,平成20,2008,1月,2037,27,20,2044,39,0,0,39
30人以上,D 鉱業,平成20,2008,2月,2044,25,25,2044,39,0,0,39
30人以上,D 鉱業,平成20,2008,3月,2044,17,33,2028,39,0,0,39
30人以上,D 鉱業,平成20,2008,4月,2028,87,62,2053,39,0,0,39
30人以上,D 鉱業,平成20,2008,5月,2052,12,21,2043,39,0,0,39
30人以上,D 鉱業,平成20,2008,6月,2043,8,12,2039,39,0,0,39
30人以上,D 鉱業,平成20,2008,7月,2039,35,25,2049,39,0,0,39
30人以上,D 鉱業,平成20,2008,8月,2049,29,14,2064,39,0,0,39
30人以上,D 鉱業,平成20,2008,9月,2072,67,24,2115,31,0,0,31
30人以上,D 鉱業,平成20,2008,10月,2115,48,38,2125,31,0,0,31
30人以上,D 鉱業,平成20,2008,11月,2120,11,11,2120,36,0,0,36
30人以上,D 鉱業,平成20,2008,12月,2120,15,8,2127,36,2,0,38
30人以上,E 建設業,平成17,2005,年平均,205610,2537,2457,205688,1437,30,48,1418
30人以上,E 建設業,平成18,2006,年平均,205521,2800,2737,205585,1084,107,79,1111
30人以上,E 建設業,平成19,2007,年平均,203530,2817,2759,203581,5681,223,265,5647
30人以上,E 建設業,平成20,2008,年平均,207942,2902,2477,208354,5753,235,196,5807
30人以上,E 建設業,平成20,2008,1月,203660,905,1292,203275,5349,285,125,5507
30人以上,E 建設業,平成20,2008,2月,203070,1283,1122,203231,5712,324,238,5798
30人以上,E 建設業,平成20,2008,3月,203450,1329,2185,202595,5579,164,136,5606
30人以上,E 建設業,平成20,2008,4月,202595,17977,8302,212269,5606,527,261,5873
30人以上,E 建設業,平成20,2008,5月,212269,1724,4014,209799,5873,141,286,5908
30人以上,E 建設業,平成20,2008,6月,209968,2440,1901,210506,5739,274,310,5704
30人以上,E 建設業,平成20,2008,7月,210506,2419,1664,211262,5704,134,267,5570
30人以上,E 建設業,平成20,2008,8月,211264,1178,2103,210339,5568,199,114,5653
30人以上,E 建設業,平成20,2008,9月,210168,1628,1540,210255,5824,268,114,5979
30人以上,E 建設業,平成20,2008,10月,210259,1950,2617,209592,5975,299,235,6039
30人以上,E 建設業,平成20,2008,11月,209585,765,1914,208436,6046,169,74,6141
30人以上,E 建設業,平成20,2008,12月,208514,1230,1065,208679,6063,32,190,5905
30人以上,F 製造業,平成17,2005,年平均,484154,6573,7499,483325,41543,1163,1154,41454
30人以上,F 製造業,平成18,2006,年平均,480203,6394,6347,480254,43819,1292,1423,43685
30人以上,F 製造業,平成19,2007,年平均,481158,5902,5555,481519,31804,1111,1082,31818
30人以上,F 製造業,平成20,2008,年平均,488011,5765,5457,488333,31494,808,1013,31275
30人以上,F 製造業,平成20,2008,1月,482186,3420,3798,481807,32520,915,1422,32014
30人以上,F 製造業,平成20,2008,2月,485563,3112,2975,485696,28258,670,804,28128
30人以上,F 製造業,平成20,2008,3月,481586,4856,4764,481681,32238,877,887,32225
30人以上,F 製造業,平成20,2008,4月,481381,23821,10991,494241,32525,1253,734,33014
30人以上,F 製造業,平成20,2008,5月,494249,4992,5475,493767,33006,524,1405,32124
30人以上,F 製造業,平成20,2008,6月,493712,4429,5707,492427,32179,525,1149,31562
30人以上,F 製造業,平成20,2008,7月,492426,6130,5734,492817,31563,656,706,31518
30人以上,F 製造業,平成20,2008,8月,492806,3445,4335,491915,31528,1388,721,32196
30人以上,F 製造業,平成20,2008,9月,492009,2540,7268,487461,32101,1064,544,32441
30人以上,F 製造業,平成20,2008,10月,487001,6524,7051,486452,32431,832,2375,30910
30人以上,F 製造業,平成20,2008,11月,487384,2979,4543,485823,29978,513,882,29606
30人以上,F 製造業,平成20,2008,12月,485823,2936,2848,485908,29606,474,524,29559
30人以上,G 電気・ガス・熱供給・水道業,平成17,2005,年平均,33827,539,301,34064,1475,30,31,1476
30人以上,G 電気・ガス・熱供給・水道業,平成18,2006,年平均,35429,308,326,35412,1403,8,20,1391
30人以上,G 電気・ガス・熱供給・水道業,平成19,2007,年平均,33688,631,634,33683,3026,41,41,3026
30人以上,G 電気・ガス・熱供給・水道業,平成20,2008,年平均,33890,851,480,34260,2786,65,90,2762
30人以上,G 電気・ガス・熱供給・水道業,平成20,2008,1月,33502,90,214,33377,3042,116,70,3089
30人以上,G 電気・ガス・熱供給・水道業,平成20,2008,2月,33376,30,103,33305,3090,8,30,3066
30人以上,G 電気・ガス・熱供給・水道業,平成20,2008,3月,33304,151,41,33415,3067,8,32,3042
30人以上,G 電気・ガス・熱供給・水道業,平成20,2008,4月,33421,2467,1679,34210,3036,46,259,2822
30人以上,G 電気・ガス・熱供給・水道業,平成20,2008,5月,34210,129,416,33922,2822,0,73,2750
30人以上,G 電気・ガス・熱供給・水道業,平成20,2008,6月,33923,47,1013,32958,2749,25,255,2518
30人以上,G 電気・ガス・熱供給・水道業,平成20,2008,7月,32958,1001,1308,32650,2518,244,198,2565
30人以上,G 電気・ガス・熱供給・水道業,平成20,2008,8月,32650,97,611,32137,2565,25,0,2589
30人以上,G 電気・ガス・熱供給・水道業,平成20,2008,9月,32137,2586,58,34665,2589,45,41,2593
30人以上,G 電気・ガス・熱供給・水道業,平成20,2008,10月,34664,152,250,34567,2594,23,15,2601
30人以上,G 電気・ガス・熱供給・水道業,平成20,2008,11月,34567,3427,25,37969,2601,225,65,2761
30人以上,G 電気・ガス・熱供給・水道業,平成20,2008,12月,37969,32,45,37956,2761,17,41,2737
30人以上,H 情報通信業,平成17,2005,年平均,467212,12218,10044,469404,20422,781,735,20451
30人以上,H 情報通信業,平成18,2006,年平均,476250,8987,8581,476658,20439,972,1095,20313
30人以上,H 情報通信業,平成19,2007,年平均,482211,6955,6174,483015,19329,782,723,19366
30人以上,H 情報通信業,平成20,2008,年平均,491593,6565,5263,492893,24748,1357,1112,24995
30人以上,H 情報通信業,平成20,2008,1月,477726,4890,4402,478215,25035,1058,763,25329
30人以上,H 情報通信業,平成20,2008,2月,479355,4094,4258,479189,24189,1321,1258,24254
30人以上,H 情報通信業,平成20,2008,3月,479190,5040,5178,479051,24253,2456,776,25934
30人以上,H 情報通信業,平成20,2008,4月,479052,34913,8344,505620,25933,1985,3607,24312
30人以上,H 情報通信業,平成20,2008,5月,505620,3855,4754,504721,24312,341,708,23945
30人以上,H 情報通信業,平成20,2008,6月,504721,3182,9975,497928,23945,985,950,23980
30人以上,H 情報通信業,平成20,2008,7月,497928,4425,5144,497187,23980,472,828,23646
30人以上,H 情報通信業,平成20,2008,8月,497188,2965,5204,494949,23645,184,1220,22609
30人以上,H 情報通信業,平成20,2008,9月,494949,4004,4443,494512,22609,1216,633,23190
30人以上,H 情報通信業,平成20,2008,10月,494565,5510,5275,494800,23137,5840,944,28033
30人以上,H 情報通信業,平成20,2008,11月,494769,3118,3463,494423,28064,324,888,27501
30人以上,H 情報通信業,平成20,2008,12月,494052,2783,2715,494121,27872,99,767,27203
30人以上,I 運輸業,平成17,2005,年平均,233567,2896,3194,233269,28036,933,813,28156
30人以上,I 運輸業,平成18,2006,年平均,229312,3129,3451,228983,34539,1171,1002,34713
30人以上,I 運輸業,平成19,2007,年平均,227374,3986,3900,227476,30701,802,845,30643
30人以上,I 運輸業,平成20,2008,年平均,228860,4029,3992,228899,28135,647,795,27986
30人以上,I 運輸業,平成20,2008,1月,226371,3048,3001,226418,31196,511,264,31443
30人以上,I 運輸業,平成20,2008,2月,226319,2933,2447,226803,31542,767,721,31590
30人以上,I 運輸業,平成20,2008,3月,226898,4348,3728,227519,31495,543,1158,30879
30人以上,I 運輸業,平成20,2008,4月,227373,8783,6721,229512,31025,1025,1128,30845
30人以上,I 運輸業,平成20,2008,5月,229506,4097,6730,226873,30851,668,2594,28925
30人以上,I 運輸業,平成20,2008,6月,228277,4416,4095,228596,27521,1488,597,28414
30人以上,I 運輸業,平成20,2008,7月,230755,4275,4092,230885,26255,319,892,25735
30人以上,I 運輸業,平成20,2008,8月,231145,2637,3218,230580,25475,197,631,25025
30人以上,I 運輸業,平成20,2008,9月,230205,3520,3153,230555,25400,400,247,25570
30人以上,I 運輸業,平成20,2008,10月,230436,3853,4964,229325,25689,449,384,25754
30人以上,I 運輸業,平成20,2008,11月,229485,2645,2584,229546,25594,465,479,25580
30人以上,I 運輸業,平成20,2008,12月,229545,3798,3169,230174,25581,936,445,26072
30人以上,J 卸売・小売業,平成17,2005,年平均,610894,10042,9095,611840,174328,4139,4199,174269
30人以上,J 卸売・小売業,平成18,2006,年平均,654698,12510,9211,657998,161881,4874,4902,161851
30人以上,J 卸売・小売業,平成19,2007,年平均,647094,9609,9633,647425,182278,5530,5692,181762
30人以上,J 卸売・小売業,平成20,2008,年平均,682402,13185,9387,686432,158974,4479,4649,158572
30人以上,J 卸売・小売業,平成20,2008,1月,663164,6539,8809,660894,165987,1699,2897,164789
30人以上,J 卸売・小売業,平成20,2008,2月,662560,8212,9874,660893,163123,3374,7954,158548
30人以上,J 卸売・小売業,平成20,2008,3月,661804,12389,9144,665057,157637,5331,5460,157500
30人以上,J 卸売・小売業,平成20,2008,4月,660996,29873,14937,676126,161561,6860,7284,160943
30人以上,J 卸売・小売業,平成20,2008,5月,677186,9743,9168,680233,159883,4316,3731,157996
30人以上,J 卸売・小売業,平成20,2008,6月,677080,11964,8451,680670,161149,3427,3295,161204
30人以上,J 卸売・小売業,平成20,2008,7月,680772,13548,12310,682055,161102,3189,3372,160874
30人以上,J 卸売・小売業,平成20,2008,8月,694464,6012,8930,691858,148465,2986,3418,147721
30人以上,J 卸売・小売業,平成20,2008,9月,680837,32815,7183,706105,158742,3152,4621,157637
30人以上,J 卸売・小売業,平成20,2008,10月,710761,10582,10659,710765,152981,3731,5067,151564
30人以上,J 卸売・小売業,平成20,2008,11月,706066,12735,7908,710875,156263,10910,4141,163050
30人以上,J 卸売・小売業,平成20,2008,12月,713130,3809,5271,711648,160795,4767,4553,161029
30人以上,K 金融・保険業,平成17,2005,年平均,280998,5625,5671,280951,18766,439,588,18618
30人以上,K 金融・保険業,平成18,2006,年平均,285098,6438,5493,286033,22865,569,443,23001
30人以上,K 金融・保険業,平成19,2007,年平均,306547,7775,6142,308181,19733,459,422,19769
30人以上,K 金融・保険業,平成20,2008,年平均,313900,6005,5952,313951,20570,572,382,20762
30人以上,K 金融・保険業,平成20,2008,1月,316811,3303,4207,315907,14516,108,122,14502
30人以上,K 金融・保険業,平成20,2008,2月,309610,4457,5973,308094,20799,2605,359,23045
30人以上,K 金融・保険業,平成20,2008,3月,309477,7846,6889,310516,21662,469,466,21583
30人以上,K 金融・保険業,平成20,2008,4月,309668,23487,16645,316511,22431,633,542,22521
30人以上,K 金融・保険業,平成20,2008,5月,316510,7187,4327,319372,22522,344,960,21904
30人以上,K 金融・保険業,平成20,2008,6月,319180,2081,6893,314368,22096,485,299,22282
30人以上,K 金融・保険業,平成20,2008,7月,314460,5173,6102,313530,22190,450,422,22219
30人以上,K 金融・保険業,平成20,2008,8月,316070,2582,4027,314626,19679,358,123,19913
30人以上,K 金融・保険業,平成20,2008,9月,314522,3965,4795,313693,20017,207,347,19876
30人以上,K 金融・保険業,平成20,2008,10月,313126,6276,5945,313457,20443,151,567,20027
30人以上,K 金融・保険業,平成20,2008,11月,313457,2750,2303,313904,20027,650,219,20458
30人以上,K 金融・保険業,平成20,2008,12月,313904,2947,3320,313437,20458,409,153,20808
30人以上,L 不動産業,平成17,2005,年平均,57590,1084,1019,57655,9463,240,314,9389
30人以上,L 不動産業,平成18,2006,年平均,57198,976,1045,57137,8627,199,229,8588
30人以上,L 不動産業,平成19,2007,年平均,58748,1200,1105,58844,7140,352,267,7226
30人以上,L 不動産業,平成20,2008,年平均,59275,1133,1209,59191,7675,231,243,7670
30人以上,L 不動産業,平成20,2008,1月,58778,704,852,58628,8131,136,233,8036
30人以上,L 不動産業,平成20,2008,2月,58822,583,800,58604,7842,238,274,7807
30人以上,L 不動産業,平成20,2008,3月,58488,602,957,58132,7923,234,289,7869
30人以上,L 不動産業,平成20,2008,4月,58252,6089,3472,60777,7749,341,405,7777
30人以上,L 不動産業,平成20,2008,5月,60904,897,1713,60084,7650,251,259,7646
30人以上,L 不動産業,平成20,2008,6月,60135,620,1152,59603,7595,238,188,7645
