事業所規模,産業,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,TL 調査産業計,平成17,2005,年平均,18.8,19.4,17.9,148.5,159.1,130.6,137.3,145.8,123,11.2,13.3,7.6
５人以上,TL 調査産業計,平成18,2006,年平均,18.9,19.5,17.8,149.9,160.8,131.4,138.2,146.8,123.6,11.7,14,7.8
５人以上,TL 調査産業計,平成19,2007,年平均,18.9,19.5,17.8,150.4,161.2,132.1,138.6,147,124.4,11.8,14.2,7.7
５人以上,TL 調査産業計,平成20,2008,年平均,18.8,19.4,17.7,149.3,160.2,131,137.6,146.2,123.2,11.7,14,7.8
５人以上,TL 調査産業計,平成20,2008,1月,17.2,17.8,16.3,137.1,147,120.3,126,133.8,112.8,11.1,13.2,7.5
５人以上,TL 調査産業計,平成20,2008,2月,18.8,19.5,17.7,149.9,161,131.1,138,146.6,123.4,11.9,14.4,7.7
５人以上,TL 調査産業計,平成20,2008,3月,18.8,19.4,17.7,150.1,161.4,131.1,137.6,146.4,122.8,12.5,15,8.3
５人以上,TL 調査産業計,平成20,2008,4月,19.4,20.1,18.3,155.1,166.6,135.9,142.6,151.7,127.4,12.5,14.9,8.5
５人以上,TL 調査産業計,平成20,2008,5月,18.6,19.2,17.6,147.7,157.8,130.8,136.2,144.2,122.9,11.5,13.6,7.9
５人以上,TL 調査産業計,平成20,2008,6月,19.5,20.1,18.4,154.1,165,135.7,142.7,151.4,128.1,11.4,13.6,7.6
５人以上,TL 調査産業計,平成20,2008,7月,19.7,20.4,18.6,156.5,168.3,137,144.6,154,129.1,11.9,14.3,7.9
５人以上,TL 調査産業計,平成20,2008,8月,18.2,18.8,17.3,145.2,155.6,127.6,134,142.1,120.2,11.2,13.5,7.4
５人以上,TL 調査産業計,平成20,2008,9月,18.6,19.1,17.6,147.5,158.1,129.9,136.3,144.6,122.5,11.2,13.5,7.4
５人以上,TL 調査産業計,平成20,2008,10月,19.3,20,18.2,153.6,165,134.4,141.7,150.8,126.3,11.9,14.2,8.1
５人以上,TL 調査産業計,平成20,2008,11月,18.6,19.2,17.5,147.9,159,129.2,136.2,145,121.4,11.7,14,7.8
５人以上,TL 調査産業計,平成20,2008,12月,18.5,19.1,17.5,147.2,157.8,129.5,135.5,143.9,121.5,11.7,13.9,8
