事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
30人以上,TL 調査産業計,平成17,2005,年平均,19.6,161.9,147.4,14.5,14.9,89.9,85.5,4.4
30人以上,TL 調査産業計,平成18,2006,年平均,19.6,163.8,148.5,15.3,14.8,91.3,87.1,4.2
30人以上,TL 調査産業計,平成19,2007,年平均,19.7,165,149.3,15.7,15.6,96.2,91.9,4.3
30人以上,TL 調査産業計,平成20,2008,年平均,19.6,164.1,148.9,15.2,15.2,94.9,90.7,4.2
30人以上,TL 調査産業計,平成20,2008,1月,18.1,152.2,137.7,14.5,14.6,91.2,86.7,4.5
30人以上,TL 調査産業計,平成20,2008,2月,19.5,163.4,147.9,15.5,15.3,95.5,91.1,4.4
30人以上,TL 調査産業計,平成20,2008,3月,19.7,165.1,148.9,16.2,15.1,95.6,90.9,4.7
30人以上,TL 調査産業計,平成20,2008,4月,20.4,171,154.5,16.5,15.5,98.3,93.8,4.5
30人以上,TL 調査産業計,平成20,2008,5月,19.5,162.5,147.4,15.1,15.2,95.6,91.4,4.2
30人以上,TL 調査産業計,平成20,2008,6月,20.2,168.4,153.5,14.9,15.7,96.9,92.8,4.1
30人以上,TL 調査産業計,平成20,2008,7月,20.8,173.3,157.9,15.4,15.7,97.2,92.8,4.4
30人以上,TL 調査産業計,平成20,2008,8月,19,159.1,144.8,14.3,14.9,94.2,90.1,4.1
30人以上,TL 調査産業計,平成20,2008,9月,19.3,161.1,146.6,14.5,15,93.4,89.5,3.9
30人以上,TL 調査産業計,平成20,2008,10月,20.4,170.3,154.8,15.5,15.4,94.9,91,3.9
30人以上,TL 調査産業計,平成20,2008,11月,19.3,161.3,146.1,15.2,15,92.6,88.8,3.8
30人以上,TL 調査産業計,平成20,2008,12月,19.3,161.3,146.2,15.1,15.1,94.1,89.7,4.4
30人以上,D 鉱業,平成17,2005,年平均,19.3,149.1,144.7,4.4,4,23,23,0
30人以上,D 鉱業,平成18,2006,年平均,19.6,150.5,146.7,3.8,3.1,17.9,17.9,0
30人以上,D 鉱業,平成19,2007,年平均,19.8,159.8,144.5,15.3,13.7,64.4,64.3,0.1
30人以上,D 鉱業,平成20,2008,年平均,19.6,158.5,144.2,14.3,13.5,60.6,60,0.6
30人以上,D 鉱業,平成20,2008,1月,18.5,150,136.4,13.6,13,60.3,60.3,0
30人以上,D 鉱業,平成20,2008,2月,19.3,158.1,142.9,15.2,10.6,45.4,45.4,0
30人以上,D 鉱業,平成20,2008,3月,19.2,155.4,141,14.4,14.1,65.7,65.5,0.2
30人以上,D 鉱業,平成20,2008,4月,20.4,165.9,150,15.9,13.1,59.6,59.4,0.2
30人以上,D 鉱業,平成20,2008,5月,19.1,155.1,139.4,15.7,12.8,58.8,58.7,0.1
30人以上,D 鉱業,平成20,2008,6月,19.6,158.4,144.5,13.9,14.5,65.3,64.5,0.8
30人以上,D 鉱業,平成20,2008,7月,21.2,170,155.8,14.2,15.7,71.9,71.4,0.5
30人以上,D 鉱業,平成20,2008,8月,19.6,159.7,143.6,16.1,13.1,60.2,59.3,0.9
30人以上,D 鉱業,平成20,2008,9月,19.8,156,148.4,7.6,13.8,57.3,57.3,0
30人以上,D 鉱業,平成20,2008,10月,21.4,168.2,159.5,8.7,13.2,53.3,53.3,0
30人以上,D 鉱業,平成20,2008,11月,18.2,151.6,132.4,19.2,13.4,62.6,60.6,2
30人以上,D 鉱業,平成20,2008,12月,18.5,154.1,136.6,17.5,14.3,65.5,63,2.5
30人以上,E 建設業,平成17,2005,年平均,20.1,166.2,153.7,12.5,21.1,157.1,154.6,2.5
30人以上,E 建設業,平成18,2006,年平均,20.5,172.5,156.8,15.7,14.3,83.2,81.6,1.6
30人以上,E 建設業,平成19,2007,年平均,20.5,174.1,157.4,16.7,17.5,129,126,3
30人以上,E 建設業,平成20,2008,年平均,20.4,173.6,156.2,17.4,17.3,125.1,122,3.1
30人以上,E 建設業,平成20,2008,1月,18.6,156.2,141.4,14.8,16.2,112.3,109,3.3
30人以上,E 建設業,平成20,2008,2月,20.5,173.9,156.1,17.8,17.7,127.4,124.7,2.7
30人以上,E 建設業,平成20,2008,3月,20.7,176.4,157.8,18.6,17.8,127.9,125.5,2.4
30人以上,E 建設業,平成20,2008,4月,21.6,181.9,165.9,16,18.5,134.4,131.1,3.3
30人以上,E 建設業,平成20,2008,5月,20.1,168.7,153.2,15.5,17.8,129.1,126.1,3
30人以上,E 建設業,平成20,2008,6月,21.2,179.5,162.6,16.9,17.9,130.5,126.9,3.6
