事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,TL 調査産業計,平成17,2005,年平均,6344869,3987491,2357378,135744,75553,60191,134863,74283,60580,6345750,3988761,2356989,20.4,10.1,37.9
５人以上,TL 調査産業計,平成18,2006,年平均,6395191,4016010,2379181,141384,74178,67206,133357,71271,62086,6403218,4018917,2384301,20.3,10.6,36.8
５人以上,TL 調査産業計,平成19,2007,年平均,6482040,4073527,2408513,145927,76877,69050,137658,72908,64750,6490309,4077496,2412813,20.2,10.6,36.3
５人以上,TL 調査産業計,平成20,2008,年平均,6579296,4124424,2454871,145845,77920,67925,134754,71724,63030,6590387,4130620,2459766,20.1,10.4,36.4
５人以上,TL 調査産業計,平成20,2008,1月,6524175,4104291,2419884,91356,45223,46133,110781,56311,54470,6504750,4093203,2411547,20.5,10.5,37.4
５人以上,TL 調査産業計,平成20,2008,2月,6504750,4083193,2421557,111473,59345,52128,125746,67384,58362,6490477,4075154,2415323,20.3,10.3,37.2
５人以上,TL 調査産業計,平成20,2008,3月,6490477,4072868,2417609,130911,70397,60514,135386,69904,65482,6486002,4073361,2412641,20.4,10.4,37.2
５人以上,TL 調査産業計,平成20,2008,4月,6486002,4064062,2421940,407658,231919,175739,278260,152594,125666,6615400,4143387,2472013,20,10.3,36.2
５人以上,TL 調査産業計,平成20,2008,5月,6615399,4151863,2463536,149139,75311,73828,142646,76079,66567,6621892,4151095,2470797,19.9,10.2,36.1
５人以上,TL 調査産業計,平成20,2008,6月,6621892,4158571,2463321,123021,63254,59767,127570,66044,61526,6617343,4155781,2461562,20.1,10.6,36.1
５人以上,TL 調査産業計,平成20,2008,7月,6617344,4135406,2481938,129418,76521,52897,123256,69547,53709,6623506,4142380,2481126,20,10.5,35.9
５人以上,TL 調査産業計,平成20,2008,8月,6623505,4154909,2468596,94368,46579,47789,126164,66788,59376,6591709,4134700,2457009,19.7,10.2,35.6
５人以上,TL 調査産業計,平成20,2008,9月,6591708,4120944,2470764,135935,75154,60781,118153,63529,54624,6609490,4132569,2476921,19.8,10.2,35.9
５人以上,TL 調査産業計,平成20,2008,10月,6609020,4141201,2467819,149731,77032,72699,134067,73611,60456,6624684,4144622,2480062,19.9,10.3,36
５人以上,TL 調査産業計,平成20,2008,11月,6624684,4143375,2481309,122367,66566,55801,104459,50999,53460,6642592,4158942,2483650,20.2,10.5,36.4
５人以上,TL 調査産業計,平成20,2008,12月,6642593,4162410,2480183,104763,47743,57020,90560,47900,42660,6656796,4162253,2494543,20.3,10.5,36.7
５人以上,D 鉱業,平成17,2005,年平均,2696,2208,488,59,47,12,53,39,13,2702,2216,487,0,0,0.2
５人以上,D 鉱業,平成18,2006,年平均,2162,1772,390,40,35,5,38,33,5,2164,1774,390,0,0,0.3
５人以上,D 鉱業,平成19,2007,年平均,2137,1745,393,31,28,3,37,32,5,2131,1741,391,1.9,0.1,9.7
