事業所規模,和暦年,西暦年,年平均・月,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
100～499人,平成19,2007,年平均,484486,566942,320819,374699,434161,256673,345211,29488,109787,132781,64146
100～499人,平成20,2008,年平均,491655,574847,326738,377087,436547,259215,347606,29481,114568,138300,67523
100～499人,平成20,2008,1月,393958,458187,264055,376833,436221,256720,348919,27914,17125,21966,7335
100～499人,平成20,2008,2月,430137,499276,292428,379579,439419,260390,349492,30087,50558,59857,32038
100～499人,平成20,2008,3月,434522,498764,306724,382865,442669,263895,351751,31114,51657,56095,42829
100～499人,平成20,2008,4月,397136,461339,271220,382550,442628,264724,350319,32231,14586,18711,6496
100～499人,平成20,2008,5月,395737,458222,272220,375039,432342,261768,345098,29941,20698,25880,10452
100～499人,平成20,2008,6月,791400,948115,482835,373473,431855,258522,344730,28743,417927,516260,224313
100～499人,平成20,2008,7月,518895,606185,347402,375534,434589,259513,345768,29766,143361,171596,87889
100～499人,平成20,2008,8月,402309,469200,268419,377014,435638,259672,348222,28792,25295,33562,8747
100～499人,平成20,2008,9月,384826,445091,265308,376681,436457,258131,349572,27109,8145,8634,7177
100～499人,平成20,2008,10月,381996,442461,262078,374280,433528,256778,345080,29200,7716,8933,5300
100～499人,平成20,2008,11月,400261,469843,263528,375678,437571,254054,345624,30054,24583,32272,9474
100～499人,平成20,2008,12月,964346,1137647,620875,375668,435826,256438,346833,28835,588678,701821,364437
500人以上,平成17,2005,年平均,591299,692678,360448,437268,506336,279991,400030,37238,154031,186342,80457
500人以上,平成18,2006,年平均,594616,699352,367378,430019,498832,280721,392586,37433,164597,200520,86657
500人以上,平成19,2007,年平均,583457,682734,378031,425435,490255,291308,387378,38057,158022,192479,86723
500人以上,平成20,2008,年平均,588935,684796,387900,428729,491632,296811,390793,37936,160206,193164,91089
500人以上,平成20,2008,1月,502838,587681,325221,423406,487117,290029,388192,35214,79432,100564,35192
500人以上,平成20,2008,2月,471818,545132,318839,426962,491681,291918,390116,36846,44856,53451,26921
500人以上,平成20,2008,3月,458975,527012,316627,430766,495375,295592,391350,39416,28209,31637,21035
500人以上,平成20,2008,4月,450203,513699,318480,431427,492939,303821,392061,39366,18776,20760,14659
500人以上,平成20,2008,5月,456131,526307,312102,426058,489412,296031,388554,37504,30073,36895,16071
500人以上,平成20,2008,6月,1136108,1356934,678542,427109,490048,296694,389859,37250,708999,866886,381848
500人以上,平成20,2008,7月,570961,665709,373621,429791,492316,299564,390418,39373,141170,173393,74057
500人以上,平成20,2008,8月,442236,507881,305518,429688,492456,298962,392158,37530,12548,15425,6556
500人以上,平成20,2008,9月,444181,509507,307268,430394,493528,298074,394525,35869,13787,15979,9194
500人以上,平成20,2008,10月,447883,511154,311279,431008,492095,299119,391568,39440,16875,19059,12160
500人以上,平成20,2008,11月,475985,546357,324749,430412,492425,297141,390458,39954,45573,53932,27608
500人以上,平成20,2008,12月,1196382,1403152,756139,427699,490225,294572,390250,37449,768683,912927,461567
,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成20年確報,,,,,,,,,,,,,,
第３表　規模、性別常用労働者の一人平均月間現金給与額（調査産業計）,,,,,,,,,,,,,,
