産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.27,2.03,2,1.87
鉱業,2.24,1.77,2.24,1.77
建設業,1.12,1.43,1.04,1.32
製造業,1.39,1.67,1.42,1.81
電気・ガス・熱供給・水道業,0.44,0.8,0.47,0.71
情報通信業,2,1.31,2.19,1.2
運輸業,1.53,2.14,1.68,2.09
卸売・小売業,2.05,2.09,1.66,1.82
金融・保険業,2.24,2.08,1.93,1.95
不動産業,1.68,2.68,1.9,2.74
"飲食店,宿泊業",5.65,3.75,3.22,3.17
"医療,福祉",1.59,1.72,1.57,1.73
"教育,学習支援業",3.83,2.18,4.73,2.43
複合サービス事業,0.66,1.07,0.66,0.65
サービス業（他に分類されないもの）,2.35,2.07,2.11,2
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１０月分,,,,
第４表  産業別労働異動率,,,,
