産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.71,1.93,1.49,1.73
鉱業,1.2,1.2,1.2,1.2
建設業,1.13,1.03,0.77,0.65
製造業,0.88,0.8,0.74,0.74
電気・ガス・熱供給・水道業,0.28,0.34,0.1,0.36
情報通信業,1.79,1.04,1.08,1.1
運輸業,1.41,1.23,1.43,1.23
卸売・小売業,1.62,2.32,1.4,2.16
金融・保険業,1.92,1.94,2.14,1.92
不動産業,1.34,2.36,1.23,1.61
"飲食店,宿泊業",3.16,4.49,2.64,3.92
"医療,福祉",1.9,1.86,1.81,1.46
"教育,学習支援業",1.01,2.78,0.41,2.78
複合サービス事業,2.9,2.81,3.1,3.7
サービス業（他に分類されないもの）,2.04,1.77,2.18,1.91
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年２月分,,,,
第４表  産業別労働異動率,,,,
