事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
30人以上,TL 調査産業計,平成17,2005,年平均,556683,427462,394492,32970,129221,115669,111060,105643,5417,4609
30人以上,TL 調査産業計,平成18,2006,年平均,561232,424531,390813,33718,136701,117843,113939,107819,6120,3904
30人以上,TL 調査産業計,平成19,2007,年平均,551078,417777,385730,32047,133301,121193,116966,111118,5848,4227
30人以上,TL 調査産業計,平成20,2008,年平均,560621,422956,391435,31521,137665,124540,119026,113026,6000,5514
30人以上,TL 調査産業計,平成20,2008,1月,455139,421191,391119,30072,33948,115351,114585,108422,6163,766
30人以上,TL 調査産業計,平成20,2008,2月,460992,423684,392479,31205,37308,118973,118517,112664,5853,456
30人以上,TL 調査産業計,平成20,2008,3月,481845,427437,394360,33077,54408,122400,119299,112861,6438,3101
30人以上,TL 調査産業計,平成20,2008,4月,451915,428509,394860,33649,23406,122861,121306,114709,6597,1555
30人以上,TL 調査産業計,平成20,2008,5月,449709,421633,390149,31484,28076,120798,119069,112967,6102,1729
30人以上,TL 調査産業計,平成20,2008,6月,964280,420819,390214,30605,543461,136312,120298,114424,5874,16014
30人以上,TL 調査産業計,平成20,2008,7月,571372,422532,390468,32064,148840,131707,121314,115230,6084,10393
30人以上,TL 調査産業計,平成20,2008,8月,440097,421492,390597,30895,18605,121514,121139,115171,5968,375
30人以上,TL 調査産業計,平成20,2008,9月,462062,422526,393110,29416,39536,117574,117007,111467,5540,567
30人以上,TL 調査産業計,平成20,2008,10月,434500,422052,390204,31848,12448,118957,118046,112471,5575,911
30人以上,TL 調査産業計,平成20,2008,11月,466834,421942,389353,32589,44892,119042,117499,112043,5456,1543
30人以上,TL 調査産業計,平成20,2008,12月,1078979,421830,390462,31368,657149,148238,120240,113902,6338,27998
30人以上,D 鉱業,平成17,2005,年平均,687331,458006,448988,9018,229325,55619,49905,49905,0,5714
30人以上,D 鉱業,平成18,2006,年平均,703499,453691,445099,8592,249808,40074,35852,35852,0,4222
30人以上,D 鉱業,平成19,2007,年平均,678091,473173,440651,32522,204918,102823,99062,98989,73,3761
30人以上,D 鉱業,平成20,2008,年平均,730537,482660,452894,29766,247877,92078,89633,88919,714,2445
30人以上,D 鉱業,平成20,2008,1月,482158,475321,445970,29351,6837,101795,101795,101795,0,0
30人以上,D 鉱業,平成20,2008,2月,478743,474925,441841,33084,3818,87897,87897,87897,0,0
30人以上,D 鉱業,平成20,2008,3月,498240,470146,439906,30240,28094,99641,97077,96974,103,2564
30人以上,D 鉱業,平成20,2008,4月,486872,479883,447308,32575,6989,91410,91410,91359,51,0
30人以上,D 鉱業,平成20,2008,5月,483195,476261,448405,27856,6934,99641,99641,99590,51,0
30人以上,D 鉱業,平成20,2008,6月,1895669,472306,444762,27544,1423363,109308,96359,96359,0,12949
30人以上,D 鉱業,平成20,2008,7月,605238,478902,448729,30173,126336,115821,115821,115616,205,0
30人以上,D 鉱業,平成20,2008,8月,509270,506021,472032,33989,3249,97308,97308,97154,154,0
30人以上,D 鉱業,平成20,2008,9月,528956,487859,465939,21920,41097,49581,49581,49581,0,0
30人以上,D 鉱業,平成20,2008,10月,500128,493168,466455,26713,6960,50387,50387,50387,0,0
30人以上,D 鉱業,平成20,2008,11月,591404,486026,454066,31960,105378,84389,70833,67805,3028,13556
30人以上,D 鉱業,平成20,2008,12月,1689618,489958,458046,31912,1199660,100324,100324,95243,5081,0
30人以上,E 建設業,平成17,2005,年平均,537736,441594,414844,26750,96142,168724,168289,162508,5781,435
30人以上,E 建設業,平成18,2006,年平均,524033,428204,400365,27839,95829,92598,91974,89436,2538,624
30人以上,E 建設業,平成19,2007,年平均,528329,422265,390457,31808,106064,177645,174769,169698,5071,2876
30人以上,E 建設業,平成20,2008,年平均,516349,413863,381272,32591,102486,182560,180563,174671,5892,1997
30人以上,E 建設業,平成20,2008,1月,418310,417251,387834,29417,1059,176302,176228,170587,5641,74
30人以上,E 建設業,平成20,2008,2月,424241,422208,390052,32156,2033,187271,187184,181436,5748,87
30人以上,E 建設業,平成20,2008,3月,465555,423658,388704,34954,41897,184061,183968,179903,4065,93
30人以上,E 建設業,平成20,2008,4月,426196,415861,382346,33515,10335,197932,197926,191858,6068,6
30人以上,E 建設業,平成20,2008,5月,422491,403724,374820,28904,18767,191904,191605,185324,6281,299
30人以上,E 建設業,平成20,2008,6月,771559,411809,380751,31058,359750,175246,167603,161495,6108,7643
30人以上,E 建設業,平成20,2008,7月,598147,411782,379515,32267,186365,174192,173612,167146,6466,580
30人以上,E 建設業,平成20,2008,8月,429188,409499,377474,32025,19689,161922,161835,155161,6674,87
30人以上,E 建設業,平成20,2008,9月,417787,412280,380672,31608,5507,167073,164755,158883,5872,2318
30人以上,E 建設業,平成20,2008,10月,413744,409451,375722,33729,4293,197898,190519,184825,5694,7379
30人以上,E 建設業,平成20,2008,11月,446780,413344,377864,35480,33436,185854,185544,179929,5615,310
30人以上,E 建設業,平成20,2008,12月,956196,416315,380292,36023,539881,189112,184443,178009,6434,4669
30人以上,F 製造業,平成17,2005,年平均,565823,424458,389222,35236,141365,158851,151004,142304,8700,7847
30人以上,F 製造業,平成18,2006,年平均,573731,423903,388322,35581,149828,163804,156273,145812,10461,7531
30人以上,F 製造業,平成19,2007,年平均,583913,433557,402545,31012,150356,134171,125358,118633,6725,8813
30人以上,F 製造業,平成20,2008,年平均,583787,434711,404544,30167,149076,139030,131228,123908,7320,7802
30人以上,F 製造業,平成20,2008,1月,444237,432689,404247,28442,11548,116610,116453,109939,6514,157
30人以上,F 製造業,平成20,2008,2月,439534,436068,405776,30292,3466,135624,135382,128708,6674,242
30人以上,F 製造業,平成20,2008,3月,445850,437559,404327,33232,8291,127680,127417,120299,7118,263
30人以上,F 製造業,平成20,2008,4月,461069,438873,406575,32298,22196,135200,131113,123518,7595,4087
30人以上,F 製造業,平成20,2008,5月,447717,432184,401641,30543,15533,126315,125958,118212,7746,357
30人以上,F 製造業,平成20,2008,6月,1106066,436558,406474,30084,669508,159270,133222,126009,7213,26048
30人以上,F 製造業,平成20,2008,7月,653138,437924,406499,31425,215214,148074,135871,127882,7989,12203
30人以上,F 製造業,平成20,2008,8月,439390,433905,404585,29320,5485,129746,129384,122237,7147,362
30人以上,F 製造業,平成20,2008,9月,438424,432331,404685,27646,6093,138087,137914,130544,7370,173
30人以上,F 製造業,平成20,2008,10月,452499,434915,403754,31161,17584,135000,134217,126813,7404,783
30人以上,F 製造業,平成20,2008,11月,478242,432139,401671,30468,46103,137232,135336,127608,7728,1896
30人以上,F 製造業,平成20,2008,12月,1194436,431378,404268,27110,763058,183034,133719,126430,7289,49315
30人以上,G 電気・ガス・熱供給・水道業,平成17,2005,年平均,749096,544426,482521,61905,204670,160354,143254,141726,1528,17100
30人以上,G 電気・ガス・熱供給・水道業,平成18,2006,年平均,742432,542088,481564,60524,200344,148811,134406,132245,2161,14405
30人以上,G 電気・ガス・熱供給・水道業,平成19,2007,年平均,701497,507859,456224,51635,193638,245073,200557,190890,9667,44516
30人以上,G 電気・ガス・熱供給・水道業,平成20,2008,年平均,715265,514051,463522,50529,201214,262390,208611,199174,9437,53779
30人以上,G 電気・ガス・熱供給・水道業,平成20,2008,1月,507301,507301,458751,48550,0,196744,196744,188203,8541,0
30人以上,G 電気・ガス・熱供給・水道業,平成20,2008,2月,513023,513023,459800,53223,0,195430,195430,187229,8201,0
30人以上,G 電気・ガス・熱供給・水道業,平成20,2008,3月,546046,519414,462115,57299,26632,197114,196724,186498,10226,390
