地区,１４調査件数,１４駆除件数,１５調査件数,１５駆除件数,１６調査件数,１６駆除件数,調査件数計,駆除件数計
神着,23,14,28,25,15,14,66,53
伊豆,11,5,13,12,11,5,35,22
伊ケ谷,6,4,6,5,3,2,15,11
阿古,44,33,52,40,20,11,116,84
坪田,48,27,45,37,19,13,112,77
計,132,83,144,119,68,45,344,247
