消防本部名,消防署所（分署・出張所）基準（所）,消防署所（分署・出張所）現有（所）,消防署所（分署・出張所）充足率（％）,消防職員基準（人）,消防職員現有（人）,消防職員充足率（％）,消防ポンプ車基準（台）,消防ポンプ車現有（台）,消防ポンプ車充足率（％）,はしご自動車基準（台）,はしご自動車現有（台）,はしご自動車充足率（％）,救急自動車基準（台）,救急自動車現有（台）,救急自動車充足率（％）,救助工作車基準（台）,救助工作車現有（台）,救助工作車充足率（％）
東京消防庁,316,294,93.0,19468,17774,91.7,549,534,97.3,90,85,94.4,240,222,92.5,80,74,92.5
東久留米市,4,3,75.0,186,117,62.9,7,4,57.1,1,1,100.0,3,2,66.7,1,1,100.0
稲城市,3,1,33.3,141,76,53.9,6,1,16.7,1,1,100.0,2,2,100.0,1,1,100.0
大島町,1,1,100.0,45,26,57.8,1,1,100.0,0,0,-,2,2,100.0,0,0,-
三宅村,1,1,100.0,15,11,73.3,1,1,100.0,0,0,-,1,1,100.0,0,0,-
八丈町,1,1,100.0,41,22,53.7,1,1,100.0,0,0,-,1,1,100.0,0,0,-
