島名,対象範囲,最大津波高（ｍ）,最大津波高（左欄）の到達時間（分）,最大津波高をもたらすケース（ケース）,浸水図掲載頁
大島,（１）元町港周辺,13.22,28.2,6,22
大島,（２）元町港・元町漁港,10.43,28.2,１、６,２６、２７
大島,（３）和泉浜周辺,9.42,22.5,8,32
大島,（４）万立浜周辺,7.67,22.4,8,37
大島,（５）野田浜周辺,8.97,23.3,8,42
大島,（６）岡田港周辺,8.59,30.0,8,47
大島,（７）岡田港・岡田漁港,8.59,30.0,8,52
大島,（８）泉津漁港周辺,3.72,33.3／34.4,１／８,５６／５７
大島,（９）泉津漁港,3.72,33.3／34.4,１／８,６１／６２
大島,（１０）筆島周辺,8.56,25.0,8,67
大島,（１１）波浮港周辺,9.90,23.3,8,72
大島,（１２）波浮港,7.21,24.4,8,77
大島,（１３）差木地漁港周辺,10.94,23.3,8,82
大島,（１４）差木地漁港,9.03,22.5,8,87
大島,（１５）砂の浜周辺,12.74,22.5,8,92
大島,（１６）野増漁港周辺,13.96,27.8,1,96
大島,（１７）野増漁港,13.96,27.8,1,101
大島,島全体,15.76,22.4,8,-
利島,（１）利島港,12.55,17.8,8,109
利島,（２）利島港拡大１,12.55,17.8,8,114
利島,（３）利島港拡大２,11.42,18.3,8,119
利島,島全体,16.18,19.1,8,-
新島,（１）新島港,22.71,17.5,8,128
新島,（２）若郷漁港,24.04,19.0,8,133
新島,（３）羽伏漁港,9.85,45.1,8,138
新島,（４）羽伏浦海岸周辺,15.38,25.0,8,143
新島,（５）間々下浦海岸周辺,30.16,17.1,8,148
新島,島全体,30.16,17.1,8,-
式根島,（１）式根島港,10.06,15.2,6,156
式根島,（２）野伏漁港,22.17,14.5,6,161
式根島,（３）小浜漁港,22.45,16.4,8,166
式根島,島全体,28.15,13.7,1,-
神津島,（１）神津島港,24.46,13.9,１、６,１７４、１７５
神津島,（２）沢尻湾周辺,18.83,13.5,１、６,１７９、１８０
神津島,（３）長浜海岸周辺,22.66,13.2,1,184
神津島,（４）名組湾周辺・赤崎遊歩道周辺,20.27,13.5,8,190
神津島,（５）三浦漁港（多幸湾）,13.69,17.6,8,195
神津島,（６）三浦湾,23.68,17.8,8,200
神津島,島全体,28.43,16.6,8,-
三宅島,（１）三池港,10.79,57.1,8,210
三宅島,（２）坪田漁港周辺,9.89,24.4,8,215
三宅島,（３）坪田漁港,9.89,24.4,8,220
三宅島,（４）阿古漁港,10.85,23.0,1,224
三宅島,（５）伊ヶ谷漁港,16.98,49.9,8,230
三宅島,（６）大久保漁港周辺,12.57,51.0,8,235
三宅島,（７）大久保港・大久保漁港,12.94,50.9,8,240
三宅島,（８）湯の浜漁港周辺,12.17,27.0,6,245
三宅島,（９）湯の浜漁港,12.17,27.0,6,250
三宅島,島全体,16.98,49.9,8,-
御蔵島,（１）御蔵島港,5.80,29.4,1,256
御蔵島,島全体,7.37,35.3,8,-
八丈島,（１）神湊・底土海岸周辺,10.90,40.0,1,266
八丈島,（２）神湊漁港,10.90,40.0,1,271
八丈島,（３）神湊港,10.08,43.1,1,276
八丈島,（４）汐間海岸・洞輪沢漁港周辺,13.94,41.4,6,282
八丈島,（５）洞輪沢漁港,9.56,33.2,1,286
八丈島,（６）乙千代ヶ浜・藍ヶ江漁港周辺,11.86,27.9,1,291
八丈島,（７）中之郷漁港,10.88,28.6,1,296
八丈島,（８）南原・横間海岸周辺,18.07,32.6,6,302
八丈島,（９）八重根港・八重根漁港,18.07,32.6,6,307
八丈島,（１０）ナズマド漁港,5.31,30.4,6,312
八丈島,（１１）永郷地域周辺,8.65,29.4,6,317
八丈島,（１２）出鼻漁港,5.34,28.5,6,322
八丈島,島全体,18.07,32.6,6,-
八丈小島,島全体,14.49,27.3,6,383
青ヶ島,（１）青ヶ島港,7.88,34.8,1,329
青ヶ島,（２）大千代港,8.74,34.6,1,334
青ヶ島,島全体,17.68,34.6,6,-
鳥島,島全体,13.57,53.4,8,390
父島,（１）二見港・二見漁港,9.76,112.3,5,343
父島,（２）扇浦周辺（扇浦周辺地区）,8.37,93.8,5,348
父島,（３）二見港周辺（大村・奥村周辺地区）,9.76,112.3,5,353
父島,（４）小港周辺（小港周辺地区）,12.18,127.5,5,358
父島,島全体,18.52,128.7,5,-
母島,（１）沖港,10.35,110.4,5,366
母島,（２）母島漁港（東港）,11.20,134.5,6,371
母島,（３）母島漁港（北港）,8.76,107.5,5,376
母島,島全体,15.91,107.8,5,-
硫黄島,島全体,19.62,96.0,5,398
区部,,2.48,204.5,２・水門閉鎖,-
