ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の１ｍ津波高の到達時間（分）,各地点の１ｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
元禄型,（１）神湊・底土海岸周辺,３．７５～１０．７５,３．７７～１０．７７,6.03,6.05,３２．１～３６．６,34.5,３３．９～４４．９,44.0
元禄型,（２）神湊漁港,３．７７～７．５１,３．７９～７．５３,4.96,4.98,３３．０～３６．６,33.5,３４．６～４２．１,35.0
元禄型,（３）神湊港,５．２６～１０．７５,５．２８～１０．７７,7.58,7.60,３３．３～３４．７,34.5,３４．７～４４．９,44.0
元禄型,（４）汐間海岸・洞輪沢漁港周辺,２．８３～７．４６,２．８５～７．４８,4.61,4.63,３３．８～３７．７,36.8,３６．６～７９．０,48.8
元禄型,（５）洞輪沢漁港,３．５３～６．１３,３．５５～６．１５,4.67,4.69,３５．５～３７．７,36.2,３９．５～６１．２,51.1
元禄型,（６）乙千代ヶ浜・藍ヶ江漁港周辺,２．７３～５．４７,２．７５～５．４９,3.68,3.70,３７．１～３９．０,38.9,３９．０～９４．５,39.9
元禄型,（７）中之郷漁港,３．６０～４．６１,３．６２～４．６３,4.02,4.04,３８．２～３８．７,38.6,３９．０～３９．９,39.8
関東地震,（８）南原・横間海岸周辺,２．０９～５．８６,２．１１～５．８８,3.79,3.81,３２．２～３９．０,33.5,３３．３～７０．９,38.9
関東地震,（９）八重根港・八重根漁港,２．３７～５．５８,２．３９～５．５９,4.02,4.04,３５．５～３９．０,36.6,４２．９～５８．０,55.7
関東地震,（１０）ナズマド漁港,２．７０～５．３４,２．７２～５．３６,3.63,3.65,３２．０～３２．７,32.0,３３．２～４３．２,34.7
関東地震,（１１）永郷地域周辺,２．７４～７．８７,２．７６～７．８９,5.01,5.02,３１．３～３３．０,31.4,３３．０～４３．２,34.7
関東地震,（１２）出鼻漁港,５．３７～７．８７,５．３９～７．８９,6.19,6.21,３１．３～３１．４,31.4,３４．６～３６．８,34.7
関東地震,島全体,２．０９～１０．７５,２．１１～１０．７７,4.65,4.67,３１．３～３９．０,34.5,３３．０～９４．５,44.0
