事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
学校施設等における天井材、照明器具などの非構造部材の落下防止対策を進めます,,,,,,2492,,2124
9,１－９,保育施設の非構造部材耐震対策支援事業,福祉保健局,東日本大震災により多くの学校等の施設で、天井材、照明器具、外壁などの落下による被害が発生したことから、子供の安全及び災害時の避難所等の機能を確保するため、これらの「非構造部材」の落下防止対策を実施する。,・１５年度０件／・引き続き支援を実施していく。,包括,・引き続き支援を実施していく。,包括
10,１－１０,私立学校施設の非構造部材の耐震対策工事補助,生活文化局,私立学校施設における耐震化を促進するため、校舎等の非構造部材の耐震対策に係る経費の一部を補助する。,・東日本大震災において、多くの学校で天井材の落下など非構造部材の被害が発生し、人的被害も生じたことを踏まえ私立学校施設における非構造部材の耐震対策工事に対する補助を創設し、実施／・国のガイドブック等の周知や耐震化説明会等の実施,704,・引き続き、非構造部材の耐震対策への財政支援や耐震化説明会等を実施,423
11,１－１１,都立学校の震災対策（都立学校における非構造部材の耐震化）,教育庁,東日本大震災により多くの学校等の施設で、天井材、照明器具、外壁などの落下による被害が発生したことから、子供の安全及び災害時の避難所等の機能を確保するため、これらの「非構造部材」の落下防止対策を実施する。,・体育館１５棟、校舎棟１６棟について、つり天井等落下防止対策を実施,747,・校舎棟１９棟について、つり天井等落下防止対策を実施予定,448
12,１－１２,公立学校施設耐震化支援事業（非構造部材）,教育庁,東日本大震災により多くの学校等の施設で、天井材、照明器具、外壁などの落下による被害が発生したことから、子供の安全及び災害時の避難所等の機能を確保するため、これらの「非構造部材」の落下防止対策等を実施する。,・非構造部材の耐震化（財政支援）／国庫補助対象事業（防災機能強化事業）への補助【区市町村対象】／国庫交付金と起債額を除く設置者負担額を補助,1041,・非構造部材の耐震化（財政支援）／国庫補助対象事業（防災機能強化事業）への補助【区市町村対象】／国庫交付金と起債額を除く設置者負担額を補助,1253
