船名,総トン数（ｔ）,機関馬力（ｐｓ）,速力（ｋｔ）,消防設備（Ｌ）,運航者
日の出丸,239.00,3600,14.0,毎分３０００,芝浦通船
大山丸,241.00,3600,14.0,毎分３０００,芝浦通船
かちどき丸,244.00,3600,14.0,毎分３０００,芝浦通船
海王丸,243.00,4000,14.5,なし,芝浦通船
富士丸,244.00,3600,14.0,毎分３０００,芝浦通船
青海丸,242.00,3600,14.5,なし,芝浦通船
あすか丸,170.00,3200,13.8,なし,芝浦通船
筑波丸,166.00,3000,13.5,毎分３０００×１／５００×２,東港サービス
東京丸,241.00,3600,14.6,毎分３０００×１／５００×２,東港サービス
やわた,243.00,3600,14.6,なし,東港サービス
さくら,181.00,3200,14.0,なし,東港サービス
しょうりゅう,181.00,3000,14.0,なし,東港サービス
おおい,241.00,3600,14.6,なし,東港サービス
