番号,地域名,所在地,指定面積（ｈａ）,指定年月日
1,玉の内地すべり,日の出町大久野字坂本、玉の内,6.06,昭和37.11.13
2,三宝港地すべり,青ヶ島村三宝港,6.64,昭和37.11.13
3,大里沢地すべり,神津島村字沢尻、長浜、鍛冶山,15.70,昭和54.3.16
3,大里沢地すべり,神津島村字沢尻、長浜、鍛冶山,7.22,平成14.5.24
4,子の神沢地すべり,奥多摩町氷川字栃久保,5.09,昭和59.3.31
5,尾越地すべり,八丈町末吉,15.15,昭和60.3.27
6,里地すべり,御蔵島村字、西川、山尻,8.38,昭和62.3.27
7,長浜地すべり,小笠原村母島字長浜,9.20,昭和63.3.18
8,登計地すべり,奥多摩町氷川字登計,6.84,昭和63.3.18
9,上元郷地すべり,檜原村字上元郷,7.14,平成元.3.31
9,上元郷地すべり,檜原村字上元郷,1.39,平成4.5.28
9,上元郷地すべり,檜原村字上元郷,0.33,平成14.5.24
10,峰地すべり,奥多摩町留浦字峯平、福次、山本,15.31,平成7.7.24
11,大六殿・上の川地すべり,神津島村宇滝川ほか,5.87,平成14.5.24
12,奥地すべり,奥多摩町留浦字奥、なべ久保,37.39,平成14.5.24
