番号,渓流番号,水系名,河川名,渓流名,所在地郡・市,所在地町・村,所在地字
1,王－Ⅰ－００１,多摩川,多摩川,無名沢,八王子市,高月町,-
2,王－Ⅰ－００２,多摩川,多摩川,無名沢,八王子市,高月町,-
3,王－Ⅰ－００３,多摩川,多摩川,無名沢,八王子市,高月町,-
4,王－Ⅰ－００４,多摩川,多摩川,無名沢,八王子市,高月町,-
5,王－Ⅰ－００５,多摩川,浅川,無名沢,八王子市,長沼町,-
6,王－Ⅰ－００６,多摩川,浅川,無名沢,八王子市,長沼町,-
7,王－Ⅰ－００７,多摩川,浅川,無名沢,八王子市,長沼町,-
8,王－Ⅰ－００８,多摩川,川口川,無名沢,八王子市,川口町,木内入
9,王－Ⅰ－００９,多摩川,川口川,無名沢,八王子市,川口町,木内入
10,王－Ⅰ－０１０,多摩川,川口川,無名沢,八王子市,上川町,木内入
11,王－Ⅰ－０１１,多摩川,川口川,無名沢,八王子市,上川町,釜の沢
12,王－Ⅰ－０１２,多摩川,川口川,無名沢,八王子市,上川町,田守
13,王－Ⅰ－０１３,多摩川,川口川,無名沢,八王子市,上川町,佐入
14,王－Ⅰ－０１４,多摩川,川口川,無名沢,八王子市,上川町,佐入
15,王－Ⅰ－０１５,多摩川,川口川,無名沢,八王子市,上川町,佐入
16,王－Ⅰ－０１６,多摩川,川口川,無名沢,八王子市,上川町,硴谷
17,王－Ⅱ－Ⅰ０１７,多摩川,川口川,無名沢,八王子市,上川町,畳ヶ原
18,王－Ⅰ－０１８,多摩川,浅川,川口川,八王子市,上川町,畳ヶ原
19,王－Ⅰ－０１９,多摩川,南浅川,初沢川,八王子市,初沢町,-
20,王－Ⅱ－Ⅰ０２０,多摩川,南浅川,無名沢,八王子市,廿里町,-
21,王－Ⅰ－０２１,多摩川,西浅川,無名沢,八王子市,西浅川町,-
22,王－Ⅰ－０２２,多摩川,南浅川,無名沢,八王子市,裏高尾町,駒木野
23,王－Ⅰ－０２３,多摩川,小仏川,無名沢,八王子市,裏高尾町,落合
24,王－Ⅰ－０２４,多摩川,小仏川,無名沢,八王子市,裏高尾町,落合
25,王－Ⅰ－０２５,多摩川,小仏川,無名沢,八王子市,裏高尾町,小仏
