区市町村,夜間人口（人）,昼間人口（人）,面積（ｋｍ２）,震度別面積率（％）５弱以下,震度別面積率（％）５強,震度別面積率（％）６弱,震度別面積率（％）６強,震度別面積率（％）７,建物棟数木造,建物棟数非木造,原因別建物全壊棟数計,原因別建物全壊棟数ゆれ,原因別建物全壊棟数液状化,原因別建物全壊棟数急傾斜地崩壊,ゆれ建物全壊棟数木造,ゆれ建物全壊棟数非木造,ゆれ建物全壊率（％）木造,ゆれ建物全壊率（％）非木造,急傾斜地崩壊危険箇所,火災出火件数,火災焼失棟数倒壊建物を含む,火災焼失棟数倒壊建物を含まない,人的被害死者計（人）,人的被害死者ゆれ・液状化建物被害（人）,人的被害死者急傾斜地崩壊（人）,人的被害死者火災（人）,人的被害死者ブロック塀等（人）,人的被害死者屋外落下物（人）,人的被害死者屋内収容物（参考値）（人）,人的被害負傷者計（人）,人的被害負傷者ゆれ・液状化建物被害（人）,人的被害負傷者急傾斜地崩壊（人）,人的被害負傷者火災（人）,人的被害負傷者ブロック塀等（人）,人的被害負傷者屋外落下物（人）,人的被害負傷者屋内収容物（参考値）（人）,人的被害負傷者うち重傷者計（人）,人的被害負傷者うち重傷者ゆれ・液状化建物被害（人）,人的被害負傷者うち重傷者急傾斜地崩壊（人）,人的被害負傷者うち重傷者火災（人）,人的被害負傷者うち重傷者ブロック塀等（人）,人的被害負傷者うち重傷者屋外落下物（人）,人的被害負傷者うち重傷者屋内収容物（参考値）（人）,避難者発生数（人）,帰宅困難者滞留者数（人）,帰宅困難者帰宅困難者数（人）,閉じ込めにつながり得るエレベーター停止台数,災害時要援護者死者数（人）,自力脱出困難者発生数（人）,震災廃棄物（万ｔ）,区市町村２
千代田区,47115,853382,11.6,0.0,0.0,3.2,96.8,0.0,3629,15380,835,824,4,7,461,362,12.7,2.4,17,14,2,2,273,271,1,1,0,0,13,10364,10333,1,20,2,9,525,1355,1347,1,6,1,1,114,11076,1080758,501355,645,7,3563,60,千
中央区,122762,647733,10.2,0.0,0.0,7.1,92.9,0.0,6210,12760,1942,1926,15,0,1444,482,23.3,3.8,0,23,101,91,151,146,0,5,0,0,9,7275,7220,0,33,8,13,349,1023,1009,0,9,3,1,76,44773,687953,309315,585,14,3836,88,中
港区,205131,908940,20.3,0.0,0.0,6.9,93.1,0.1,13050,21979,2150,2035,8,106,1472,564,11.3,2.6,118,34,276,260,200,174,13,11,1,0,17,9127,9008,16,53,42,8,524,1162,1121,8,15,16,1,114,51313,1052177,468794,745,21,3831,112,港
新宿区,326309,770094,18.2,0.0,0.0,19.5,80.5,0.0,36731,29507,3683,3600,5,78,2986,614,8.1,2.1,46,37,2179,2060,293,220,7,64,1,0,13,6792,6479,9,258,41,5,372,887,794,5,72,16,1,81,76805,754164,313811,487,69,2606,137,新
文京区,206626,336229,11.3,0.0,0.0,11.9,88.1,0.0,27454,19692,3602,3543,5,54,3141,402,11.4,2.0,48,22,2443,2259,253,185,4,59,4,0,7,4217,3815,6,232,141,24,169,608,482,3,65,55,3,37,61865,336926,131632,267,81,1592,107,文
台東区,175928,303522,10.1,0.0,0.0,2.1,97.9,0.0,22814,22088,6687,6649,31,7,5860,789,25.7,3.6,4,27,2730,2326,482,410,1,68,2,0,7,5548,5162,1,275,85,25,176,924,811,0,77,33,3,38,78114,292785,112757,481,183,3023,184,台
墨田区,247606,262514,13.8,0.0,0.0,0.1,99.9,0.0,34427,23443,9902,9826,76,0,8722,1104,25.3,4.7,0,32,9341,7755,665,465,0,200,1,0,9,7121,6215,0,879,21,6,187,1312,1057,0,245,8,1,40,144939,242306,79083,340,324,3713,267,墨
江東区,460819,490708,39.5,0.0,0.0,0.1,99.3,0.5,27895,24091,8010,7926,84,0,6731,1195,24.1,5.0,0,44,3536,2997,449,365,0,82,3,0,15,10164,9699,0,349,94,22,342,1654,1517,0,98,37,2,74,233762,509466,178078,440,204,6201,275,江
品川区,365302,505034,22.7,0.0,0.0,3.1,95.9,0.9,51286,25015,5281,5214,9,57,4689,525,9.1,2.1,43,40,21569,20095,779,252,5,520,1,0,12,8016,5642,6,2337,28,3,270,1376,710,3,652,11,0,59,184510,480501,179084,370,289,2459,190,品
目黒区,268330,271320,14.7,0.0,0.0,12.8,87.2,0.0,40796,23689,2538,2510,6,23,2119,391,5.2,1.6,20,27,11232,10795,332,96,2,230,4,0,6,3195,2041,2,1016,131,6,129,576,240,1,283,51,1,28,94335,241932,78206,152,153,828,117,目
