項目,内閣府（２０１２）,東京都（２０１２）,今回
想定マグニチュードＭ,9.0 ,７．３～８．２,9.0
対象地震,南海トラフ巨大地震／基本ケース、東側ケース／西側ケース、陸側ケース＋経験的手法,東京湾北部地震／多摩直下地震／元禄型関東地震／立川断層帯地震,南海トラフ巨大地震／１東側ケース＋経験的手法／２東側ケース単独
工学的基盤波形予測手法,統計的グリーン関数法,統計的グリーン関数法＋差分法,統計的グリーン関数法
幾何減衰の補正係数Ｃの値（ｋｍ）,18,2.8,18
深部地盤モデル,全国１次地下構造モデル（暫定版）（地震本部・２０１２）を改良（主に中京地域）,長周期地震動予測地図２００９年試作版（地震本部・２００９）＋首都直下地震防災・減災プ口ジェクト（２０１２）のフィリピン海プレート上面深度,全国１次地下構造モデル（暫定版）（地震本部・２０１２）（震源域・島しょ部）＋東京都（２０１２）の深部地盤モデル（区部・多摩を中心とした南関東）
表層地盤のメッシュサイズ（ｍメッシュ）,250,50,50
表層地盤のメッシュサイズ（ｍメッシュ）,,250,250
５０ｍメッシュのデータ,-,東京ガス（株）（２００４）ＳＩ増幅度データ,東京ガス（株）（２００４）ＳＩ増幅度データを活用して内閣府（２０１２）を改良
２５０ｍメッシュ微地形区分（若松・松岡・２０１１）のＡＶＳ３０・増幅度・震度増分,内閣府（２０１２）で新たに評価＋横田ほか（２００５）,松岡ほか（２００５）、Ｍｉｄｏｒｉｋａｗａ　ｅｔ　ａｌ．（１９９４）、童・山崎（１９９６）（中央防災会議（２００４）、東京都（２００６）と同様）,内閣府（２０１２）で新たに評価＋横田ほか（２００５）
２５０ｍメッシュのＰＳ検層データ・ボーリングデータ,微地形から求めるＡＶＳ３０とは別にＰＳ検層結果からＡＶＳ３０を求め２５０ｍメッシュデータとして使用,-,（内閣府（２０１２）のＡＶＳ３０・震度増分を使用）
