区分１,区分２,区分３,区分４,隻数（隻）
総数,,,,31653
内訳,外航船,,,6708
内訳,外航船,日本船,,26
内訳,外航船,外国船,,6682
内訳,内航船,,,24945
内訳,内航船,貨物船,,21598
内訳,内航船,貨物船,タンカー,724
内訳,内航船,貨物船,砂利船,5527
内訳,内航船,貨物船,鋼材船,245
内訳,内航船,貨物船,その他,15102
内訳,内航船,カーフェリー,,638
内訳,内航船,客船,,1105
内訳,内航船,その他,,160
