河川名,基準地点,所在地,水防団待機水位（指定水位）（ｍ）,はん濫注意水位（警戒水位）（ｍ）,避難判断水位（特別警戒水位）（ｍ）,はん濫危険水位（ｍ）,零点高（Ａ．Ｐ．）（ｍ）
鶴見川,岡上橋,神奈川県川崎市麻生区岡上,1.10,2.70,3.50,4.50,26.972
麻生川,新三輪橋,神奈川県川崎市麻生区上麻生,1.20,2.60,4.00,4.80,22.528
境川,風戸橋,町田市相原町,0.60,0.90,1.30,1.60,167.931
境川,昭和橋,神奈川県相模原市中央区宮下本町,1.50,2.00,2.80,3.60,114.436
境川,高橋,町田市小山町,1.10,1.80,2.80,3.60,
境川,幸延寺橋,町田市森野,1.30,2.00,2.80,3.60,74.376
