区市町村,夜間人口（人）,昼間人口（人）,面積（ｋｍ２）,震度別面積率（％）５弱以下,震度別面積率（％）５強,震度別面積率（％）６弱,震度別面積率（％）６強,震度別面積率（％）７,建物棟数木造,建物棟数非木造,原因別建物全壊棟数計,原因別建物全壊棟数ゆれ,原因別建物全壊棟数液状化,原因別建物全壊棟数急傾斜地崩壊,ゆれ建物全壊棟数木造,ゆれ建物全壊棟数非木造,ゆれ建物全壊率（％）木造,ゆれ建物全壊率（％）非木造,急傾斜地崩壊危険箇所,津波全壊棟数,火災出火件数,火災焼失棟数倒壊建物を含む,火災焼失棟数倒壊建物を含まない,人的被害死者計（人）,人的被害死者ゆれ・液状化建物被害（人）,人的被害死者急傾斜地崩壊（人）,人的被害死者火災（人）,人的被害死者津波（人）,人的被害死者ブロック塀等（人）,人的被害死者屋外落下物（人）,人的被害死者屋内収容物（参考値）（人）,人的被害負傷者計（人）,人的被害負傷者ゆれ・液状化建物被害（人）,人的被害負傷者急傾斜地崩壊（人）,人的被害負傷者火災（人）,人的被害負傷者ブロック塀等（人）,人的被害負傷者屋外落下物（人）,人的被害負傷者屋内収容物（参考値）（人）,人的被害負傷者うち重傷者計（人）,人的被害負傷者うち重傷者ゆれ・液状化建物被害（人）,人的被害負傷者うち重傷者急傾斜地崩壊（人）,人的被害負傷者うち重傷者火災（人）,人的被害負傷者うち重傷者ブロック塀等（人）,人的被害負傷者うち重傷者屋外落下物（人）,人的被害負傷者うち重傷者屋内収容物（参考値）（人）,避難者発生数（人）,帰宅困難者滞留者数（人）,帰宅困難者帰宅困難者数（人）,閉じ込めにつながり得るエレベーター停止台数,災害時要援護者死者数（人）,自力脱出困難者発生数（人）,震災廃棄物（万ｔ）,区市町村２
千代田区,47115,853382,11.6,0.0,0.0,80.6,19.4,0.0,3629,15380,333,326,3,5,184,142,5.1,0.9,17,0,2,0,0,13,13,0,0,0,0,0,0,539,533,0,0,1,4,19,51,50,0,0,1,0,4,9757,-,-,398,5,128,31,千
中央区,122762,647733,10.2,0.0,0.0,48.1,51.9,0.0,6210,12760,1046,1035,10,0,811,224,13.1,1.8,0,39,5,1,1,56,56,0,0,0,0,0,3,2002,1987,0,1,6,7,82,245,242,0,0,2,1,18,41421,-,-,498,24,895,57,中
港区,205131,908940,20.3,0.0,0.0,54.1,45.9,0.0,13050,21979,1172,1087,6,80,803,284,6.2,1.3,118,4,6,6,5,60,56,3,0,0,1,0,3,2330,2286,4,2,34,5,68,251,235,2,1,13,0,15,48132,-,-,580,27,775,70,港
新宿区,326309,770094,18.2,0.0,0.0,96.2,3.8,0.0,36731,29507,1059,995,2,63,815,180,2.2,0.6,46,0,3,22,22,61,56,4,0,0,1,0,4,2232,2199,5,2,26,1,95,167,154,2,0,10,0,21,55725,-,-,293,31,500,59,新
文京区,206626,336229,11.3,0.0,0.0,99.7,0.3,0.0,27454,19692,726,681,3,42,593,88,2.2,0.4,48,0,1,25,25,47,41,3,0,0,2,0,3,1676,1581,4,1,85,5,62,130,94,2,0,33,1,14,35711,-,-,136,21,308,39,文
台東区,175928,303522,10.1,0.0,0.0,83.8,16.2,0.0,22814,22088,2114,2091,17,6,1858,233,8.1,1.1,4,0,3,31,30,130,127,0,1,0,2,0,2,2505,2437,0,3,56,8,54,255,231,0,1,22,1,12,50812,-,-,254,70,858,83,台
墨田区,247606,262514,13.8,0.0,0.0,45.6,54.4,0.0,34427,23443,3390,3356,34,0,3028,328,8.8,1.4,0,31,7,272,256,214,207,0,6,0,0,0,3,4356,4328,0,13,13,2,75,450,441,0,4,5,0,17,84689,-,-,235,99,1548,117,墨
江東区,460819,490708,39.5,0.0,0.0,6.8,93.2,0.0,27895,24091,3979,3942,37,0,3470,472,12.4,2.0,0,40,10,135,125,244,239,0,3,0,2,0,14,7706,7614,0,11,69,11,301,894,863,0,3,27,1,66,168842,-,-,396,119,3522,148,江
品川区,365302,505034,22.7,0.0,0.0,2.8,96.9,0.3,51286,25015,4883,4814,10,59,4355,459,8.5,1.8,43,10,12,1218,1141,326,298,4,24,0,1,0,12,5838,5731,5,71,27,3,241,750,717,3,20,10,0,53,105040,-,-,288,153,2477,135,品
目黒区,268330,271320,14.7,0.0,0.0,50.9,49.1,0.0,40796,23689,1549,1522,5,22,1301,221,3.2,0.9,20,0,4,547,534,108,90,2,13,0,3,0,4,2205,2072,2,18,109,4,83,244,195,1,5,42,0,18,58626,-,-,102,43,678,65,目
