地震,区分,地震時の斜面崩壊危険度ランクＣ,地震時の斜面崩壊危険度ランクＢ,地震時の斜面崩壊危険度ランクＡ,計
元禄型関東地震（Ｍ８．２）,急傾斜地崩壊危険箇所,169,29,28,226
元禄型関東地震（Ｍ８．２）,山腹崩壊危険地区,47,11,14,72
元禄型関東地震（Ｍ８．２）,計,216,40,42,298
