地区別１,地区別２,営業者製造業,営業者輸入業,営業者販売業,特定毒物,要届出業者めつき業,要届出業者金属熱,要届出業者運送業,非届出業者
千代田区,,8,183,726,5,1,0,0,55
中央区,,2,201,836,6,0,0,0,43
港区,,0,140,507,3,0,0,0,103
新宿区,,1,37,425,4,1,0,0,0
文京区,,2,33,272,3,5,0,0,133
台東区,,4,26,259,1,28,0,0,67
墨田区,,11,13,208,7,45,0,4,125
江東区,,6,16,259,5,3,0,1,133
品川区,,1,36,237,2,19,0,4,157
目黒区,,1,3,88,2,5,0,0,83
大田区,,12,14,291,8,40,1,0,224
世田谷区,,0,10,158,4,4,0,0,220
渋谷区,,3,25,141,1,0,0,0,67
中野区,,1,5,80,5,1,0,0,76
杉並区,,1,3,130,1,0,0,0,123
豊島区,,2,5,140,0,4,0,0,93
北区,,8,5,147,3,11,1,2,121
荒川区,,2,4,101,3,13,0,0,62
板橋区,,10,8,184,8,14,0,1,198
練馬区,,4,6,168,3,2,0,0,150
足立区,,6,3,185,6,28,0,0,170
葛飾区,,9,1,136,0,47,0,1,152
江戸川区,,15,6,175,3,16,0,6,169
西多摩,,7,1,83,2,3,0,0,183
西多摩,青梅市,※,※,※,※,※,※,※,※
西多摩,福生市,※,※,※,※,※,※,※,※
西多摩,あきる野市,※,※,※,※,※,※,※,※
西多摩,羽村市,※,※,※,※,※,※,※,※
西多摩,瑞穂町,※,※,※,※,※,※,※,※
西多摩,日の出町,※,※,※,※,※,※,※,※
西多摩,檜原村,※,※,※,※,※,※,※,※
西多摩,奥多摩町,※,※,※,※,※,※,※,※
八王子,,7,10,163,10,3,0,0,198
八王子,八王子市,※,※,※,※,※,※,※,※
南多摩,,3,2,88,2,2,0,0,122
南多摩,日野市,※,※,※,※,※,※,※,※
南多摩,多摩市,※,※,※,※,※,※,※,※
南多摩,稲城市,※,※,※,※,※,※,※,※
町田,,2,5,85,3,2,0,0,118
町田,町田市,※,※,※,※,※,※,※,※
多摩立川,,4,1,175,11,11,2,0,198
多摩立川,立川市,※,※,※,※,※,※,※,※
多摩立川,昭島市,※,※,※,※,※,※,※,※
多摩立川,国分寺市,※,※,※,※,※,※,※,※
多摩立川,国立市,※,※,※,※,※,※,※,※
多摩立川,東大和市,※,※,※,※,※,※,※,※
多摩立川,武蔵村山市,※,※,※,※,※,※,※,※
多摩府中,,3,4,214,5,6,0,0,292
多摩府中,武蔵野市,※,※,※,※,※,※,※,※
多摩府中,三鷹市,※,※,※,※,※,※,※,※
多摩府中,府中市,※,※,※,※,※,※,※,※
多摩府中,調布市,※,※,※,※,※,※,※,※
多摩府中,小金井市,※,※,※,※,※,※,※,※
多摩府中,狛江市,※,※,※,※,※,※,※,※
多摩小平,,2,2,142,2,5,0,0,218
多摩小平,小平市,※,※,※,※,※,※,※,※
多摩小平,東村山市,※,※,※,※,※,※,※,※
多摩小平,西東京市,※,※,※,※,※,※,※,※
多摩小平,清瀬市,※,※,※,※,※,※,※,※
多摩小平,東久留米市,※,※,※,※,※,※,※,※
島しょ,,0,0,23,0,0,0,0,62
合計,,137,808,6826,118,319,4,19,4115
