区市町村,夜間人口（人）,昼間人口（人）,面積（ｋｍ２）,震度別面積率（％）５弱以下,震度別面積率（％）５強,震度別面積率（％）６弱,震度別面積率（％）６強,震度別面積率（％）７,建物棟数木造,建物棟数非木造,原因別建物全壊棟数計,原因別建物全壊棟数ゆれ,原因別建物全壊棟数液状化,原因別建物全壊棟数急傾斜地崩壊,ゆれ建物全壊棟数木造,ゆれ建物全壊棟数非木造,ゆれ建物全壊率（％）木造,ゆれ建物全壊率（％）非木造,急傾斜地崩壊危険箇所,津波全壊棟数,火災出火件数,火災焼失棟数倒壊建物を含む,火災焼失棟数倒壊建物を含まない,人的被害死者計（人）,人的被害死者ゆれ・液状化建物被害（人）,人的被害死者急傾斜地崩壊（人）,人的被害死者火災（人）,人的被害死者津波（人）,人的被害死者ブロック塀等（人）,人的被害死者屋外落下物（人）,人的被害死者屋内収容物（参考値）（人）,人的被害負傷者計（人）,人的被害負傷者ゆれ・液状化建物被害（人）,人的被害負傷者急傾斜地崩壊（人）,人的被害負傷者火災（人）,人的被害負傷者ブロック塀等（人）,人的被害負傷者屋外落下物（人）,人的被害負傷者屋内収容物（参考値）（人）,人的被害負傷者うち重傷者計（人）,人的被害負傷者うち重傷者ゆれ・液状化建物被害（人）,人的被害負傷者うち重傷者急傾斜地崩壊（人）,人的被害負傷者うち重傷者火災（人）,人的被害負傷者うち重傷者ブロック塀等（人）,人的被害負傷者うち重傷者屋外落下物（人）,人的被害負傷者うち重傷者屋内収容物（参考値）（人）,避難者発生数（人）,帰宅困難者滞留者数（人）,帰宅困難者帰宅困難者数（人）,閉じ込めにつながり得るエレベーター停止台数,災害時要援護者死者数（人）,自力脱出困難者発生数（人）,震災廃棄物（万ｔ）,区市町村２
千代田区,47115,853382,11.6,0.0,0.0,80.6,19.4,0.0,3629,15380,333,326,3,5,184,142,5.1,0.9,17,0,4,0,0,109,108,1,0,0,0,0,5,5778,5766,1,6,1,4,261,535,532,0,2,1,0,57,9757,1080758,501355,398,3,1405,31,千
中央区,122762,647733,10.2,0.0,0.0,48.1,51.9,0.0,6210,12760,1046,1035,10,0,811,224,13.1,1.8,0,39,13,3,3,82,80,0,1,0,0,0,7,4700,4670,0,17,6,7,314,525,517,0,5,2,1,68,41431,687953,309315,498,7,1957,57,中
港区,205131,908940,20.3,0.0,0.0,54.1,45.9,0.0,13050,21979,1172,1087,6,80,803,284,6.2,1.3,118,4,17,25,25,107,94,9,2,0,1,0,8,5981,5908,12,22,34,5,269,613,587,6,6,13,0,59,48228,1052177,468794,580,11,2000,70,港
新宿区,326309,770094,18.2,0.0,0.0,96.2,3.8,0.0,36731,29507,1059,995,2,63,815,180,2.2,0.6,46,0,8,78,77,70,60,6,3,0,1,0,7,3097,3052,8,11,26,1,193,240,223,4,3,10,0,42,55968,754164,313811,294,16,732,59,新
文京区,206626,336229,11.3,0.0,0.0,99.7,0.3,0.0,27454,19692,726,681,3,42,593,88,2.2,0.4,48,0,4,75,74,43,35,3,2,0,2,0,3,1643,1543,4,6,85,5,82,132,95,2,2,33,1,18,35906,336926,131632,137,14,313,39,文
台東区,175928,303522,10.1,0.0,0.0,83.8,16.2,0.0,22814,22088,2114,2091,17,6,1858,233,8.1,1.1,4,0,8,78,74,134,130,0,2,0,2,0,2,2770,2696,1,10,56,8,71,279,254,0,3,22,1,16,50963,292785,112757,254,51,946,83,台
墨田区,247606,262514,13.8,0.0,0.0,45.6,54.4,0.0,34427,23443,3390,3356,34,0,3028,328,8.8,1.4,0,31,19,3339,3145,233,161,0,72,0,0,0,2,3837,3532,0,290,13,2,67,445,359,0,81,5,0,15,95110,242306,79083,249,113,1259,124,墨
江東区,460819,490708,39.5,0.0,0.0,6.8,93.2,0.0,27895,24091,3979,3942,37,0,3470,472,12.4,2.0,0,40,38,2569,2374,248,186,0,59,0,2,0,12,6879,6553,0,245,69,11,287,831,734,0,69,27,1,62,185911,509466,178078,410,112,2998,153,江
品川区,365302,505034,22.7,0.0,0.0,2.8,96.9,0.3,51286,25015,4883,4814,10,59,4355,459,8.5,1.8,43,10,40,20755,19445,741,234,5,501,0,1,0,11,7632,5348,7,2248,27,3,266,1291,650,3,627,10,0,58,183671,480501,179084,383,275,2251,180,品
目黒区,268330,271320,14.7,0.0,0.0,50.9,49.1,0.0,40796,23689,1549,1522,5,22,1301,221,3.2,0.9,20,0,17,7067,6900,209,59,2,145,0,3,0,3,2271,1535,2,622,109,4,68,361,144,1,174,42,0,15,81575,241932,78206,124,96,498,80,目
大田区,693373,657209,59.5,0.0,0.0,2.6,94.2,3.3,99142,45038,13503,13253,179,71,11776,1476,11.9,3.3,70,88,73,35332,32084,1228,517,5,704,0,3,0,17,11705,8385,6,3191,108,14,360,2159,1222,3,891,42,1,78,400268,556136,166426,451,690,4726,493,大
世田谷区,877138,736040,58.1,0.0,0.0,65.3,34.7,0.0,129338,56307,4435,4385,5,45,3861,523,3.0,0.9,57,0,37,9202,8985,352,158,3,169,0,23,1,8,5533,3962,4,745,784,38,174,874,355,2,208,306,4,38,212581,601311,168047,218,212,1340,184,世
渋谷区,204492,542803,15.1,0.0,0.0,78.6,21.4,0.0,19674,19101,1172,1158,2,12,940,219,4.8,1.1,12,0,10,158,153,75,66,1,5,0,3,0,5,2849,2727,2,16,96,8,138,282,238,1,5,37,1,30,46085,529282,222342,276,14,996,58,渋
中野区,314750,285636,15.6,0.0,0.0,100.0,0.0,0.0,51464,20821,600,588,1,10,528,60,1.0,0.3,14,0,5,622,617,34,21,1,12,0,1,0,3,944,894,1,17,31,1,64,64,46,0,5,12,0,14,50084,213227,58123,68,20,167,33,中
杉並区,549569,439379,34.0,0.0,0.0,99.8,0.2,0.0,92388,30825,1230,1227,2,1,1121,106,1.2,0.3,2,0,9,3790,3752,118,44,0,69,0,5,0,5,2073,1616,0,277,176,5,109,235,88,0,77,69,0,24,104661,358016,92357,103,75,349,67,杉
豊島区,284678,378475,13.0,0.0,0.0,100.0,0.0,0.0,37098,19923,693,689,2,3,616,74,1.7,0.4,12,0,5,548,542,51,35,0,13,0,2,0,4,1716,1607,0,19,86,3,97,125,85,0,5,34,0,21,49238,374171,140005,153,20,321,38,豊
北区,335544,307317,20.6,0.0,0.0,98.7,1.2,0.0,50151,22372,1324,1200,19,105,1103,97,2.2,0.4,58,0,6,258,254,60,47,7,5,0,1,0,3,1780,1727,8,10,34,2,73,129,109,4,3,13,0,16,66784,247350,69466,81,44,392,65,北
荒川区,203296,184021,10.2,0.0,0.0,68.1,31.9,0.0,26888,11633,2340,2320,16,4,2182,138,8.1,1.2,5,0,9,364,342,110,102,0,7,0,1,0,2,2192,2141,0,14,33,4,42,213,195,0,4,13,0,9,66525,144651,39287,77,78,850,70,荒
板橋区,535824,456425,32.2,0.0,0.5,99.5,0.0,0.0,65083,29528,742,691,6,44,604,88,0.9,0.3,54,0,8,678,673,44,25,3,13,0,3,0,5,1639,1491,3,22,120,3,113,123,68,2,6,47,0,25,77151,377648,104123,110,29,267,50,板
練馬区,716124,530628,48.2,0.0,0.1,99.9,0.0,0.0,114320,32078,556,549,4,3,487,62,0.4,0.2,12,0,10,2542,2532,78,20,0,47,0,11,0,6,1686,1126,0,177,378,4,139,242,45,0,50,148,0,30,89288,417116,98294,92,50,177,43,練
足立区,683426,539309,53.2,0.0,0.0,99.4,0.6,0.0,104482,38845,3039,2966,73,0,2741,225,2.6,0.6,0,0,13,1247,1221,145,119,0,24,0,2,0,6,3974,3826,0,75,69,4,137,307,258,0,21,27,0,30,170052,430379,107115,104,107,966,144,足
葛飾区,442586,343039,34.8,0.0,0.3,95.7,4.0,0.0,78991,27793,2445,2348,97,0,2175,173,2.8,0.6,0,0,10,1349,1319,121,94,0,26,0,2,0,4,2627,2489,0,81,55,3,92,225,181,0,23,21,0,20,125233,292473,70560,69,81,684,126,葛
江戸川区,678967,534942,49.9,0.0,0.0,55.2,44.8,0.0,87962,33956,3861,3769,92,0,3452,317,3.9,0.9,0,19,36,7739,7499,290,142,0,145,0,3,0,6,4786,4051,0,636,93,6,133,568,353,0,178,36,1,29,233904,414385,102564,168,193,1404,175,江
区部計,8945695,11284699,616.7,0.0,0.1,67.2,32.4,0.3,1221273,605864,56191,54992,625,573,48803,6189,4.0,1.0,592,230,400,97819,92093,4683,2537,47,2024,0,72,2,135,88093,76644,58,8757,2490,143,3548,10797,7337,29,2445,971,15,773,2480374,10635113,3790824,5298,2311,27001,2421,区
八王子市,580053,549417,186.3,0.0,47.4,25.4,27.2,0.0,118849,35966,3798,3591,7,199,3242,349,2.7,1.0,509,0,29,2196,2145,215,155,13,45,0,1,0,6,3418,3182,17,179,38,2,139,374,300,8,50,15,0,30,97962,489631,146971,156,105,1092,130,八
立川市,179668,193465,24.4,0.0,0.0,98.4,1.6,0.0,35188,11697,533,523,0,10,458,66,1.3,0.6,16,0,4,210,207,29,23,1,5,0,1,0,2,884,851,1,8,22,1,49,69,58,0,2,9,0,11,17839,174410,56735,60,14,181,24,立
武蔵野市,138734,154448,10.7,0.0,0.0,100.0,0.0,0.0,21101,8163,249,249,0,0,221,28,1.0,0.3,0,0,2,370,367,19,11,0,8,0,1,0,2,618,584,0,11,23,0,40,44,32,0,3,9,0,9,28873,151201,53755,53,8,104,14,武
三鷹市,186083,148458,16.5,0.0,0.0,100.0,0.0,0.0,32764,8103,550,532,1,17,497,36,1.5,0.4,9,0,3,453,447,31,21,1,9,0,1,0,2,779,740,1,12,25,1,39,56,42,1,3,10,0,8,34467,131438,36195,36,18,163,24,三
青梅市,139339,127176,103.3,61.2,17.7,21.1,0.0,0.0,37782,7607,92,38,0,54,32,6,0.1,0.1,511,0,2,129,129,8,2,4,3,0,0,0,1,99,88,4,4,2,0,11,7,3,2,1,1,0,2,3766,112351,30734,6,4,11,7,青
府中市,255506,236133,29.3,0.0,0.0,100.0,0.0,0.0,47162,14711,461,445,5,11,405,40,0.9,0.3,8,0,5,385,382,28,19,1,8,0,0,0,3,818,788,1,12,16,0,62,52,42,0,3,6,0,14,36215,212025,66153,59,15,143,25,府
昭島市,112297,100508,17.3,0.0,0.0,76.2,23.8,0.0,20558,5530,448,443,1,5,401,41,2.0,0.7,9,0,3,214,211,23,18,0,4,0,0,0,1,551,534,0,7,9,0,26,44,39,0,2,4,0,6,16738,89744,25772,7,13,152,17,昭
調布市,223593,186275,21.5,0.0,0.0,96.6,3.4,0.0,29412,8668,615,601,3,11,540,61,1.8,0.7,17,0,5,307,302,30,23,1,6,0,1,0,2,916,883,1,10,22,1,48,73,61,0,3,8,0,11,48995,162590,46407,45,18,259,27,調
町田市,426987,364091,71.6,0.0,1.1,6.9,91.3,0.7,87953,22322,8500,8358,7,135,7659,699,8.7,3.1,198,0,47,7609,7032,494,335,9,149,0,2,0,10,5406,4675,11,660,56,5,200,846,634,5,184,22,1,43,157946,319134,86680,130,287,2421,206,町
小金井市,118852,95195,11.3,0.0,0.0,100.0,0.0,0.0,22335,5024,205,203,0,2,190,13,0.8,0.3,4,0,2,267,265,13,8,0,5,0,0,0,1,315,297,0,7,11,0,23,21,14,0,2,4,0,5,17044,80649,22652,6,8,58,10,小
小平市,187035,160499,20.5,0.0,0.0,100.0,0.0,0.0,42481,9322,466,466,0,0,438,29,1.0,0.3,0,0,4,323,320,27,20,0,6,0,1,0,2,698,663,0,10,24,1,42,49,37,0,3,9,0,9,20078,137813,38306,10,15,127,20,小
日野市,180052,154114,27.5,0.0,0.0,47.4,52.6,0.0,33122,9441,1349,1242,4,103,1095,147,3.3,1.6,72,0,12,738,717,71,49,7,15,0,1,0,3,1136,1057,8,31,38,2,74,131,103,4,9,15,0,16,37150,135905,38531,39,39,402,49,日
東村山市,153557,115046,17.2,0.0,0.7,99.3,0.0,0.0,31779,6245,116,109,1,5,98,11,0.3,0.2,8,0,3,171,171,9,4,0,3,0,1,0,2,267,228,0,6,33,0,33,24,9,0,2,13,0,7,14023,99112,23310,7,6,33,8,東
国分寺市,120650,95649,11.5,0.0,0.0,100.0,0.0,0.0,20001,4889,368,340,0,28,320,20,1.6,0.4,15,0,2,221,218,22,13,2,4,0,3,0,1,521,418,2,6,92,2,26,63,24,1,2,36,0,6,17157,86028,23791,22,11,113,16,国
国立市,75510,71295,8.2,0.0,0.0,99.8,0.2,0.0,8768,2557,160,155,0,4,143,12,1.6,0.5,2,0,1,154,152,10,6,0,3,0,0,0,1,254,243,0,4,6,0,17,18,14,0,1,2,0,4,10648,61502,18218,3,5,75,7,国
福生市,59796,52442,10.2,0.0,0.0,100.0,0.0,0.0,11631,3475,151,143,0,7,131,12,1.1,0.4,9,0,2,129,127,9,6,0,3,0,0,0,1,221,211,1,4,5,0,13,15,11,0,1,2,0,3,5737,41779,10596,4,5,45,7,福
狛江市,78751,57386,6.4,0.0,0.0,100.0,0.0,0.0,10391,2668,199,199,0,0,186,13,1.8,0.5,0,0,1,492,485,16,7,0,9,0,0,0,1,301,279,0,11,11,0,14,23,16,0,3,4,0,3,19242,43071,8872,3,11,76,9,狛
東大和市,83068,64274,13.5,0.0,0.0,100.0,0.0,0.0,17689,3856,254,245,0,8,230,16,1.3,0.4,8,0,2,256,253,16,11,1,5,0,0,0,1,355,336,1,7,12,0,19,26,19,0,2,5,0,4,10533,59513,15194,4,10,75,11,東
清瀬市,74104,60733,10.2,0.0,15.3,84.7,0.0,0.0,13007,3111,33,31,1,2,26,4,0.2,0.1,5,0,1,44,44,2,1,0,1,0,0,0,1,88,84,0,2,2,0,16,4,3,0,0,1,0,4,7410,51898,12939,3,2,11,3,清
東久留米市,116546,90315,12.9,0.0,0.1,99.9,0.0,0.0,21922,3959,84,71,0,13,63,9,0.3,0.2,11,0,2,158,157,7,3,1,3,0,0,0,1,180,164,1,5,10,0,24,12,6,0,1,4,0,5,11724,72147,16721,4,4,24,6,東
武蔵村山市,70053,59591,15.4,0.0,0.0,99.7,0.3,0.0,16788,3785,153,151,0,1,138,13,0.8,0.3,11,0,2,185,184,10,6,0,4,0,0,0,1,192,184,0,5,2,0,16,12,10,0,1,1,0,3,7398,51159,13997,4,6,40,8,武
多摩市,147648,137622,21.1,0.0,0.0,37.6,62.4,0.0,12107,5304,580,511,2,67,438,72,3.6,1.4,43,0,9,209,203,30,21,5,5,0,0,0,2,1022,998,6,12,6,0,38,95,86,3,3,2,0,8,36490,129381,39123,8,14,366,25,多
稲城市,84835,58913,18.0,0.0,0.0,90.3,9.7,0.0,11702,3370,338,308,2,28,287,22,2.5,0.6,46,0,2,35,34,14,12,2,1,0,0,0,1,426,420,2,2,2,0,16,32,29,1,1,1,0,4,20042,54682,14593,4,9,115,13,稲
羽村市,57032,55966,9.9,0.0,1.3,98.7,0.0,0.0,8513,3578,21,17,0,5,11,6,0.1,0.2,12,0,2,240,240,6,1,0,5,0,0,0,1,52,43,0,7,2,0,14,5,2,0,2,1,0,3,4688,45720,13497,4,3,7,3,羽
あきる野市,80868,67814,73.3,26.3,34.9,37.7,1.2,0.0,26124,4269,215,167,0,48,156,11,0.6,0.3,271,0,2,618,615,23,8,3,12,0,0,0,1,211,187,4,15,5,0,19,18,10,2,4,2,0,4,6260,60658,15173,4,12,38,11,あ
西東京市,196511,148056,15.9,0.0,0.0,100.0,0.0,0.0,31416,6457,211,210,0,1,194,16,0.6,0.2,1,0,3,376,373,15,8,0,6,0,1,0,2,417,386,0,9,21,0,40,28,17,0,3,8,0,9,28301,127759,31227,7,12,75,12,西
瑞穂町,33497,36088,16.8,0.0,1.9,98.1,0.0,0.0,8480,2652,23,23,0,0,19,4,0.2,0.1,1,0,1,76,76,3,1,0,2,0,0,0,0,54,51,0,3,1,0,10,3,2,0,1,0,0,2,2188,33909,10651,3,1,7,2,瑞
日の出町,16650,13965,28.1,31.0,23.3,45.5,0.2,0.0,5321,1194,78,34,0,44,31,3,0.6,0.2,183,0,0,150,150,8,2,3,3,0,0,0,0,47,38,4,4,1,0,4,5,2,2,1,0,0,1,1568,15893,4655,1,4,8,5,日
檜原村,2558,2566,105.4,19.7,80.3,0.0,0.0,0.0,1865,307,22,0,0,22,0,0,0.0,0.0,235,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,89,2688,562,0,1,0,1,檜
奥多摩町,6045,6205,225.6,98.3,1.7,0.0,0.0,0.0,3975,868,3,0,0,3,0,0,0.0,0.0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6036,1480,0,0,0,0,奥
多摩計,4185878,3663705,1159.9,28.7,19.9,38.3,13.1,0.0,790186,209098,20275,19407,36,832,17650,1757,2.2,0.8,2592,0,152,16716,16005,1192,792,55,331,0,14,0,50,20248,18611,68,1053,498,17,1074,2149,1624,34,295,194,2,234,720607,3239826,923490,693,660,6221,700,多
都計,13131573,14948404,1776.6,18.8,13.0,48.3,19.8,0.1,2011459,814962,76465,74399,661,1405,66453,7946,3.3,1.0,3184,230,552,114534,108098,5875,3330,101,2355,0,87,2,185,108341,95256,127,9811,2988,160,4622,12946,8961,63,2740,1165,17,1006,3200981,13874939,4714314,5991,2971,33222,3121,都
