河川名,観測所名,所在地,水防団待機水位（指定水位）Ａ．Ｐ．（ｍ）,水防団待機水位（指定水位）水が溢れるまでの高さ（ｍ）,氾濫注意水位（警戒水位）Ａ．Ｐ．（ｍ）,氾濫注意水位（警戒水位）水が溢れるまでの高さ（ｍ）,避難判断水位（特別警戒水位）Ａ．Ｐ．（ｍ）,避難判断水位（特別警戒水位）水が溢れるまでの高さ（ｍ）,氾濫危険水位
石神井川,芝久保,西東京市芝久保,-,-,-,-,60.41,0.6,-
石神井川,稲荷橋,練馬区石神井台,-,-,-,-,46.35,1.0,-
石神井川,加賀橋,板橋区加賀,-,-,-,-,15.32,3.7,-
石神井川,溝田橋,北区堀船,-,-,-,-,4.00,1.8,-
善福寺川,西田端橋,杉並区荻窪,-,-,-,-,40.61,0.3,-
妙正寺川,鷲盛橋,中野区大和町,-,-,-,-,36.54,0.75,-
妙正寺川,千歳橋,中野区沼袋,-,-,-,-,33.75,1.0,-
鶴見川,下川戸橋,町田市大蔵町,35.58,3.1,37.38,1.3,37.88,0.8,-
恩田川,高瀬橋,町田市成瀬,47.16,1.4,47.56,1.0,47.96,0.6,-
真光寺川,矢崎橋,町田市能ヶ谷町,32.37,1.4,32.87,0.9,33.17,0.6,-
境川,根岸橋,町田市根岸町,95.23,2.3,95.93,1.6,96.73,0.8,-
境川,境橋,町田市原町田,75.72,2.3,76.42,1.6,77.22,0.8,-
