区分１,区分２,区分３,区分４,神田川,目黒川,石神井川,野川,渋谷川・古川,呑川,白子川
豪雨対策計画策定年月,,,,平成21年3月,平成21年11月,平成21年11月,平成21年11月,平成21年３月,平成21年11月,平成21年11月
目標年次,当面（年度）,,,29,29,29,29,29,29,29
目標年次,長期,,,概ね３０年後,概ね３０年後,概ね３０年後,概ね３０年後,概ね３０年後,概ね３０年後,概ね３０年後
現況の市街化率（％）,,,,96.8,97.1,87,73.9,83,97.1,-
現況の市街化率（年）,,,,17,17,5,14,17,9,-
目標年次の市街化率,,,,-,-,-,-,-,-,-
整備目標,当面の目標（平成２９年度）,,,・時間５５ミリ降雨までは床上浸水を防止／・既往最大降雨でも生命の安全を確保長期の見通し,・時間５５ミリ降雨までは床上浸水を防止／・既往最大降雨でも生命の安全を確保長期の見通し,・時間５５ミリ降雨までは床上浸水を防止／・既往最大降雨でも生命の安全を確保長期の見通し,・時間５５ミリ降雨までは床上浸水を防止／・既往最大降雨でも生命の安全を確保長期の見通し,・時間５５ミリ降雨までは床上浸水を防止／・既往最大降雨でも生命の安全を確保長期の見通し,・時間５５ミリ降雨までは床上浸水を防止／・既往最大降雨でも生命の安全を確保長期の見通し,・時間５５ミリ降雨までは床上浸水を防止／・既往最大降雨でも生命の安全を確保長期の見通し
整備目標,長期の見通し（概ね３０年後）,,,・時間６０ミリ降雨までは浸水を解消／・時間７５ミリ降雨までは床上浸水等を防止・既往最大降雨でも生命の安全を確保,・時間６０ミリ降雨までは浸水を解消／・時間７５ミリ降雨までは床上浸水等を防止・既往最大降雨でも生命の安全を確保,・時間６０ミリ降雨までは浸水を解消／・時間７５ミリ降雨までは床上浸水等を防止／・既往最大降雨でも生命の安全を確保,・時間６０ミリ降雨までは浸水を解消／・時間７５ミリ降雨までは床上浸水等を防止・既往最大降雨でも生命の安全を確保,・時間６０ミリ降雨までは浸水を解消／・時間７５ミリ降雨までは床上浸水等を防止・既往最大降雨でも生命の安全を確保,・時間６０ミリ降雨までは浸水を解消／・時間７５ミリ降雨までは床上浸水等を防止・既往最大降雨でも生命の安全を確保,・時間６０ミリ降雨までは浸水を解消／・時間７５ミリ降雨までは床上浸水等を防止／・既往最大降雨でも生命の安全を確保
流域対策,対策基準,対策基準（ｍ３／ｈａ）,敷地面積１ｈａ以上,,,,,,,９５０以上
流域対策,対策基準,対策基準（ｍ３／ｈａ）,敷地面積０．０５ｈａ以上１ｈａ未満,,,,,,,５００以上
流域対策,対策基準,対策基準（ｍ３／ｈａ）,敷地面積０．０５ｈａ以上,６００以上,６００以上,６００以上,５００以上,６００以上,６００以上,
流域対策,対策基準,対策基準（ｍ３／ｈａ）,敷地面積０．０５ｈａ未満,３００以上,３００以上,３００以上,３００以上,３００以上,３００以上,３００以上
流域対策,対策基準,指導主体,,東京都及び関係区市,東京都及び関係区市,東京都及び関係区市,東京都及び関係区市,東京都及び関係区市,東京都及び関係区市,東京都及び関係区市
流域対策,１０年後の目標（ｍ３）,,,千代田区４７０００／新宿区２２３０００／文京区１８００００／中野区１７２０００／杉並区３０２０００／豊島区６６０００／武蔵野市１２６０００／その他１４３０００,品川区７００００／目黒区８３０００／世田谷区２２７０００／三鷹市２６０００／その他１００００,豊島区４６０００／北区２８０００／板橋区９５０００／練馬区３４７０００／小金井市１４０００／小平市１５２０００／武蔵野市１４０００／西東京市１０７０００,世田谷区７９０００／立川市１３０００／三鷹市１６４０００／府中市２９０００／調布市１１３０００／小金井市９８０００／小平市２６０００／国分寺市８９０００／狛江市４３０００／武蔵野市４１０００,港区１２２０００／新宿区１５０００／品川区７０００／目黒区２０００／渋谷区１３６０００,目黒区６２０００／大田区３８０００／世田谷区５８０００,板橋区２７０００／練馬区１５２０００／西東京市７７０００
流域対策,１０年後の目標計（ｍ３）,,,1259000,415000,803000,694000,282000,158000,256000
