ケース,対象範囲,各地点の最大津波高（ｍ）,各地点の最大津波高／地殻変動を考慮しない場合の値（ｍ）,各地点の最大津波高の平均値（ｍ）,各地点の最大津波高の平均値／地殻変動を考慮しない場合の値（ｍ）,各地点の５０ｃｍ津波高の到達時間（分）,各地点の５０ｃｍ津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）,各地点の最大津波高の到達時間（分）,各地点の最大津波高の到達時間／当該範囲で最大津波高が来る地点での時間（分）
１水門閉鎖,東京湾埋立地,１．５５～１．９１,１．４５～１．８１,1.76,1.66,９２．６～１３５．６,92.7,１０１．１～１８４．２,110.6
１水門閉鎖,中央区,１．９８～２．３７,１．８８～２．２７,2.22,2.12,１０１．７～１２０．２,103.6,１３０．８～２０７．３,194.2
１水門閉鎖,港区,１．９３～２．３１,１．８３～２．２０,2.24,2.13,１００．６～１０４．０,102.3,１１３．３～１９５．７,192.9
１水門閉鎖,江東区,１．６４～２．４５,１．５４～２．３５,2.01,1.91,９４．５～１１２．６,108.0,１０３．０～２０６．５,200.4
１水門閉鎖,品川区,１．４７～２．３４,１．３６～２．２４,2.04,1.94,９８．６～１２７．４,101.9,１２７．５～２００．９,195.8
１水門閉鎖,大田区,１．４０～２．２５,１．３０～２．１５,1.80,1.70,７６．１～２０７．９,102.7,８８．４～２１５．５,192.3
１水門閉鎖,江戸川区,１．４９～２．０８,１．３９～１．９８,1.75,1.65,９５．７～１７６．５,118.5,１００．５～２５５．９,131.7
１水門開放,東京湾埋立地,１．５２～１．８６,１．４２～１．７６,1.73,1.63,９２．９～１３６．９,92.9,１０１．２～１８４．６,109.6
１水門開放,中央区,１．８７～２．１９,１．７７～２．０９,2.05,1.95,１０３．１～１２４．８,105.1,１３０．８～２０９．７,195.0
１水門開放,港区,１．８６～２．１９,１．７５～２．０８,2.10,2.00,１０２．７～１０５．９,103.5,１８８．３～１９５．０,194.7
１水門開放,江東区,１．４６～２．１５,１．３６～２．０５,1.88,1.76,９５．５～１１６．５,103.9,１０２．２～２０５．７,194.1
１水門開放,品川区,１．４５～２．２４,１．３５～２．１３,1.96,1.85,１０２．４～１２７．３,102.6,１１４．２～２０１．３,195.9
１水門開放,大田区,１．３９～２．１７,１．２９～２．０７,1.78,1.68,７６．１～２０７．８,103.6,８９．７～２２８．９,191.9
１水門開放,江戸川区,１．３１～１．８２,１．２１～１．７２,1.55,1.45,９６．０～１７５．１,96.9,１００．０～６７４．６,100.8
２水門閉鎖,東京湾埋立地,１．５８～１．８８,１．５０～１．８０,1.73,1.65,１０６．３～１１２．７,108.4,１１２．０～１９３．５,191.8
２水門閉鎖,中央区,１．９７～２．４６,１．８９～２．３８,2.29,2.21,１１１．９～１２９．０,113.1,１３９．５～２１８．０,203.3
２水門閉鎖,港区,２．０１～２．４０,１．９３～２．３２,2.27,2.19,１１０．９～１１３．３,112.0,１９８．９～２０６．４,201.4
２水門閉鎖,江東区,１．６５～２．４８,１．５７～２．４０,1.98,1.90,１０６．４～１２６．０,114.9,１１５．７～２１４．９,204.5
２水門閉鎖,品川区,１．４８～２．４４,１．３９～２．３６,2.04,1.96,１０９．５～１３７．６,111.2,１２０．８～２１３．９,203.5
２水門閉鎖,大田区,１．４０～２．３７,１．３２～２．２９,1.83,1.75,８９．７～１４１．４,111.9,１０１．５～２２６．０,202.4
２水門閉鎖,江戸川区,１．５６～２．０７,１．４８～１．９９,1.75,1.67,１０６．８～１８９．４,127.0,１１８．９～２２０．０,143.6
