地域,全壊（戸）,半壊（戸）,流失（戸）,全焼半焼（戸）,床上浸水（戸）,床下浸水（戸）,一部破損（戸）,非住家被害（戸）
東北３県（岩手、宮城、福島）,110854,129003,-,230,8919,11651,289271,32061
全国,114995,160263,-,284,11610,13670,554995,46665
