区分,年平均値（ｐｐｍ）,１時間値が０．１ｐｐｍを超えた時間数とその割合（時間数）,１時間値が０．１ｐｐｍを超えた時間数とその割合（％）,日平均値が０．０４ｐｐｍを超えた日数とその割合（日数）,日平均値が０．０４ｐｐｍを超えた日数とその割合（％）,１時間値の最高値（ｐｐｍ）,日平均値の最高値（ｐｐｍ）,日平均値の２％除外値（ｐｐｍ）,日平均値が０．０４ｐｐｍを超えた日が２日連続したことの有無
三宅支庁,0.02,182,2.1,25,6.9,3.25,1.8,0.12,有
逢の浜温泉,0.17,1543,19.5,127,39.3,8.72,1.91,1.38,有
三池消防器具置場,0.32,2457,33.1,171,55.9,7.64,3.58,1.56,有
三宅村役場,0.28,1713,24.3,131,45.3,8.58,3.99,1.45,有
三宅島空港,0.22,1669,19.3,143,39.5,8.92,3.41,1.72,有
坪田公民館,0.02,267,3.2,39,11.2,2.67,0.38,0.19,有
アカコッコ館,0.03,465,5.4,59,16.4,4.21,0.5,0.28,有
薄木生コン工場,0.12,1099,14.6,105,33.5,5.04,1.32,0.98,有
阿古港船客待合所,0.04,589,6.8,67,18.4,4.69,0.82,0.54,有
伊ヶ谷老人福祉館,0.04,479,5.5,55,15.1,5.32,0.99,0.43,有
